case,engine,source,admitted,delivered,conditional_delivery,unmatched,mean_delay_s,dropped,pending
r128,matlab,4,297,251,0.8451178451178452,46,38.585619213553876,0,46
r128,ns3,4,278,248,0.8920863309352518,30,41.17288705374194,,
l128,matlab,5,599,583,0.9732888146911519,16,7.82227156633828,0,16
l128,ns3,5,589,573,0.9728353140916808,16,7.981260405371727,,
m128,matlab,4,215,171,0.7953488372093023,44,52.52726722641471,0,44
m128,matlab,5,194,178,0.9175257731958762,16,25.655746254603166,0,16
m128,ns3,4,220,180,0.8181818181818182,40,53.580711085999994,,
m128,ns3,5,171,155,0.9064327485380117,16,29.09425921503226,,
r129,matlab,4,298,251,0.8422818791946308,47,38.427085667737146,0,47
r129,ns3,4,292,252,0.863013698630137,40,38.967519260603176,,
l129,matlab,5,595,579,0.973109243697479,16,7.891962139604427,0,16
l129,ns3,5,596,580,0.9731543624161074,16,7.840880844620691,,
m129,matlab,4,218,187,0.8577981651376146,31,52.82252766360395,0,31
m129,matlab,5,172,156,0.9069767441860465,16,27.875147368115115,0,16
m129,ns3,4,214,169,0.7897196261682243,45,55.37222528718344,,
m129,ns3,5,174,158,0.9080459770114943,16,27.857997541696207,,
r130,matlab,4,295,253,0.8576271186440678,42,39.09995519673577,0,42
r130,ns3,4,287,249,0.867595818815331,38,39.19954723057831,,
l130,matlab,5,589,574,0.9745331069609507,15,7.957789239373944,0,15
l130,ns3,5,603,587,0.9734660033167496,16,7.767414936085179,,
m130,matlab,4,214,171,0.7990654205607477,43,54.65909178781823,0,43
m130,matlab,5,173,157,0.9075144508670521,16,28.940635672051094,0,16
m130,ns3,4,225,181,0.8044444444444444,44,51.88598788158011,,
m130,ns3,5,173,157,0.9075144508670521,16,28.08011974842038,,
p128,matlab,2,102,45,0.4411764705882353,57,270.583611086064,16,41
p128,matlab,3,930,917,0.986021505376344,13,10.016649364177914,0,13
p128,matlab,4,82,51,0.6219512195121951,31,190.85445814488747,7,24
p128,matlab,5,150,133,0.8866666666666667,17,63.065683266514995,1,16
p128,matlab,7,143,34,0.23776223776223776,109,454.1482816742993,13,96
p128,matlab,8,129,44,0.34108527131782945,85,392.73499290424576,15,70
p128,ns3,2,85,44,0.5176470588235295,41,321.01044744963633,,
p128,ns3,3,876,862,0.9840182648401826,14,10.83086893546868,,
p128,ns3,4,64,43,0.671875,21,213.3316482953023,,
p128,ns3,5,256,236,0.921875,20,39.15511388261017,,
p128,ns3,7,188,35,0.18617021276595744,153,494.6394682288571,,
p128,ns3,8,137,25,0.18248175182481752,112,456.686731086,,
