source,start_s,end_s,matlab_admitted,matlab_cumulative_admitted,ns3_admitted,ns3_cumulative_admitted,admitted_difference,cumulative_admitted_difference,matlab_delivered,matlab_cumulative_delivered,ns3_delivered,ns3_cumulative_delivered,delivered_difference,cumulative_delivered_difference
2,0,300,0,0,0,0,0,0,0,0,0,0,0,0
2,300,600,76,76,73,73,3,3,23,23,16,16,7,7
2,600,900,26,102,12,85,14,17,22,45,28,44,-6,1
2,900,1200,21,123,10,95,11,28,20,65,13,57,7,8
2,1200,1500,12,135,14,109,-2,26,17,82,8,65,9,17
2,1500,1800,30,165,29,138,1,27,16,98,7,72,9,26
2,1800,2100,34,199,32,170,2,29,24,122,24,96,0,26
2,2100,2400,28,227,21,191,7,36,32,154,28,124,4,30
2,2400,2700,39,266,32,223,7,43,23,177,26,150,-3,27
2,2700,3000,35,301,27,250,8,51,24,201,25,175,-1,26
2,3000,3300,30,331,28,278,2,53,24,225,20,195,4,30
2,3300,3600,32,363,30,308,2,55,26,251,25,220,1,31
2,3600,3900,23,386,34,342,-11,44,16,267,22,242,-6,25
2,3900,4200,24,410,29,371,-5,39,35,302,26,268,9,34
2,4200,4500,20,430,20,391,0,39,22,324,16,284,6,40
2,4500,4800,25,455,24,415,1,40,23,347,23,307,0,40
2,4800,5100,28,483,25,440,3,43,11,358,22,329,-11,29
2,5100,5400,22,505,33,473,-11,32,20,378,24,353,-4,25
2,5400,5700,21,526,44,517,-23,9,19,397,29,382,-10,15
2,5700,6000,25,551,30,547,-5,4,14,411,28,410,-14,1
3,0,300,0,0,0,0,0,0,0,0,0,0,0,0
3,300,600,475,475,449,449,26,26,461,461,432,432,29,29
3,600,900,455,930,427,876,28,54,456,917,430,862,26,55
3,900,1200,438,1368,460,1336,-22,32,435,1352,460,1322,-25,30
3,1200,1500,433,1801,471,1807,-38,-6,432,1784,470,1792,-38,-8
3,1500,1800,463,2264,443,2250,20,14,464,2248,442,2234,22,14
3,1800,2100,451,2715,435,2685,16,30,451,2699,434,2668,17,31
3,2100,2400,445,3160,458,3143,-13,17,445,3144,458,3126,-13,18
3,2400,2700,458,3618,459,3602,-1,16,458,3602,458,3584,0,18
3,2700,3000,407,4025,447,4049,-40,-24,407,4009,448,4032,-41,-23
3,3000,3300,468,4493,436,4485,32,8,468,4477,436,4468,32,9
3,3300,3600,449,4942,470,4955,-21,-13,448,4925,470,4938,-22,-13
3,3600,3900,437,5379,462,5417,-25,-38,438,5363,462,5400,-24,-37
3,3900,4200,440,5819,436,5853,4,-34,439,5802,436,5836,3,-34
3,4200,4500,428,6247,452,6305,-24,-58,429,6231,452,6288,-23,-57
3,4500,4800,452,6699,436,6741,16,-42,451,6682,437,6725,14,-43
3,4800,5100,436,7135,458,7199,-22,-64,438,7120,458,7183,-20,-63
3,5100,5400,466,7601,459,7658,7,-57,465,7585,459,7642,6,-57
3,5400,5700,431,8032,442,8100,-11,-68,430,8015,442,8084,-12,-69
3,5700,6000,457,8489,451,8551,6,-62,457,8472,451,8535,6,-63
4,0,300,0,0,0,0,0,0,0,0,0,0,0,0
4,300,600,55,55,48,48,7,7,31,31,21,21,10,10
4,600,900,27,82,16,64,11,18,20,51,22,43,-2,8
4,900,1200,16,98,32,96,-16,2,20,71,16,59,4,12
4,1200,1500,16,114,33,129,-17,-15,9,80,32,91,-23,-11
4,1500,1800,35,149,19,148,16,1,17,97,20,111,-3,-14
4,1800,2100,28,177,16,164,12,13,28,125,17,128,11,-3
4,2100,2400,18,195,31,195,-13,0,25,150,15,143,10,7
4,2400,2700,37,232,24,219,13,13,22,172,30,173,-8,-1
4,2700,3000,16,248,24,243,-8,5,24,196,19,192,5,4
4,3000,3300,16,264,24,267,-8,-3,9,205,25,217,-16,-12
4,3300,3600,16,280,32,299,-16,-19,19,224,16,233,3,-9
4,3600,3900,16,296,32,331,-16,-35,7,231,31,264,-24,-33
4,3900,4200,16,312,19,350,-3,-38,21,252,26,290,-5,-38
4,4200,4500,19,331,20,370,-1,-39,15,267,11,301,4,-34
4,4500,4800,29,360,24,394,5,-34,26,293,19,320,7,-27
4,4800,5100,16,376,26,420,-10,-44,13,306,24,344,-11,-38
4,5100,5400,16,392,29,449,-13,-57,11,317,22,366,-11,-49
4,5400,5700,16,408,32,481,-16,-73,13,330,31,397,-18,-67
4,5700,6000,31,439,17,498,14,-59,18,348,22,419,-4,-71
5,0,300,0,0,0,0,0,0,0,0,0,0,0,0
5,300,600,115,115,189,189,-74,-74,99,99,169,169,-70,-70
5,600,900,35,150,67,256,-32,-106,34,133,67,236,-33,-103
5,900,1200,91,241,63,319,28,-78,91,224,61,297,30,-73
5,1200,1500,132,373,44,363,88,10,132,356,44,341,88,15
5,1500,1800,74,447,109,472,-35,-25,74,430,108,449,-34,-19
5,1800,2100,51,498,57,529,-6,-31,49,479,56,505,-7,-26
5,2100,2400,82,580,60,589,22,-9,82,561,60,565,22,-4
5,2400,2700,44,624,40,629,4,-5,42,603,40,605,2,-2
5,2700,3000,146,770,91,720,55,50,146,749,89,694,57,55
5,3000,3300,75,845,66,786,9,59,75,824,68,762,7,62
5,3300,3600,51,896,53,839,-2,57,52,876,52,814,0,62
5,3600,3900,124,1020,48,887,76,133,123,999,48,862,75,137
5,3900,4200,55,1075,87,974,-32,101,55,1054,87,949,-32,105
5,4200,4500,105,1180,121,1095,-16,85,105,1159,120,1069,-15,90
5,4500,4800,69,1249,89,1184,-20,65,69,1228,88,1157,-19,71
5,4800,5100,147,1396,58,1242,89,154,145,1373,58,1215,87,158
5,5100,5400,64,1460,62,1304,2,156,64,1437,62,1277,2,160
5,5400,5700,138,1598,45,1349,93,249,137,1574,44,1321,93,253
5,5700,6000,71,1669,48,1397,23,272,70,1644,48,1369,22,275
7,0,300,0,0,0,0,0,0,0,0,0,0,0,0
7,300,600,101,101,117,117,-16,-16,0,0,0,0,0,0
7,600,900,42,143,71,188,-29,-45,34,34,35,35,-1,-1
7,900,1200,29,172,56,244,-27,-72,32,66,38,73,-6,-7
7,1200,1500,28,200,31,275,-3,-75,23,89,34,107,-11,-18
7,1500,1800,28,228,27,302,1,-74,22,111,35,142,-13,-31
7,1800,2100,40,268,35,337,5,-69,30,141,52,194,-22,-53
7,2100,2400,35,303,30,367,5,-64,34,175,32,226,2,-51
7,2400,2700,41,344,36,403,5,-59,28,203,36,262,-8,-59
7,2700,3000,53,397,33,436,20,-39,29,232,28,290,1,-58
7,3000,3300,42,439,31,467,11,-28,25,257,26,316,-1,-59
7,3300,3600,41,480,35,502,6,-22,45,302,29,345,16,-43
7,3600,3900,42,522,40,542,2,-20,18,320,27,372,-9,-52
7,3900,4200,42,564,43,585,-1,-21,46,366,19,391,27,-25
7,4200,4500,38,602,41,626,-3,-24,30,396,15,406,15,-10
7,4500,4800,29,631,31,657,-2,-26,43,439,34,440,9,-1
7,4800,5100,30,661,26,683,4,-22,19,458,29,469,-10,-11
7,5100,5400,28,689,34,717,-6,-28,27,485,37,506,-10,-21
7,5400,5700,28,717,48,765,-20,-48,23,508,35,541,-12,-33
7,5700,6000,31,748,38,803,-7,-55,25,533,33,574,-8,-41
8,0,300,0,0,0,0,0,0,0,0,0,0,0,0
8,300,600,89,89,84,84,5,5,4,4,0,0,4,4
8,600,900,40,129,53,137,-13,-8,40,44,25,25,15,19
8,900,1200,24,153,25,162,-1,-9,24,68,27,52,-3,16
8,1200,1500,21,174,13,175,8,-1,19,87,36,88,-17,-1
8,1500,1800,23,197,16,191,7,6,21,108,23,111,-2,-3
8,1800,2100,32,229,34,225,-2,4,28,136,25,136,3,0
8,2100,2400,32,261,23,248,9,13,24,160,17,153,7,7
8,2400,2700,41,302,34,282,7,20,27,187,30,183,-3,4
8,2700,3000,35,337,29,311,6,26,24,211,26,209,-2,2
8,3000,3300,27,364,31,342,-4,22,19,230,26,235,-7,-5
