seed,start_s,end_s,hop_admissions,mean_source_derived_threshold,mean_callback_derived_data_outstanding,threshold_growth_events,threshold_decrease_events
128,0,300,0,0.0,0.0,0,0
128,300,600,87,2.5438174847722133,3.5438174768091852,6,3
128,600,900,40,1.0513800001851867,2.0513799964814527,0,2
128,900,1200,29,1.0,1.9999999973146696,0,0
128,1200,1500,28,1.0,1.9999999974071967,0,0
128,1500,1800,28,1.0,1.9999999974071951,0,0
128,1800,2100,40,0.7989723587120336,1.7989723550084993,1,2
128,2100,2400,35,0.7606456918601665,1.7606456886194974,1,0
128,2400,2700,41,1.545665691860166,2.545665688063738,1,0
128,2700,3000,53,2.453469025286134,3.4534690203784324,1,1
128,3000,3300,42,2.0,2.9999999961108004,0,0
128,3300,3600,41,2.0,2.9999999962034085,0,0
128,3600,3900,42,2.0,2.999999996110796,0,0
128,3900,4200,43,2.0,2.999999996018199,0,0
128,4200,4500,37,1.663900000092599,2.6638999966663928,0,1
128,4500,4800,29,1.0,1.9999999973145925,0,0
128,4800,5100,30,1.0,1.999999997222015,0,0
128,5100,5400,30,1.0,1.9999999972219908,0,0
128,5400,5700,27,1.0,1.99999999749979,0,0
128,5700,6000,30,1.0,1.999999997222,0,0
129,0,300,0,0.0,0.0,0,0
129,300,600,98,3.8071865100583233,4.80718650107677,7,4
129,600,900,53,3.0,3.999999995092553,0,0
129,900,1200,53,3.0,3.999999995092311,0,0
129,1200,1500,57,3.0,3.999999994721799,0,0
129,1500,1800,55,2.903763333425933,3.9037633283329365,0,1
129,1800,2100,42,2.0,2.999999996110797,0,0
129,2100,2400,42,2.0,2.9999999961107977,0,0
129,2400,2700,23,0.7010733335185326,1.701073331388731,0,2
129,2700,3000,15,0.0,0.9999999986110015,0,0
129,3000,3300,46,1.6494080503870343,2.6494080461276006,2,0
129,3300,3600,41,1.9698233334259339,2.969823329629333,0,1
129,3600,3900,30,1.0,1.9999999972220364,0,0
129,3900,4200,32,1.0,1.9999999970368025,0,0
129,4200,4500,46,1.8065847171463005,2.80658471288677,2,1
129,4500,4800,47,2.0,2.999999995647816,0,0
129,4800,5100,42,2.0,2.9999999961107853,0,0
129,5100,5400,32,1.1343333334259327,2.1343333304627623,0,1
129,5400,5700,29,1.0,1.9999999973146168,0,0
129,5700,6000,39,1.0943413838130012,2.094341380201607,2,1
130,0,300,0,0.0,0.0,0,0
130,300,600,91,3.5956331767249896,4.595633168391592,7,4
130,600,900,54,3.0,3.9999999949999605,0,0
130,900,1200,43,2.08644666675926,3.0864466627775613,0,1
130,1200,1500,34,1.0746633334259332,2.0746633302777027,0,1
130,1500,1800,27,1.0,1.9999999974998044,0,0
130,1800,2100,32,1.0,1.9999999970369344,0,0
130,2100,2400,34,1.0,1.9999999968517947,0,0
130,2400,2700,38,1.0,1.9999999964814652,0,0
130,2700,3000,29,1.0,1.9999999973146654,0,0
130,3000,3300,45,1.8986323586194673,2.8986323544526673,1,1
130,3300,3600,34,1.0,1.9999999968517659,0,0
130,3600,3900,31,1.0,1.9999999971294984,0,0
130,3900,4200,44,1.0179356918601994,2.017935687786033,1,0
130,4200,4500,40,1.8856290252861345,2.8856290215821416,1,1
130,4500,4800,43,2.0,2.999999996018199,0,0
130,4800,5100,43,2.0,2.999999996018199,0,0
130,5100,5400,42,2.0,2.999999996110813,0,0
130,5400,5700,40,2.0,2.9999999962960042,0,0
130,5700,6000,43,2.0,2.999999996018211,0,0
