seed,node,source,start_s,end_s,source_attempts,source_admitted,source_blocked,source_delivered_events,nwk_enqueued,nwk_submitted,nwk_released,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_dack_expired,hop_failed,mean_nwk_custody,mean_nwk_pre_first_submit,mean_hop_capacity,mean_dack_hold
128,2,2,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,2,2,300.0,600.0,15000,76,14924,23,76,60,60,60,92,32,33,22,20,5,15.989660499729883,14.88487108880943,2.842267455223153,1.7374780443026998
128,2,2,600.0,900.0,15000,26,14974,22,26,26,26,26,32,6,10,16,17,0,15.999075448138298,15.808045452582704,1.4385709759042125,1.2475409803486168
128,2,2,900.0,1200.0,15000,21,14979,20,21,21,21,21,25,4,0,21,20,0,15.99901055426535,15.900803891487733,1.4588656858550006,1.3606590230773832
128,2,2,1200.0,1500.0,15000,12,14988,17,12,13,12,13,14,1,6,6,8,0,15.999668411961066,15.942052726383936,0.5786043105336648,0.5209886249565336
128,2,2,1500.0,1800.0,15000,30,14970,16,30,31,30,31,39,11,28,0,0,2,15.9988040725388,15.612937012381202,0.3858670601575955,0.0
128,2,2,1800.0,2100.0,15000,34,14966,24,34,32,34,32,40,6,1,33,30,0,15.998486611667465,15.728357993100332,2.3664723516882007,2.096343733121067
128,2,2,2100.0,2400.0,15000,28,14972,32,28,28,28,28,34,6,5,23,23,0,15.99889740568693,15.764857410409531,1.8738533307405336,1.6398133354631348
128,2,2,2400.0,2700.0,15000,39,14961,23,39,40,39,40,59,21,15,23,24,1,15.9981705268582,15.291909156722534,2.349569017799266,1.6433076476636006
128,2,2,2700.0,3000.0,15000,35,14965,24,35,34,35,34,49,15,0,35,35,0,15.998867590442002,15.63542661796427,3.028887642385404,2.665446669907671
128,2,2,3000.0,3300.0,15000,30,14970,24,30,30,30,30,34,4,0,30,31,0,15.998886029902666,15.784982702125331,2.2730609760891323,2.059157648311801
128,2,2,3300.0,3600.0,15000,32,14968,26,32,32,32,32,43,11,0,32,33,0,15.99874798745173,15.69693799337813,2.531074309237268,2.2292643151636655
128,2,2,3600.0,3900.0,15000,23,14977,16,23,23,23,23,30,7,0,23,23,0,15.999459178480935,15.83602918274053,1.8300966645368695,1.6666666687964653
128,2,2,3900.0,4200.0,15000,24,14976,35,24,24,24,24,31,7,0,23,22,1,15.999239178573529,15.814003495033594,1.746904706802608,1.5616690232626738
128,2,2,4200.0,4500.0,15000,20,14980,22,20,20,20,20,26,6,8,12,13,0,15.999239575490664,15.831986245490922,1.005584309978076,0.8383309799783334
128,2,2,4500.0,4800.0,15000,25,14975,23,25,25,25,25,32,7,21,4,3,0,15.999101136029994,15.86257113982659,0.36429568437333726,0.22776568816993253
128,2,2,4800.0,5100.0,15000,28,14972,11,28,29,28,29,33,5,0,27,27,1,15.998909760338329,15.807615056498928,1.9933280396729425,1.8020333358335423
128,2,2,5100.0,5400.0,15000,22,14978,20,22,21,22,21,23,1,0,21,20,1,15.999020554357804,15.896480558154401,1.422289019280867,1.3197490230774656
128,2,2,5400.0,5700.0,15000,21,14979,19,21,21,21,21,29,8,0,21,23,0,15.99915388759854,15.854363891487743,1.7285752891229973,1.5837852930122003
128,2,2,5700.0,6000.0,15000,25,14975,14,25,26,25,26,29,3,16,9,9,0,15.999041136030009,15.850378785545603,0.7486623513178013,0.6000000008333942
128,2,7,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,2,7,300.0,600.0,15000,101,14899,0,62,37,36,37,50,15,16,20,18,0,18.644436731134114,17.891137714445623,2.197377060806053,1.444078044117567
128,2,7,600.0,900.0,15000,42,14958,34,38,44,45,44,59,14,0,44,44,1,23.08789978906815,22.786973130086594,3.4403433297222734,3.13941667074072
128,2,7,900.0,1200.0,15000,29,14971,32,31,25,25,25,33,8,0,24,25,1,20.62415923830693,20.475236888285345,1.7579833311110205,1.6090609810894367
