seed,source,start_s,end_s,admitted,unique_delivered,delivery_events,duplicate_events,delivery_mean_delay_s
128,2,0,300,0,0,0,0,
128,2,300,600,73,16,16,0,190.439186086
128,2,600,900,12,28,28,0,395.62259680028575
128,2,900,1200,10,13,13,0,529.9145033936923
128,2,1200,1500,14,8,8,0,652.112811086
128,2,1500,1800,29,7,7,0,691.020811086
128,2,1800,2100,32,24,24,0,582.3838944193334
128,2,2100,2400,21,28,28,0,489.69227537171435
128,2,2400,2700,32,26,26,0,498.4285803167693
128,2,2700,3000,27,25,25,0,415.0847710860001
128,2,3000,3300,28,20,20,0,457.5463610859999
128,2,3300,3600,30,25,25,0,456.6078510859999
128,2,3600,3900,34,22,22,0,420.50490199509096
128,2,3900,4200,29,26,26,0,381.5906957013846
128,2,4200,4500,20,16,16,0,490.1750610859999
128,2,4500,4800,24,23,23,0,526.8149849990435
128,2,4800,5100,25,22,22,0,512.5228110859999
128,2,5100,5400,33,24,24,0,445.6942277526667
128,2,5400,5700,44,29,29,0,408.2423972928965
128,2,5700,6000,30,28,28,0,418.0392396574286
128,3,0,300,0,0,0,0,
128,3,300,600,449,432,432,0,10.676943401074075
128,3,600,900,427,430,430,0,10.985510402581395
128,3,900,1200,460,460,460,0,10.26166677265217
128,3,1200,1500,471,470,470,0,9.912220842957447
128,3,1500,1800,443,442,442,0,10.53980128966968
128,3,1800,2100,435,434,434,0,10.862017754419353
128,3,2100,2400,458,458,458,0,10.289594103200885
128,3,2400,2700,459,458,458,0,10.136980566082961
128,3,2700,3000,447,448,448,0,10.624587094857153
128,3,3000,3300,436,436,436,0,10.770257618284404
128,3,3300,3600,470,470,470,0,9.920727225936165
128,3,3600,3900,462,462,462,0,10.057197687389616
128,3,3900,4200,436,436,436,0,10.94339982011928
128,3,4200,4500,452,452,452,0,10.222781528327445
128,3,4500,4800,436,437,437,0,10.867073523224265
128,3,4800,5100,458,458,458,0,10.215755675253233
128,3,5100,5400,459,459,459,0,10.307810255649256
128,3,5400,5700,442,442,442,0,10.608550158447958
128,3,5700,6000,451,451,451,0,10.486417833097558
128,4,0,300,0,0,0,0,
128,4,300,600,48,21,21,0,125.11747775266667
128,4,600,900,16,22,22,0,297.53608381327274
128,4,900,1200,32,16,16,0,283.318873586
128,4,1200,1500,33,32,32,0,243.628123586
128,4,1500,1800,19,20,20,0,235.85816108600002
128,4,1800,2100,16,17,17,0,331.1991052036471
128,4,2100,2400,31,15,15,0,372.93854441933337
128,4,2400,2700,24,30,30,0,292.06941108600006
128,4,2700,3000,24,19,19,0,259.27828477021046
128,4,3000,3300,24,25,25,0,272.078571086
128,4,3300,3600,32,16,16,0,281.230936086
128,4,3600,3900,32,31,31,0,253.14813366664526
128,4,3900,4200,19,26,26,0,235.44550339369232
128,4,4200,4500,20,11,11,0,370.5617201769091
128,4,4500,4800,24,19,19,0,312.2466531912631
128,4,4800,5100,26,24,24,0,271.0431027526666
128,4,5100,5400,29,22,22,0,264.5549474496363
128,4,5400,5700,32,31,31,0,260.0437143118064
128,4,5700,6000,17,22,22,0,281.8590838132727
128,5,0,300,0,0,0,0,
128,5,300,600,189,169,169,0,25.645896648130172
128,5,600,900,67,67,67,0,73.23060213077612
128,5,900,1200,63,61,61,0,71.46138485649182
128,5,1200,1500,44,44,44,0,104.90651563145452
128,5,1500,1800,109,108,108,0,50.36157960451852
128,5,1800,2100,57,56,56,0,84.66370394314286
128,5,2100,2400,60,60,60,0,75.10219441933334
128,5,2400,2700,40,40,40,0,119.99223608599998
128,5,2700,3000,91,89,89,0,60.343294232067464
128,5,3000,3300,66,68,68,0,75.394561086
128,5,3300,3600,53,52,52,0,87.56611877830773
128,5,3600,3900,48,48,48,0,104.91710275266671
128,5,3900,4200,87,87,87,0,57.405776603241414
128,5,4200,4500,121,120,120,0,36.53649441933335
128,5,4500,4800,89,88,88,0,58.57433381327268
128,5,4800,5100,58,58,58,0,83.2722938446207
128,5,5100,5400,62,62,62,0,80.80448850535485
128,5,5400,5700,45,44,44,0,115.95978835872735
128,5,5700,6000,48,48,48,0,101.55781108600003
128,7,0,300,0,0,0,0,
128,7,300,600,117,0,0,0,
128,7,600,900,71,35,35,0,494.6394682288571
128,7,900,1200,56,38,38,0,665.3031795070526
128,7,1200,1500,31,34,34,0,779.3614875565881
128,7,1500,1800,27,35,35,0,875.444611086
128,7,1800,2100,35,52,52,0,980.6595803167693
128,7,2100,2400,30,32,32,0,962.692186086
128,7,2400,2700,36,36,36,0,805.7891166415556
128,7,2700,3000,33,28,28,0,747.9413110859999
128,7,3000,3300,31,26,26,0,728.7012726244616
128,7,3300,3600,35,29,29,0,764.499086948069
128,7,3600,3900,40,27,27,0,726.4321073822963
128,7,3900,4200,43,19,19,0,679.8460216123158
128,7,4200,4500,41,15,15,0,753.5527444193333
128,7,4500,4800,31,34,34,0,773.5003404977647
128,7,4800,5100,26,29,29,0,819.5188110859999
128,7,5100,5400,34,37,37,0,827.4344056805946
128,7,5400,5700,48,35,35,0,769.338468228857
128,7,5700,6000,38,33,33,0,680.0984777526666
128,8,0,300,0,0,0,0,
128,8,300,600,84,0,0,0,
128,8,600,900,53,25,25,0,456.686731086
128,8,900,1200,25,27,27,0,614.5550333082223
128,8,1200,1500,13,36,36,0,722.3170610860001
128,8,1500,1800,16,23,23,0,798.8526371729566
128,8,1800,2100,34,25,25,0,899.197251086
128,8,2100,2400,23,17,17,0,805.1829875565882
128,8,2400,2700,34,30,30,0,646.9290444193334
128,8,2700,3000,29,26,26,0,603.3486187783078
128,8,3000,3300,31,26,26,0,598.0965803167693
128,8,3300,3600,32,26,26,0,606.300888009077
128,8,3600,3900,40,28,28,0,581.8686325145715
128,8,3900,4200,32,25,25,0,521.542091086
128,8,4200,4500,25,20,20,0,623.936111086
128,8,4500,4800,17,30,30,0,677.1505110859999
128,8,4800,5100,26,20,20,0,705.6471610860001
128,8,5100,5400,32,23,23,0,695.558767607739
128,8,5400,5700,39,28,28,0,590.3153468002856
128,8,5700,6000,36,27,27,0,534.5459592341481
