seed,time_s,event_index,node,destination,next_hop,cost,reason,detail
129,13.121691086,623,5,1,1,7450,neighbor admitted,num_hop=1;path=1
129,13.121691086,626,5,1,1,7450,ARL self UPDATE,num_hop=1;path=1
129,48.213552444,5489,4,1,5,14900,candidate update,num_hop=2;path=5>1
129,60.077453632,7497,2,1,4,22350,candidate update,num_hop=3;path=4>5>1
129,74.040172444,9753,4,1,5,14900,source candidate replacement,num_hop=2;path=5>1
129,75.038415346,10180,8,1,2,29800,candidate update,num_hop=4;path=2>4>5>1
129,76.468093632,10669,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
129,76.700095346,10733,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
129,87.391193632,13269,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
129,88.961375346,13752,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
129,92.291452442,15308,7,1,8,37250,candidate update,num_hop=5;path=8>2>4>5>1
129,107.468535346,18740,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
129,108.966072442,18838,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
129,118.181832442,19583,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
