seed,node,source,destination,sequence,peer,time_s,reason,resend_count,event_index,enqueue_s,admission_s,admission_event_index,hop_admission_to_nsdp_release_completion_s,enqueue_to_nsdp_release_completion_s
129,8,8,1,878,2,304.408295346,ack,0,26894,300.0,300.000000028,22649,4.408295318,4.4082953459999885
129,8,8,1,884,2,321.308295346,ack,1,42367,300.02,304.408295374,26897,16.899999972000046,21.28829534600004
129,4,4,1,875,5,323.518292444,ack,0,43921,300.0,300.000000028,22628,23.51829241600001,23.518292443999997
129,8,8,1,890,2,324.246295346,ack,1,44588,300.04,321.308295374,42370,2.937999972,24.20629534599999
129,4,4,1,881,5,326.378292444,ack,1,46153,300.02,323.518292472,43924,2.8599999720000255,26.35829244400003
129,8,8,1,896,2,329.511295346,ack,2,48144,300.06,324.246295374,44591,5.264999971999998,29.451295345999995
129,8,8,1,902,2,329.953295346,ack,0,48577,300.08,329.511295374,48147,0.44199997200001917,29.87329534600002
129,8,8,1,908,2,330.486295346,ack,0,48980,300.1,329.953295374,48580,0.5329999720000274,30.386295345999997
129,8,8,1,914,2,331.019295346,ack,0,49465,300.12,330.486295374,48983,0.5329999719999705,30.899295345999974
129,8,8,1,920,2,331.734295346,ack,0,50109,300.14,331.019295374,49468,0.7149999719999869,31.594295346000024
129,8,8,1,932,2,332.553295346,ack,0,50708,300.18,331.734295374,50112,0.8189999720000287,32.37329534600002
129,8,8,1,926,2,332.553295346,ack,0,50711,300.16,331.019295374,49475,1.5339999720000037,32.393295346
129,4,4,1,887,5,335.292000028,no_ack,2,53118,300.04,326.378292472,46156,8.91370755600002,35.252000028
129,4,4,1,893,5,336.245292444,ack,0,54028,300.06,335.292000056,53120,0.9532923879999657,36.18529244399997
129,4,4,1,899,5,337.129292444,ack,0,54951,300.08,336.245292472,54031,0.8839999719999696,37.049292444
129,4,4,1,905,5,338.767292444,ack,0,56482,300.1,337.129292472,54954,1.6379999720000455,38.667292444
129,8,8,1,938,2,339.079295346,ack,0,56852,300.2,332.553295374,50714,6.5259999719999655,38.87929534599999
129,8,8,1,944,2,339.625295346,ack,0,57379,300.22,332.553295374,50721,7.071999971999958,39.405295345999946
129,8,8,1,956,2,340.561295346,ack,0,58200,300.26,339.079295374,56855,1.4819999719999828,40.30129534600002
129,8,8,1,950,2,340.561295346,ack,0,58203,300.24,332.553295374,50728,8.007999971999993,40.321295346
129,8,8,1,968,2,341.406295346,ack,0,58857,300.3,340.561295374,58206,0.8449999719999823,41.10629534599997
129,8,8,1,962,2,341.406295346,ack,0,58860,300.28,339.625295374,57382,1.780999971999961,41.126295346000006
129,8,7,1,877,2,342.433295346,ack,0,59770,300.479812442,340.561295374,58213,1.871999972000026,41.953482904
129,8,7,1,889,2,343.642295346,ack,0,60637,304.769812442,341.406295374,58870,2.235999972000002,38.87248290400004
129,8,7,1,895,2,344.396295346,ack,0,61309,305.419812442,341.406295374,58877,2.989999971999964,38.976482903999965
129,4,4,1,911,5,344.526292444,ack,2,61467,300.12,338.767292472,56485,5.75899997199997,44.40629244399997
129,4,4,1,923,5,345.956292444,ack,0,62757,300.16,344.526292472,61470,1.4299999719999619,45.79629244399996
129,8,7,1,913,2,345.956295346,ack,0,62806,306.771812442,343.642295374,60640,2.3139999719999764,39.18448290399999
129,8,7,1,901,2,345.956295346,ack,0,62809,305.757812442,342.433295374,59773,3.5229999719999796,40.198482904
129,8,7,1,883,2,345.956295346,ack,1,62812,301.974812442,340.561295374,58220,5.394999971999994,43.98148290400002
129,8,7,1,919,2,346.450295346,ack,0,63319,307.538812442,344.396295374,61312,2.0539999720000424,38.911482904000025
129,4,4,1,929,5,346.710292444,ack,0,63537,300.18,345.956292472,62760,0.753999972000031,46.530292444
129,8,7,1,931,2,347.438295346,ack,0,64282,308.240812442,345.956295374,62815,1.4819999720000396,39.197482904000026
129,8,7,1,925,2,347.438295346,ack,0,64285,307.798812442,344.396295374,61319,3.041999972000042,39.63948290400003
129,8,8,1,992,2,347.438295346,ack,2,64288,304.42,341.406295374,58863,6.031999971999994,43.018295346
129,4,4,1,935,5,347.750292444,ack,0,64642,300.2,346.710292472,63540,1.0399999720000324,47.550292444000036
129,8,7,1,937,2,348.205295346,ack,0,65074,308.630812442,345.956295374,62822,2.2489999720000355,39.574482904000035
129,4,4,1,941,5,348.296292444,ack,0,65168,300.22,347.750292472,64645,0.5459999720000042,48.07629244399999
129,4,4,1,917,5,348.851000028,no_ack,2,65657,300.14,338.767292472,56492,10.083707555999979,48.711000028
129,8,7,1,955,2,349.583295346,ack,0,66385,310.437812442,347.438295374,64291,2.1449999719999937,39.145482904000005
129,8,7,1,949,2,349.583295346,ack,0,66388,310.138812442,346.450295374,63322,3.1329999719999932,39.44448290399998
129,8,7,1,907,2,349.583295346,ack,0,66391,309.163812442,345.956295374,62829,3.6269999720000214,40.419482904000006
129,8,7,1,961,2,350.012295346,ack,0,66784,311.230812442,347.438295374,64298,2.5739999719999673,38.78148290399997
129,4,4,1,947,5,351.286292444,ack,1,67761,300.24,347.750292472,64652,3.5359999720000133,51.04629244400002
129,8,7,1,967,2,351.351295346,ack,0,67899,311.776812442,347.438295374,64305,3.912999971999966,39.57448290399998
129,4,4,1,953,5,351.715292444,ack,1,68176,300.26,348.296292472,65171,3.4189999719999946,51.45529244400001
129,4,4,1,965,5,352.521292444,ack,0,68968,300.3,351.715292472,68179,0.8059999719999951,52.22129244399997
129,4,4,1,959,5,352.521292444,ack,0,68971,300.28,351.286292472,67764,1.2349999719999687,52.24129244400001
129,8,8,1,1129,2,352.690295346,dack,0,69218,321.32,349.583295374,66408,3.1069999720000396,31.370295346000034
129,8,7,1,977,2,352.690295346,dack,0,69220,315.481812442,349.583295374,66401,3.1069999720000396,37.20848290400005
129,8,7,1,1001,2,352.690295346,ack,0,69222,314.805812442,349.583295374,66394,3.1069999720000396,37.88448290400004
129,8,8,1,1146,2,353.106295346,dack,0,69589,324.26,349.583295374,66415,3.5229999720000365,28.846295346000034
129,4,2,1,873,5,353.288292444,ack,0,69819,301.524273632,352.521292472,68974,0.766999971999951,51.76401881199996
129,8,8,1,1169,2,353.639295346,dack,0,70213,329.52,350.012295374,66787,3.6269999719999646,24.119295346
129,8,7,1,943,2,366.431295346,dack,2,82096,309.839812442,345.956295374,62836,20.474999972000035,56.59148290400003
129,4,2,1,879,5,367.120292444,ack,1,82779,302.585813632,352.521292472,68981,14.598999971999945,64.53447881199997
129,8,8,1,1178,2,367.874295346,dack,0,83412,330.5,351.351295374,67909,16.52299997199998,37.374295346
129,8,8,1,1183,2,368.394295346,dack,0,83991,331.02,352.690295374,69225,15.703999971999963,37.374295346
129,4,2,1,891,5,368.537292444,ack,1,84162,306.264813632,353.288292472,69829,15.248999971999979,62.272478811999974
129,4,2,1,885,5,368.537292444,ack,1,84165,303.469813632,353.288292472,69822,15.248999971999979,65.06747881199999
129,4,2,1,915,5,370.201292444,ack,0,85636,308.409813632,368.537292472,84175,1.6639999719999992,61.79147881199998
129,8,7,1,1000,2,370.474295346,dack,2,85851,314.168812442,348.205295374,65077,22.268999972000017,56.30548290400003
129,8,7,1,971,2,370.474295346,dack,2,85853,312.400812442,347.438295374,64312,23.035999972000013,58.073482904
129,4,2,1,897,5,371.332292444,ack,1,86448,306.888813632,367.120292472,82782,4.211999972000001,64.44347881200002
129,4,2,1,927,5,372.801292444,ack,0,87780,309.891813632,371.332292472,86451,1.468999972000006,62.90947881200003
129,8,8,1,1173,2,372.879295346,dack,2,87873,329.96,351.351295374,67902,21.527999971999975,42.91929534600001
129,4,2,1,921,5,374.101292444,ack,1,89049,308.656813632,370.201292472,85639,3.899999972000046,65.444478812
129,8,8,1,1195,2,374.179295346,dack,0,89155,332.56,372.690295402,87668,1.4889999439999997,41.619295346
129,8,8,1,1189,2,374.179295346,dack,0,89157,331.74,372.690295402,87661,1.4889999439999997,42.439295345999994
129,8,8,1,1196,2,376.428295346,dack,1,90978,332.58,373.106295402,88143,3.3219999440000265,43.84829534600004
129,4,2,1,939,5,376.935292444,ack,1,91487,311.516813632,374.101292472,89052,2.833999972000015,65.41847881200005
129,4,2,1,933,5,376.935292444,ack,1,91490,310.203813632,372.801292472,87783,4.1339999720000264,66.73147881200003
129,8,7,1,1011,2,377.143295346,dack,1,91660,333.122812442,373.639295402,88606,3.503999943999986,44.020482904000005
129,4,2,1,951,5,378.638292444,ack,0,92963,312.439813632,376.935292472,91500,1.7029999719999864,66.19847881200002
129,4,2,1,909,5,379.128000028,no_ack,2,93382,307.941813632,368.537292472,84168,10.590707555999984,71.18618639599998
129,4,2,1,945,5,383.513292444,ack,1,97663,311.984813632,376.935292472,91493,6.577999971999986,71.528478812
129,4,2,1,963,5,384.228292444,ack,0,98285,313.466813632,383.513292472,97666,0.7149999719999869,70.76147881199995
129,8,7,1,1020,2,390.585295346,dack,0,104106,335.436812442,388.394295402,102024,2.190999943999998,55.14848290399999
129,8,7,1,1019,2,392.600295346,dack,1,105705,334.669812442,387.874295402,101593,4.725999944000023,57.93048290399997
129,4,2,1,975,5,393.575292444,ack,2,106588,314.311813632,384.228292472,98288,9.346999971999992,79.26347881200002
