seed,node,peer,source,destination,sequence,hop_sequence,admission_s,admission_event_index,threshold_at_admission,release_s,release_reason,release_event,capacity_retention_s
130,7,8,7,1,958,12,300.000000028,24298,0,300.521292442,ack,hop_completion,0.5212924140000155
130,7,8,7,1,964,13,300.52129247,25621,0,301.327292442,ack,hop_completion,0.8059999719999951
130,7,8,7,1,970,14,301.32729247,26104,0,302.224292442,ack,hop_completion,0.8969999720000033
130,4,5,4,1,956,17,300.000000028,24284,0,302.562292444,ack,hop_completion,2.562292415999991
130,7,8,7,1,976,15,302.22429247,26815,1,303.043292442,ack,hop_completion,0.8189999719999719
130,7,8,7,1,982,16,302.22429247,26822,1,304.018292442,ack,hop_completion,1.7939999719999946
130,7,8,7,1,994,18,304.01829247,28626,1,304.629292442,ack,hop_completion,0.6109999720000019
130,7,8,7,1,1000,19,304.62929247,29197,2,305.006292442,ack,hop_completion,0.37699997200002144
130,7,8,7,1,1006,20,304.62929247,29204,2,306.202292442,ack,hop_completion,1.572999971999991
130,7,8,7,1,1018,22,306.20229247,30653,2,307.138292442,ack,hop_completion,0.9359999720000474
130,7,8,7,1,988,17,303.04329247,27644,1,307.138292442,ack,hop_completion,4.094999972000039
130,7,8,7,1,1036,25,307.13829247,31585,3,309.114292442,ack,hop_completion,1.975999972000011
130,7,8,7,1,1012,21,305.00629247,29549,2,309.114292442,ack,hop_completion,4.107999972000016
130,7,8,7,1,1042,26,309.11429247,33549,3,309.491292442,ack,hop_completion,0.3769999719999646
130,7,8,7,1,1051,28,309.49129247,33939,3,310.713292442,ack,hop_completion,1.2219999719999919
130,7,8,7,1,1024,23,307.13829247,31571,3,311.233292442,ack,hop_completion,4.094999971999982
130,7,8,7,1,1030,24,307.13829247,31578,3,311.740292442,ack,hop_completion,4.601999971999987
130,4,5,4,1,962,18,302.562292472,27165,0,317.447292444,ack,hop_completion,14.884999972000003
130,8,2,8,1,959,14,300.000000028,24305,0,319.384295346,ack,hop_completion,19.384295318
130,8,2,8,1,965,15,319.384295374,42950,0,322.348295346,ack,hop_completion,2.9639999720000105
130,4,5,4,1,968,19,317.447292472,41251,0,322.556292444,ack,hop_completion,5.108999971999992
130,8,2,8,1,971,16,322.348295374,45056,0,325.286295346,ack,hop_completion,2.937999972
130,4,5,4,1,974,20,322.556292472,45264,0,326.170292444,ack,hop_completion,3.613999971999988
130,8,2,8,1,977,17,325.286295374,47500,0,328.055295346,ack,hop_completion,2.7689999719999605
130,8,2,8,1,983,18,328.055295374,49703,0,328.770295346,ack,hop_completion,0.7149999719999869
130,8,2,8,1,989,19,328.770295374,50277,0,329.316295346,ack,hop_completion,0.5459999720000042
130,8,2,8,1,995,20,329.316295374,50833,0,329.979295346,ack,hop_completion,0.6629999720000228
130,8,2,8,1,1001,21,329.979295374,51381,1,330.655295346,ack,hop_completion,0.6759999719999996
130,8,2,8,1,1007,22,329.979295374,51388,1,331.500295346,ack,hop_completion,1.52099997199997
130,4,5,4,1,980,21,326.170292472,48188,0,332.098292444,ack,hop_completion,5.927999971999952
130,7,8,7,1,1060,30,311.23329247,35618,4,332.52029247,dack_expiry,hop_capacity_release,21.287000000000035
130,8,2,8,1,1019,24,331.500295374,52631,1,332.631295346,ack,hop_completion,1.1309999719999837
130,8,2,8,1,1013,23,330.655295374,51943,1,332.631295346,ack,hop_completion,1.975999972000011
130,4,5,4,1,986,22,332.098292472,53193,0,332.995292444,ack,hop_completion,0.8969999719999464
130,8,2,8,1,1025,25,332.631295374,53712,2,333.008295346,ack,hop_completion,0.37699997200002144
130,7,8,7,1,1066,31,311.23329247,35625,4,333.91129247,dack_expiry,hop_capacity_release,22.677999999999997
130,7,8,7,1,1048,27,309.11429247,33556,3,333.91129247,dack_expiry,hop_capacity_release,24.79699999999997
130,7,8,7,1,1072,32,311.74029247,36225,4,336.16029247,dack_expiry,hop_capacity_release,24.420000000000016
130,8,2,8,1,1037,27,332.631295374,53726,2,339.911295346,ack,hop_completion,7.279999971999985
130,8,2,8,1,1049,29,339.911295374,60641,3,341.159295346,ack,hop_completion,1.2479999720000023
130,8,2,8,1,1043,28,333.008295374,54180,2,341.159295346,ack,hop_completion,8.150999972000022
130,8,2,7,1,958,30,339.911295374,60648,3,341.861295346,ack,hop_completion,1.9499999720000005
130,8,2,7,1,964,31,341.159295374,61660,3,342.199295346,ack,hop_completion,1.0399999719999755
130,8,2,7,1,982,34,341.861295374,62335,4,343.239295346,ack,hop_completion,1.3779999719999978
130,8,2,7,1,976,33,341.861295374,62328,4,343.239295346,ack,hop_completion,1.3779999719999978
130,8,2,7,1,970,32,341.159295374,61667,3,343.239295346,ack,hop_completion,2.079999971999996
130,8,2,7,1,994,35,342.199295374,62593,4,344.149295346,ack,hop_completion,1.9499999720000005
130,8,2,8,1,1031,26,332.631295374,53719,2,344.149295346,ack,hop_completion,11.517999971999984
130,8,2,7,1,1006,37,343.239295374,63484,5,345.150295346,ack,hop_completion,1.9109999720000133
130,8,2,7,1,1000,36,343.239295374,63477,5,345.150295346,ack,hop_completion,1.9109999720000133
130,8,2,7,1,988,38,343.239295374,63491,5,345.657295346,ack,hop_completion,2.4179999720000183
130,8,2,7,1,1012,41,344.149295374,64281,6,346.723295346,ack,hop_completion,2.5739999719999673
130,8,2,7,1,1036,40,344.149295374,64274,6,346.723295346,ack,hop_completion,2.5739999719999673
130,8,2,7,1,1018,39,343.239295374,63498,5,346.723295346,ack,hop_completion,3.4839999719999923
130,4,5,4,1,992,23,332.995292472,54076,0,346.940000028,no_ack,hop_completion,13.944707555999969
130,8,2,7,1,1051,43,345.150295374,65008,6,347.945295346,ack,hop_completion,2.794999972000028
130,8,2,7,1,1030,45,345.657295374,65426,7,349.011295346,ack,hop_completion,3.353999971999997
130,8,2,7,1,1024,44,345.150295374,65015,6,349.011295346,ack,hop_completion,3.860999972000002
130,8,2,7,1,1060,46,345.657295374,65433,7,350.142295346,ack,hop_completion,4.4849999720000255
130,7,8,7,1,1078,33,332.520292498,53599,4,353.56729247,dack_expiry,hop_capacity_release,21.04699997199998
