seed,node,peer,source,destination,sequence,hop_sequence,completion_s,reason,resend_count,capacity_released,nsdp_released,event_index,unique_delivered_by_stop,first_delivery_s,delivery_after_hop_completion
130,7,8,7,1,958,12,300.521292442,ack,0,1,1,25613,True,697.278811086,True
130,7,8,7,1,964,13,301.327292442,ack,0,1,1,26096,True,705.377811086,True
130,7,8,7,1,970,14,302.224292442,ack,0,1,1,26807,True,706.963811086,True
130,4,5,4,1,956,17,302.562292444,ack,1,1,1,27157,True,339.778811086,True
130,7,8,7,1,976,15,303.043292442,ack,0,1,1,27636,True,708.016811086,True
130,7,8,7,1,982,16,304.018292442,ack,0,1,1,28618,True,708.783811086,True
130,7,8,7,1,994,18,304.629292442,ack,0,1,1,29189,True,710.083811086,True
130,7,8,7,1,1000,19,305.006292442,ack,0,1,1,29541,False,,
130,7,8,7,1,1006,20,306.202292442,ack,0,1,1,30645,True,710.863811086,True
130,7,8,7,1,1018,22,307.138292442,ack,0,1,1,31560,True,722.017811086,True
130,7,8,7,1,988,17,307.138292442,ack,1,1,1,31563,True,711.500811086,True
130,7,8,7,1,1036,25,309.114292442,ack,0,1,1,33538,True,721.068811086,True
130,7,8,7,1,1012,21,309.114292442,ack,1,1,1,33541,True,751.176811086,True
130,7,8,7,1,1042,26,309.491292442,ack,0,1,1,33931,True,736.473811086,True
130,7,8,7,1,1051,28,310.713292442,ack,0,1,1,35108,True,719.443811086,True
130,7,8,7,1,1024,23,311.233292442,ack,1,1,1,35610,True,712.449811086,True
130,7,8,7,1,1030,24,311.740292442,ack,1,1,1,36217,True,714.009811086,True
130,7,8,7,1,1060,30,312.520292442,dack,0,0,1,36832,True,716.336811086,True
130,7,8,7,1,1066,31,313.911292442,dack,0,0,1,38245,True,717.831811086,True
130,7,8,7,1,1048,27,313.911292442,dack,1,0,1,38247,True,718.455811086,True
130,7,8,7,1,1072,32,316.160292442,dack,1,0,1,40111,True,726.086811086,True
130,7,8,7,1,1053,29,316.940292442,dack,2,0,1,40769,True,725.735811086,True
130,4,5,4,1,962,18,317.447292444,ack,0,1,1,41243,True,345.433811086,True
130,8,2,8,1,959,14,319.384295346,ack,0,1,1,42942,True,649.464811086,True
130,8,2,8,1,965,15,322.348295346,ack,1,1,1,45048,True,650.530811086,True
130,4,5,4,1,968,19,322.556292444,ack,1,1,1,45256,True,347.370811086,True
130,8,2,8,1,971,16,325.286295346,ack,1,1,1,47492,True,704.688811086,True
130,4,5,4,1,974,20,326.170292444,ack,1,1,1,48180,True,351.504811086,True
130,8,2,8,1,977,17,328.055295346,ack,1,1,1,49695,True,687.021811086,True
130,8,2,8,1,983,18,328.770295346,ack,0,1,1,50269,True,664.934811086,True
130,8,2,8,1,989,19,329.316295346,ack,0,1,1,50825,True,693.729811086,True
130,8,2,8,1,995,20,329.979295346,ack,0,1,1,51373,False,,
130,8,2,8,1,1001,21,330.655295346,ack,0,1,1,51935,True,686.657811086,True
130,8,2,8,1,1007,22,331.500295346,ack,0,1,1,52623,True,674.047811086,True
130,4,5,4,1,980,21,332.098292444,ack,2,1,1,53185,True,352.115811086,True
130,8,2,8,1,1019,24,332.631295346,ack,0,1,1,53701,True,676.491811086,True
130,8,2,8,1,1013,23,332.631295346,ack,0,1,1,53704,True,674.658811086,True
130,4,5,4,1,986,22,332.995292444,ack,0,1,1,54068,True,353.337811086,True
130,8,2,8,1,1025,25,333.008295346,ack,0,1,1,54172,True,716.973811086,True
130,7,8,7,1,1078,33,333.567292442,dack,0,0,1,54720,False,,
130,7,8,7,1,1103,36,336.986292442,dack,0,0,1,57901,True,792.958811086,True
130,7,8,7,1,1092,35,338.117292442,dack,1,0,1,58941,True,787.459811086,True
130,7,8,7,1,1081,34,338.117292442,dack,1,0,1,58943,True,794.492811086,True
130,8,2,8,1,1037,27,339.911295346,ack,0,1,1,60633,False,,
130,8,2,8,1,1049,29,341.159295346,ack,0,1,1,61649,True,697.031811086,True
130,8,2,8,1,1043,28,341.159295346,ack,0,1,1,61652,True,706.625811086,True
130,8,2,7,1,958,30,341.861295346,ack,0,1,1,62320,True,697.278811086,True
130,8,2,7,1,964,31,342.199295346,ack,0,1,1,62585,True,705.377811086,True
130,8,2,7,1,982,34,343.239295346,ack,0,1,1,63463,True,708.783811086,True
130,8,2,7,1,976,33,343.239295346,ack,0,1,1,63466,True,708.016811086,True
130,8,2,7,1,970,32,343.239295346,ack,0,1,1,63469,True,706.963811086,True
130,8,2,7,1,994,35,344.149295346,ack,0,1,1,64263,True,710.083811086,True
130,8,2,8,1,1031,26,344.149295346,ack,2,1,1,64266,True,717.272811086,True
130,8,2,7,1,1006,37,345.150295346,ack,0,1,1,64997,True,710.863811086,True
130,8,2,7,1,1000,36,345.150295346,ack,0,1,1,65000,False,,
130,8,2,7,1,988,38,345.657295346,ack,0,1,1,65418,True,711.500811086,True
130,8,2,7,1,1012,41,346.723295346,ack,0,1,1,66259,True,751.176811086,True
130,8,2,7,1,1036,40,346.723295346,ack,0,1,1,66262,True,721.068811086,True
130,8,2,7,1,1018,39,346.723295346,ack,0,1,1,66265,True,722.017811086,True
130,4,5,4,1,992,23,346.940000028,no_ack,2,1,1,66473,False,,
130,8,2,7,1,1051,43,347.945295346,ack,0,1,1,67223,True,719.443811086,True
130,8,2,7,1,1030,45,349.011295346,ack,0,1,1,68099,True,714.009811086,True
130,8,2,7,1,1024,44,349.011295346,ack,0,1,1,68102,True,712.449811086,True
130,8,2,7,1,1066,47,350.142295346,dack,0,0,1,68972,True,717.831811086,True
130,8,2,7,1,1060,46,350.142295346,ack,0,1,1,68974,True,716.336811086,True
130,8,2,7,1,1048,48,350.649295346,dack,0,0,1,69392,True,718.455811086,True
130,8,2,7,1,1072,49,351.351295346,dack,0,0,1,69915,True,726.086811086,True
130,8,2,7,1,1053,50,351.780295346,dack,0,0,1,70246,True,725.735811086,True
130,8,2,7,1,1042,42,352.885295346,dack,2,0,1,71107,True,736.473811086,True
130,8,2,8,1,1239,53,353.704295346,dack,0,0,1,71736,True,721.523811086,True
130,8,2,8,1,1221,52,353.704295346,dack,0,0,1,71738,True,747.458811086,True
130,7,8,7,1,1105,37,354.263292442,ack,0,1,1,72241,False,,
130,7,8,7,1,1119,38,354.835292442,ack,0,1,1,72664,True,808.831811086,True
130,4,5,4,1,998,24,356.105000028,no_ack,2,1,1,73732,False,,
130,8,2,8,1,1256,55,356.967295346,dack,0,0,1,74629,True,757.182811086,True
130,8,2,8,1,1253,54,356.967295346,dack,0,0,1,74631,True,741.465811086,True
130,8,2,8,1,1206,51,357.539295346,dack,2,0,1,75362,True,740.425811086,True
130,7,8,7,1,1136,41,358.267292442,ack,0,1,1,76136,True,823.924811086,True
130,4,5,4,1,1004,25,358.475292444,ack,0,1,1,76324,True,402.594811086,True
130,4,5,4,1,1010,26,359.905292444,ack,0,1,1,77705,True,387.982811086,True
130,7,8,7,1,1172,45,360.776292442,ack,0,1,1,78812,False,,
130,7,8,7,1,1141,42,360.776292442,ack,0,1,1,78815,True,825.744811086,True
130,7,8,7,1,1125,40,361.595292442,ack,1,1,1,79853,False,,
130,7,8,7,1,1120,39,361.595292442,ack,2,1,1,79856,True,836.612811086,True
130,7,8,7,1,1173,46,362.245292442,ack,0,1,1,80377,True,836.989811086,True
130,7,8,7,1,1187,47,362.791292442,ack,0,1,1,80891,False,,
130,7,8,7,1,1193,48,363.649292442,ack,0,1,1,81572,True,845.803811086,True
130,7,8,7,1,1150,43,363.649292442,ack,1,1,1,81575,True,844.685811086,True
130,4,5,4,1,1016,27,364.143292444,ack,0,1,1,82047,True,389.022811086,True
130,7,8,7,1,1317,50,364.338292442,dack,0,0,1,82324,True,891.927811086,True
130,7,8,7,1,1297,49,364.338292442,ack,0,1,1,82326,False,,
130,4,5,4,1,1022,28,364.572292444,ack,0,1,1,82536,False,,
130,7,8,7,1,1155,44,365.040292442,dack,2,0,1,83066,True,890.887811086,True
130,4,5,4,1,1028,29,365.534292444,ack,0,1,1,83435,True,394.677811086,True
130,7,8,7,1,1329,51,365.703292442,dack,0,0,1,83709,True,892.226811086,True
