seed,node,source,start_s,end_s,metric,value
130,2,7,300,600,hop_feedback:ack,17
130,2,7,300,600,hop_feedback:dack,56
130,2,7,3000,3300,hop_feedback:ack,25
130,2,7,3000,3300,hop_feedback:dack,27
130,2,7,3300,3600,hop_feedback:dack,66
130,2,7,3600,3900,hop_feedback:dack,47
130,2,7,3900,4200,hop_feedback:dack,40
130,2,7,4200,4500,hop_feedback:ack,9
130,2,7,4200,4500,hop_feedback:dack,34
130,2,7,4500,4800,hop_feedback:ack,20
130,2,7,4500,4800,hop_feedback:dack,25
130,2,7,4800,5100,hop_feedback:ack,12
130,2,7,4800,5100,hop_feedback:dack,32
130,2,7,5100,5400,hop_feedback:ack,4
130,2,7,5100,5400,hop_feedback:dack,67
130,2,7,5400,5700,hop_feedback:dack,68
130,2,7,5700,6000,hop_feedback:dack,65
130,2,7,600,900,hop_feedback:dack,74
130,2,7,900,1200,hop_feedback:dack,81
130,2,7,1200,1500,hop_feedback:dack,72
130,2,7,1500,1800,hop_feedback:dack,59
130,2,7,1800,2100,hop_feedback:dack,49
130,2,7,2100,2400,hop_feedback:dack,44
130,2,7,2400,2700,hop_feedback:dack,18
130,2,7,2700,3000,hop_feedback:ack,4
130,2,7,2700,3000,hop_feedback:dack,13
130,2,8,300,600,hop_feedback:ack,17
130,2,8,300,600,hop_feedback:dack,35
130,2,8,3000,3300,hop_feedback:ack,7
130,2,8,3300,3600,hop_feedback:ack,6
130,2,8,3600,3900,hop_feedback:ack,3
130,2,8,5100,5400,hop_feedback:ack,12
130,2,8,5400,5700,hop_feedback:ack,4
130,2,8,600,900,hop_feedback:ack,22
130,2,8,600,900,hop_feedback:dack,4
130,2,8,900,1200,hop_feedback:ack,16
130,2,8,1200,1500,hop_feedback:ack,13
130,2,8,1500,1800,hop_feedback:ack,9
130,2,8,1800,2100,hop_feedback:ack,8
130,2,8,2100,2400,hop_feedback:ack,7
130,4,2,300,600,completion_count,44
130,4,2,300,600,hop_admission:admitted,45
130,4,2,300,600,hop_capacity_release:dack_expiry,5
130,4,2,300,600,hop_completion:ack,31
130,4,2,300,600,hop_completion:dack,7
130,4,2,300,600,hop_completion:no_ack,6
130,4,2,300,600,hop_feedback:ack,17
130,4,2,300,600,hop_feedback:dack,43
130,4,2,300,600,nwk_admission:admitted,45
130,4,2,300,600,nwk_admission:neighbor_flow_full,8282
130,4,2,300,600,nwk_enqueue:relay,60
130,4,2,300,600,nwk_forward:relay,45
130,4,2,300,600,nwk_nsdp_release:hop_feedback,44
130,4,2,300,600,queue_wait_count,45
130,4,2,300,600,queue_wait_sum_s,5763.2846705520005
130,4,2,300,600,resend_count_sum,42
130,4,2,3000,3300,completion_count,43
130,4,2,3000,3300,hop_admission:admitted,44
130,4,2,3000,3300,hop_capacity_release:dack_expiry,5
130,4,2,3000,3300,hop_completion:ack,34
130,4,2,3000,3300,hop_completion:dack,6
130,4,2,3000,3300,hop_completion:no_ack,3
130,4,2,3000,3300,hop_feedback:ack,14
130,4,2,3000,3300,hop_feedback:dack,34
130,4,2,3000,3300,nwk_admission:admitted,44
130,4,2,3000,3300,nwk_admission:neighbor_flow_full,5937
130,4,2,3000,3300,nwk_enqueue:relay,48
130,4,2,3000,3300,nwk_forward:relay,44
130,4,2,3000,3300,nwk_nsdp_release:hop_feedback,43
130,4,2,3000,3300,queue_wait_count,44
130,4,2,3000,3300,queue_wait_sum_s,4988.855069155999
130,4,2,3000,3300,resend_count_sum,27
130,4,2,3300,3600,completion_count,36
130,4,2,3300,3600,hop_admission:admitted,36
130,4,2,3300,3600,hop_capacity_release:dack_expiry,10
130,4,2,3300,3600,hop_completion:ack,24
130,4,2,3300,3600,hop_completion:dack,10
130,4,2,3300,3600,hop_completion:no_ack,2
130,4,2,3300,3600,hop_feedback:ack,3
130,4,2,3300,3600,hop_feedback:dack,29
130,4,2,3300,3600,nwk_admission:admitted,36
130,4,2,3300,3600,nwk_admission:neighbor_flow_full,6468
130,4,2,3300,3600,nwk_enqueue:relay,32
130,4,2,3300,3600,nwk_forward:relay,36
130,4,2,3300,3600,nwk_nsdp_release:hop_feedback,36
130,4,2,3300,3600,queue_wait_count,36
130,4,2,3300,3600,queue_wait_sum_s,5140.629238436
130,4,2,3300,3600,resend_count_sum,28
130,4,2,3600,3900,completion_count,24
130,4,2,3600,3900,hop_admission:admitted,23
130,4,2,3600,3900,hop_capacity_release:dack_expiry,1
130,4,2,3600,3900,hop_completion:ack,22
130,4,2,3600,3900,hop_completion:no_ack,2
130,4,2,3600,3900,hop_feedback:ack,18
130,4,2,3600,3900,nwk_admission:admitted,23
130,4,2,3600,3900,nwk_admission:neighbor_flow_full,3193
130,4,2,3600,3900,nwk_enqueue:relay,18
130,4,2,3600,3900,nwk_forward:relay,23
130,4,2,3600,3900,nwk_nsdp_release:hop_feedback,24
130,4,2,3600,3900,queue_wait_count,23
130,4,2,3600,3900,queue_wait_sum_s,3302.414013348
130,4,2,3600,3900,resend_count_sum,18
130,4,2,3900,4200,completion_count,23
130,4,2,3900,4200,hop_admission:admitted,24
130,4,2,3900,4200,hop_completion:ack,23
130,4,2,3900,4200,hop_feedback:ack,20
130,4,2,3900,4200,nwk_admission:admitted,24
130,4,2,3900,4200,nwk_admission:neighbor_flow_full,2251
130,4,2,3900,4200,nwk_enqueue:relay,20
130,4,2,3900,4200,nwk_forward:relay,24
130,4,2,3900,4200,nwk_nsdp_release:hop_feedback,23
130,4,2,3900,4200,queue_wait_count,24
130,4,2,3900,4200,queue_wait_sum_s,2569.682907328
130,4,2,3900,4200,resend_count_sum,14
130,4,2,4200,4500,completion_count,27
130,4,2,4200,4500,hop_admission:admitted,27
130,4,2,4200,4500,hop_completion:ack,24
130,4,2,4200,4500,hop_completion:no_ack,3
130,4,2,4200,4500,hop_feedback:ack,22
130,4,2,4200,4500,hop_feedback:dack,16
130,4,2,4200,4500,nwk_admission:admitted,27
130,4,2,4200,4500,nwk_admission:neighbor_flow_full,4646
130,4,2,4200,4500,nwk_enqueue:relay,38
130,4,2,4200,4500,nwk_forward:relay,27
130,4,2,4200,4500,nwk_nsdp_release:hop_feedback,27
130,4,2,4200,4500,queue_wait_count,27
130,4,2,4200,4500,queue_wait_sum_s,3723.8146362920015
130,4,2,4200,4500,resend_count_sum,19
130,4,2,4500,4800,completion_count,40
130,4,2,4500,4800,hop_admission:admitted,40
130,4,2,4500,4800,hop_capacity_release:dack_expiry,2
130,4,2,4500,4800,hop_completion:ack,35
130,4,2,4500,4800,hop_completion:dack,2
130,4,2,4500,4800,hop_completion:no_ack,3
130,4,2,4500,4800,hop_feedback:ack,7
130,4,2,4500,4800,hop_feedback:dack,38
130,4,2,4500,4800,nwk_admission:admitted,40
130,4,2,4500,4800,nwk_admission:neighbor_flow_full,6640
130,4,2,4500,4800,nwk_enqueue:relay,45
130,4,2,4500,4800,nwk_forward:relay,40
130,4,2,4500,4800,nwk_nsdp_release:hop_feedback,40
130,4,2,4500,4800,queue_wait_count,40
130,4,2,4500,4800,queue_wait_sum_s,4851.152861323999
130,4,2,4500,4800,resend_count_sum,25
130,4,2,4800,5100,completion_count,50
130,4,2,4800,5100,hop_admission:admitted,49
130,4,2,4800,5100,hop_capacity_release:dack_expiry,1
130,4,2,4800,5100,hop_completion:ack,36
130,4,2,4800,5100,hop_completion:dack,2
130,4,2,4800,5100,hop_completion:no_ack,12
130,4,2,4800,5100,hop_feedback:ack,6
130,4,2,4800,5100,hop_feedback:dack,38
130,4,2,4800,5100,nwk_admission:admitted,49
130,4,2,4800,5100,nwk_admission:neighbor_flow_full,5982
130,4,2,4800,5100,nwk_enqueue:relay,44
130,4,2,4800,5100,nwk_forward:relay,49
130,4,2,4800,5100,nwk_nsdp_release:hop_feedback,50
130,4,2,4800,5100,queue_wait_count,49
130,4,2,4800,5100,queue_wait_sum_s,5824.5561708840005
130,4,2,4800,5100,resend_count_sum,44
130,4,2,5100,5400,completion_count,33
130,4,2,5100,5400,hop_admission:admitted,35
130,4,2,5100,5400,hop_capacity_release:dack_expiry,4
130,4,2,5100,5400,hop_completion:ack,25
130,4,2,5100,5400,hop_completion:dack,3
130,4,2,5100,5400,hop_completion:no_ack,5
130,4,2,5100,5400,hop_feedback:ack,17
130,4,2,5100,5400,hop_feedback:dack,17
130,4,2,5100,5400,nwk_admission:admitted,35
130,4,2,5100,5400,nwk_admission:neighbor_flow_full,5053
130,4,2,5100,5400,nwk_enqueue:relay,34
130,4,2,5100,5400,nwk_forward:relay,35
130,4,2,5100,5400,nwk_nsdp_release:hop_feedback,33
130,4,2,5100,5400,queue_wait_count,35
130,4,2,5100,5400,queue_wait_sum_s,4285.4317594560025
130,4,2,5100,5400,resend_count_sum,32
130,4,2,5400,5700,completion_count,26
130,4,2,5400,5700,hop_admission:admitted,24
130,4,2,5400,5700,hop_completion:ack,23
130,4,2,5400,5700,hop_completion:no_ack,3
130,4,2,5400,5700,hop_feedback:ack,19
130,4,2,5400,5700,nwk_admission:admitted,24
130,4,2,5400,5700,nwk_admission:neighbor_flow_full,3449
130,4,2,5400,5700,nwk_enqueue:relay,19
130,4,2,5400,5700,nwk_forward:relay,24
130,4,2,5400,5700,nwk_nsdp_release:hop_feedback,26
130,4,2,5400,5700,queue_wait_count,24
130,4,2,5400,5700,queue_wait_sum_s,3218.0764923279976
130,4,2,5400,5700,resend_count_sum,19
130,4,2,5700,6000,completion_count,22
130,4,2,5700,6000,hop_admission:admitted,22
130,4,2,5700,6000,hop_completion:ack,18
130,4,2,5700,6000,hop_completion:no_ack,4
130,4,2,5700,6000,hop_feedback:ack,14
130,4,2,5700,6000,nwk_admission:admitted,22
130,4,2,5700,6000,nwk_admission:neighbor_flow_full,1809
130,4,2,5700,6000,nwk_enqueue:relay,14
130,4,2,5700,6000,nwk_forward:relay,22
130,4,2,5700,6000,nwk_nsdp_release:hop_feedback,22
130,4,2,5700,6000,queue_wait_count,22
130,4,2,5700,6000,queue_wait_sum_s,2424.3196572879997
130,4,2,5700,6000,resend_count_sum,18
130,4,2,600,900,completion_count,20
130,4,2,600,900,hop_admission:admitted,19
130,4,2,600,900,hop_capacity_release:dack_expiry,6
130,4,2,600,900,hop_completion:ack,14
130,4,2,600,900,hop_completion:dack,4
130,4,2,600,900,hop_completion:no_ack,2
130,4,2,600,900,hop_feedback:ack,3
130,4,2,600,900,hop_feedback:dack,22
130,4,2,600,900,nwk_admission:admitted,19
130,4,2,600,900,nwk_admission:neighbor_flow_full,5488
130,4,2,600,900,nwk_enqueue:relay,25
130,4,2,600,900,nwk_forward:relay,19
130,4,2,600,900,nwk_nsdp_release:hop_feedback,20
130,4,2,600,900,queue_wait_count,19
130,4,2,600,900,queue_wait_sum_s,3773.889098211999
130,4,2,600,900,resend_count_sum,16
130,4,2,900,1200,completion_count,22
130,4,2,900,1200,hop_admission:admitted,23
130,4,2,900,1200,hop_completion:ack,19
130,4,2,900,1200,hop_completion:no_ack,3
130,4,2,900,1200,hop_feedback:ack,5
130,4,2,900,1200,hop_feedback:dack,13
130,4,2,900,1200,nwk_admission:admitted,23
130,4,2,900,1200,nwk_admission:neighbor_flow_full,5137
130,4,2,900,1200,nwk_enqueue:relay,18
130,4,2,900,1200,nwk_forward:relay,23
130,4,2,900,1200,nwk_nsdp_release:hop_feedback,22
130,4,2,900,1200,queue_wait_count,23
130,4,2,900,1200,queue_wait_sum_s,6131.8440133760005
130,4,2,900,1200,resend_count_sum,17
130,4,2,1200,1500,completion_count,12
130,4,2,1200,1500,hop_admission:admitted,11
130,4,2,1200,1500,hop_completion:ack,11
130,4,2,1200,1500,hop_completion:no_ack,1
130,4,2,1200,1500,hop_feedback:dack,16
130,4,2,1200,1500,nwk_admission:admitted,11
130,4,2,1200,1500,nwk_admission:neighbor_flow_full,5272
130,4,2,1200,1500,nwk_enqueue:relay,16
130,4,2,1200,1500,nwk_forward:relay,11
130,4,2,1200,1500,nwk_nsdp_release:hop_feedback,12
130,4,2,1200,1500,queue_wait_count,11
130,4,2,1200,1500,queue_wait_sum_s,3664.475974824
130,4,2,1200,1500,resend_count_sum,6
130,4,2,1500,1800,completion_count,10
130,4,2,1500,1800,hop_admission:admitted,11
130,4,2,1500,1800,hop_completion:ack,10
130,4,2,1500,1800,hop_feedback:dack,11
130,4,2,1500,1800,nwk_admission:admitted,11
130,4,2,1500,1800,nwk_admission:neighbor_flow_full,5489
130,4,2,1500,1800,nwk_enqueue:relay,11
130,4,2,1500,1800,nwk_forward:relay,11
130,4,2,1500,1800,nwk_nsdp_release:hop_feedback,10
130,4,2,1500,1800,queue_wait_count,11
130,4,2,1500,1800,queue_wait_sum_s,4887.560974852
130,4,2,1500,1800,resend_count_sum,7
130,4,2,1800,2100,completion_count,16
130,4,2,1800,2100,hop_admission:admitted,15
130,4,2,1800,2100,hop_completion:ack,13
130,4,2,1800,2100,hop_completion:no_ack,3
130,4,2,1800,2100,hop_feedback:dack,13
130,4,2,1800,2100,nwk_admission:admitted,15
130,4,2,1800,2100,nwk_admission:neighbor_flow_full,5242
130,4,2,1800,2100,nwk_enqueue:relay,13
130,4,2,1800,2100,nwk_forward:relay,15
130,4,2,1800,2100,nwk_nsdp_release:hop_feedback,16
130,4,2,1800,2100,queue_wait_count,15
130,4,2,1800,2100,queue_wait_sum_s,7036.2281826280005
130,4,2,1800,2100,resend_count_sum,15
130,4,2,2100,2400,completion_count,13
130,4,2,2100,2400,hop_admission:admitted,13
130,4,2,2100,2400,hop_completion:ack,12
130,4,2,2100,2400,hop_completion:no_ack,1
130,4,2,2100,2400,hop_feedback:ack,1
130,4,2,2100,2400,hop_feedback:dack,7
130,4,2,2100,2400,nwk_admission:admitted,13
130,4,2,2100,2400,nwk_admission:neighbor_flow_full,4803
130,4,2,2100,2400,nwk_enqueue:relay,8
130,4,2,2100,2400,nwk_forward:relay,13
130,4,2,2100,2400,nwk_nsdp_release:hop_feedback,13
130,4,2,2100,2400,queue_wait_count,13
130,4,2,2100,2400,queue_wait_sum_s,5936.337225032001
130,4,2,2100,2400,resend_count_sum,9
130,4,2,2400,2700,completion_count,16
130,4,2,2400,2700,hop_admission:admitted,16
130,4,2,2400,2700,hop_completion:ack,16
130,4,2,2400,2700,hop_feedback:ack,9
130,4,2,2400,2700,hop_feedback:dack,1
130,4,2,2400,2700,nwk_admission:admitted,16
130,4,2,2400,2700,nwk_admission:neighbor_flow_full,3794
130,4,2,2400,2700,nwk_enqueue:relay,10
130,4,2,2400,2700,nwk_forward:relay,16
130,4,2,2400,2700,nwk_nsdp_release:hop_feedback,16
130,4,2,2400,2700,queue_wait_count,16
130,4,2,2400,2700,queue_wait_sum_s,6119.944661468001
130,4,2,2400,2700,resend_count_sum,13
130,4,2,2700,3000,completion_count,11
130,4,2,2700,3000,hop_admission:admitted,11
130,4,2,2700,3000,hop_completion:ack,11
130,4,2,2700,3000,hop_feedback:ack,16
130,4,2,2700,3000,nwk_admission:admitted,11
130,4,2,2700,3000,nwk_admission:neighbor_flow_full,1908
130,4,2,2700,3000,nwk_enqueue:relay,16
130,4,2,2700,3000,nwk_forward:relay,11
130,4,2,2700,3000,nwk_nsdp_release:hop_feedback,11
130,4,2,2700,3000,queue_wait_count,11
130,4,2,2700,3000,queue_wait_sum_s,2234.9782673800005
130,4,2,2700,3000,resend_count_sum,9
130,4,4,300,600,completion_count,33
130,4,4,300,600,hop_admission:admitted,33
130,4,4,300,600,hop_completion:ack,31
130,4,4,300,600,hop_completion:no_ack,2
130,4,4,300,600,nwk_admission:admitted,33
130,4,4,300,600,nwk_admission:neighbor_flow_full,5589
130,4,4,300,600,nwk_enqueue:local,49
130,4,4,300,600,nwk_forward:local,33
130,4,4,300,600,nwk_nsdp_release:hop_feedback,33
130,4,4,300,600,queue_wait_count,33
130,4,4,300,600,queue_wait_sum_s,3137.0067742999995
130,4,4,300,600,resend_count_sum,27
130,4,4,3000,3300,completion_count,39
130,4,4,3000,3300,hop_admission:admitted,38
130,4,4,3000,3300,hop_completion:ack,34
130,4,4,3000,3300,hop_completion:dack,1
130,4,4,3000,3300,hop_completion:no_ack,4
130,4,4,3000,3300,nwk_admission:admitted,38
130,4,4,3000,3300,nwk_admission:neighbor_flow_full,5549
130,4,4,3000,3300,nwk_enqueue:local,39
130,4,4,3000,3300,nwk_forward:local,38
130,4,4,3000,3300,nwk_nsdp_release:hop_feedback,39
130,4,4,3000,3300,queue_wait_count,38
130,4,4,3000,3300,queue_wait_sum_s,4431.430114048
130,4,4,3000,3300,resend_count_sum,26
130,4,4,3300,3600,completion_count,33
130,4,4,3300,3600,hop_admission:admitted,34
130,4,4,3300,3600,hop_capacity_release:dack_expiry,2
130,4,4,3300,3600,hop_completion:ack,29
130,4,4,3300,3600,hop_completion:dack,1
130,4,4,3300,3600,hop_completion:no_ack,3
130,4,4,3300,3600,nwk_admission:admitted,34
130,4,4,3300,3600,nwk_admission:neighbor_flow_full,5642
130,4,4,3300,3600,nwk_enqueue:local,33
130,4,4,3300,3600,nwk_forward:local,34
130,4,4,3300,3600,nwk_nsdp_release:hop_feedback,33
130,4,4,3300,3600,queue_wait_count,34
130,4,4,3300,3600,queue_wait_sum_s,4612.411944187998
130,4,4,3300,3600,resend_count_sum,22
130,4,4,3600,3900,completion_count,35
130,4,4,3600,3900,hop_admission:admitted,37
