seed,time_s,event_index,node,destination,next_hop,cost,reason,detail
130,16.268331086,1131,5,1,1,7450,neighbor admitted,num_hop=1;path=1
130,28.792792444,3165,4,1,5,14900,candidate update,num_hop=2;path=5>1
130,46.546473632,7236,2,1,4,22350,candidate update,num_hop=3;path=4>5>1
130,57.300792444,9437,4,1,5,14900,source candidate replacement,num_hop=2;path=5>1
130,60.570935346,10671,8,1,2,29800,candidate update,num_hop=4;path=2>4>5>1
130,60.858413632,10771,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
130,61.573715346,11039,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
130,74.698073632,13701,2,1,4,22350,source candidate replacement,num_hop=3;path=4>5>1
130,75.728432442,14033,7,1,8,37250,candidate update,num_hop=5;path=8>2>4>5>1
130,79.767555346,15616,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
130,79.957732442,15698,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
130,92.102535346,17898,8,1,2,29800,source candidate replacement,num_hop=4;path=2>4>5>1
130,92.443072442,17938,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
130,103.088832442,18644,7,1,8,37250,source candidate replacement,num_hop=5;path=8>2>4>5>1
