case_id,step,time_s,action,packet,peer,ack_packets,dack_packets,note
clean_growth_boundary,1,0,PROBE,,8,,,
clean_growth_boundary,2,0.001,SEND,p1,8,,,
clean_growth_boundary,3,0.001,TX,p1,8,,,
clean_growth_boundary,4,0.002,SEND,blocked,8,,,
clean_growth_boundary,5,0.003,FEEDBACK,,8,p1,,
clean_growth_boundary,6,0.004,SEND,p2,8,,,
clean_growth_boundary,7,0.004,TX,p2,8,,,
clean_growth_boundary,8,0.005,FEEDBACK,,8,p2,,
clean_growth_boundary,9,0.006,SEND,p3,8,,,
clean_growth_boundary,10,0.006,TX,p3,8,,,
clean_growth_boundary,11,0.007,FEEDBACK,,8,p3,,
clean_growth_boundary,12,0.008,SEND,a,8,,,
clean_growth_boundary,13,0.008,TX,a,8,,,
clean_growth_boundary,14,0.009,SEND,b,8,,,
clean_growth_boundary,15,0.009,TX,b,8,,,
clean_growth_boundary,16,0.01,SEND,blocked2,8,,,
clean_growth_boundary,17,0.011,FEEDBACK,,8,a;b,,
retried_third_ack,1,0,SEND,w1,8,,,
retried_third_ack,2,0,TX,w1,8,,,
retried_third_ack,3,0.002,FEEDBACK,,8,w1,,
retried_third_ack,4,0.01,SEND,w2,8,,,
retried_third_ack,5,0.01,TX,w2,8,,,
retried_third_ack,6,0.012,FEEDBACK,,8,w2,,
retried_third_ack,7,0.1,SEND,retry,8,,,
retried_third_ack,8,0.1,TX,retry,8,,,
retried_third_ack,9,2.099,PROBE,,8,,,
retried_third_ack,10,2.101,PROBE,,8,,,
retried_third_ack,11,2.11,TX,retry,8,,,
retried_third_ack,12,2.12,FEEDBACK,,8,retry,,
retried_third_ack,13,2.2,SEND,after1,8,,,
retried_third_ack,14,2.2,TX,after1,8,,,
retried_third_ack,15,2.202,FEEDBACK,,8,after1,,
retried_third_ack,16,2.21,PROBE,,8,,,
retried_second_ack,1,0,SEND,w1,8,,,
retried_second_ack,2,0,TX,w1,8,,,
retried_second_ack,3,0.002,FEEDBACK,,8,w1,,
retried_second_ack,4,0.1,SEND,retry,8,,,
retried_second_ack,5,0.1,TX,retry,8,,,
retried_second_ack,6,2.11,TX,retry,8,,,
retried_second_ack,7,2.12,FEEDBACK,,8,retry,,
retried_second_ack,8,2.2,SEND,after1,8,,,
retried_second_ack,9,2.2,TX,after1,8,,,
retried_second_ack,10,2.202,FEEDBACK,,8,after1,,
retried_second_ack,11,2.21,SEND,after2,8,,,
retried_second_ack,12,2.21,TX,after2,8,,,
retried_second_ack,13,2.212,FEEDBACK,,8,after2,,
retried_second_ack,14,2.22,PROBE,,8,,,
retried_second_ack,15,2.23,SEND,third1,8,,,
retried_second_ack,16,2.23,TX,third1,8,,,
retried_second_ack,17,2.232,FEEDBACK,,8,third1,,
retried_second_ack,18,2.24,PROBE,,8,,,
dack_hold_20,1,0,SEND,w1,8,,,
dack_hold_20,2,0,TX,w1,8,,,
dack_hold_20,3,0.002,FEEDBACK,,8,w1,,
dack_hold_20,4,0.01,SEND,w2,8,,,
dack_hold_20,5,0.01,TX,w2,8,,,
dack_hold_20,6,0.012,FEEDBACK,,8,w2,,
dack_hold_20,7,0.02,SEND,w3,8,,,
dack_hold_20,8,0.02,TX,w3,8,,,
dack_hold_20,9,0.022,FEEDBACK,,8,w3,,
dack_hold_20,10,0.03,SEND,w4,8,,,
dack_hold_20,11,0.03,TX,w4,8,,,
dack_hold_20,12,0.032,FEEDBACK,,8,w4,,
dack_hold_20,13,0.04,SEND,w5,8,,,
dack_hold_20,14,0.04,TX,w5,8,,,
dack_hold_20,15,0.042,FEEDBACK,,8,w5,,
dack_hold_20,16,0.2,SEND,held,8,,,
dack_hold_20,17,0.2,TX,held,8,,,
dack_hold_20,18,0.21,FEEDBACK,,8,,held,
dack_hold_20,19,0.22,SEND,other,8,,,
dack_hold_20,20,0.22,TX,other,8,,,
dack_hold_20,21,0.221,SEND,blocked,8,,,
dack_hold_20,22,0.23,FEEDBACK,,8,other,,
dack_hold_20,23,20.209,PROBE,,8,,,
dack_hold_20,24,20.211,PROBE,,8,,,
dack_hold_40,1,0,SEND,w1,8,,,
dack_hold_40,2,0,TX,w1,8,,,
dack_hold_40,3,0.002,FEEDBACK,,8,w1,,
dack_hold_40,4,0.01,SEND,w2,8,,,
dack_hold_40,5,0.01,TX,w2,8,,,
dack_hold_40,6,0.012,FEEDBACK,,8,w2,,
dack_hold_40,7,0.1,SEND,held,8,,,
dack_hold_40,8,0.1,TX,held,8,,,
dack_hold_40,9,2.11,TX,held,8,,,
dack_hold_40,10,4.12,TX,held,8,,,
dack_hold_40,11,4.13,FEEDBACK,,8,,held,
dack_hold_40,12,24.131,PROBE,,8,,,
dack_hold_40,13,44.129,PROBE,,8,,,
dack_hold_40,14,44.131,PROBE,,8,,,
final_failure_floor,1,0,SEND,w1,8,,,
final_failure_floor,2,0,TX,w1,8,,,
final_failure_floor,3,0.002,FEEDBACK,,8,w1,,
final_failure_floor,4,0.01,SEND,w2,8,,,
final_failure_floor,5,0.01,TX,w2,8,,,
final_failure_floor,6,0.012,FEEDBACK,,8,w2,,
final_failure_floor,7,0.02,SEND,w3,8,,,
final_failure_floor,8,0.02,TX,w3,8,,,
final_failure_floor,9,0.022,FEEDBACK,,8,w3,,
final_failure_floor,10,0.1,SEND,fail1,8,,,
final_failure_floor,11,0.1,TX,fail1,8,,,
final_failure_floor,12,2.11,TX,fail1,8,,,
final_failure_floor,13,4.12,TX,fail1,8,,,
final_failure_floor,14,8.119,PROBE,,8,,,
final_failure_floor,15,8.121,PROBE,,8,,,
final_failure_floor,16,9,SEND,fail2,8,,,
final_failure_floor,17,9,TX,fail2,8,,,
final_failure_floor,18,11.01,TX,fail2,8,,,
final_failure_floor,19,13.02,TX,fail2,8,,,
final_failure_floor,20,17.021,PROBE,,8,,,
final_failure_floor,21,17.1,SEND,next,8,,,
ceiling_global_capacity,1,0,SEND,w1,8,,,
ceiling_global_capacity,2,0,TX,w1,8,,,
ceiling_global_capacity,3,0.002,FEEDBACK,,8,w1,,
ceiling_global_capacity,4,0.003,SEND,w2,8,,,
ceiling_global_capacity,5,0.003,TX,w2,8,,,
ceiling_global_capacity,6,0.005,FEEDBACK,,8,w2,,
ceiling_global_capacity,7,0.006,SEND,w3,8,,,
ceiling_global_capacity,8,0.006,TX,w3,8,,,
ceiling_global_capacity,9,0.008,FEEDBACK,,8,w3,,
ceiling_global_capacity,10,0.009,SEND,w4,8,,,
ceiling_global_capacity,11,0.009,TX,w4,8,,,
ceiling_global_capacity,12,0.011,FEEDBACK,,8,w4,,
ceiling_global_capacity,13,0.012,SEND,w5,8,,,
ceiling_global_capacity,14,0.012,TX,w5,8,,,
ceiling_global_capacity,15,0.014,FEEDBACK,,8,w5,,
ceiling_global_capacity,16,0.015,SEND,w6,8,,,
ceiling_global_capacity,17,0.015,TX,w6,8,,,
ceiling_global_capacity,18,0.017,FEEDBACK,,8,w6,,
ceiling_global_capacity,19,0.018,SEND,w7,8,,,
ceiling_global_capacity,20,0.018,TX,w7,8,,,
ceiling_global_capacity,21,0.02,FEEDBACK,,8,w7,,
ceiling_global_capacity,22,0.021,SEND,w8,8,,,
ceiling_global_capacity,23,0.021,TX,w8,8,,,
ceiling_global_capacity,24,0.023,FEEDBACK,,8,w8,,
ceiling_global_capacity,25,0.024,SEND,w9,8,,,
ceiling_global_capacity,26,0.024,TX,w9,8,,,
ceiling_global_capacity,27,0.026,FEEDBACK,,8,w9,,
ceiling_global_capacity,28,0.027,SEND,w10,8,,,
ceiling_global_capacity,29,0.027,TX,w10,8,,,
ceiling_global_capacity,30,0.029,FEEDBACK,,8,w10,,
ceiling_global_capacity,31,0.03,SEND,w11,8,,,
ceiling_global_capacity,32,0.03,TX,w11,8,,,
ceiling_global_capacity,33,0.032,FEEDBACK,,8,w11,,
ceiling_global_capacity,34,0.033,SEND,w12,8,,,
ceiling_global_capacity,35,0.033,TX,w12,8,,,
ceiling_global_capacity,36,0.035,FEEDBACK,,8,w12,,
ceiling_global_capacity,37,0.036,SEND,w13,8,,,
ceiling_global_capacity,38,0.036,TX,w13,8,,,
ceiling_global_capacity,39,0.038,FEEDBACK,,8,w13,,
ceiling_global_capacity,40,0.039,SEND,w14,8,,,
ceiling_global_capacity,41,0.039,TX,w14,8,,,
ceiling_global_capacity,42,0.041,FEEDBACK,,8,w14,,
ceiling_global_capacity,43,0.042,SEND,w15,8,,,
ceiling_global_capacity,44,0.042,TX,w15,8,,,
ceiling_global_capacity,45,0.044,FEEDBACK,,8,w15,,
ceiling_global_capacity,46,0.045,SEND,w16,8,,,
ceiling_global_capacity,47,0.045,TX,w16,8,,,
ceiling_global_capacity,48,0.047,FEEDBACK,,8,w16,,
ceiling_global_capacity,49,0.048,SEND,w17,8,,,
ceiling_global_capacity,50,0.048,TX,w17,8,,,
ceiling_global_capacity,51,0.05,FEEDBACK,,8,w17,,
ceiling_global_capacity,52,0.051,SEND,w18,8,,,
ceiling_global_capacity,53,0.051,TX,w18,8,,,
ceiling_global_capacity,54,0.053,FEEDBACK,,8,w18,,
ceiling_global_capacity,55,0.054,SEND,w19,8,,,
ceiling_global_capacity,56,0.054,TX,w19,8,,,
ceiling_global_capacity,57,0.056,FEEDBACK,,8,w19,,
ceiling_global_capacity,58,0.057,SEND,w20,8,,,
ceiling_global_capacity,59,0.057,TX,w20,8,,,
ceiling_global_capacity,60,0.059,FEEDBACK,,8,w20,,
ceiling_global_capacity,61,0.06,SEND,w21,8,,,
ceiling_global_capacity,62,0.06,TX,w21,8,,,
ceiling_global_capacity,63,0.062,FEEDBACK,,8,w21,,
ceiling_global_capacity,64,0.063,SEND,w22,8,,,
ceiling_global_capacity,65,0.063,TX,w22,8,,,
ceiling_global_capacity,66,0.065,FEEDBACK,,8,w22,,
ceiling_global_capacity,67,0.066,SEND,w23,8,,,
ceiling_global_capacity,68,0.066,TX,w23,8,,,
ceiling_global_capacity,69,0.068,FEEDBACK,,8,w23,,
ceiling_global_capacity,70,0.069,SEND,w24,8,,,
ceiling_global_capacity,71,0.069,TX,w24,8,,,
ceiling_global_capacity,72,0.071,FEEDBACK,,8,w24,,
ceiling_global_capacity,73,0.072,SEND,w25,8,,,
ceiling_global_capacity,74,0.072,TX,w25,8,,,
ceiling_global_capacity,75,0.074,FEEDBACK,,8,w25,,
ceiling_global_capacity,76,0.075,SEND,w26,8,,,
ceiling_global_capacity,77,0.075,TX,w26,8,,,
ceiling_global_capacity,78,0.077,FEEDBACK,,8,w26,,
ceiling_global_capacity,79,0.078,SEND,w27,8,,,
ceiling_global_capacity,80,0.078,TX,w27,8,,,
ceiling_global_capacity,81,0.08,FEEDBACK,,8,w27,,
ceiling_global_capacity,82,0.081,SEND,w28,8,,,
ceiling_global_capacity,83,0.081,TX,w28,8,,,
ceiling_global_capacity,84,0.083,FEEDBACK,,8,w28,,
ceiling_global_capacity,85,0.084,SEND,w29,8,,,
ceiling_global_capacity,86,0.084,TX,w29,8,,,
ceiling_global_capacity,87,0.086,FEEDBACK,,8,w29,,
ceiling_global_capacity,88,0.087,SEND,w30,8,,,
ceiling_global_capacity,89,0.087,TX,w30,8,,,
ceiling_global_capacity,90,0.089,FEEDBACK,,8,w30,,
ceiling_global_capacity,91,0.09,SEND,w31,8,,,
ceiling_global_capacity,92,0.09,TX,w31,8,,,
ceiling_global_capacity,93,0.092,FEEDBACK,,8,w31,,
ceiling_global_capacity,94,0.093,SEND,w32,8,,,
ceiling_global_capacity,95,0.093,TX,w32,8,,,
ceiling_global_capacity,96,0.095,FEEDBACK,,8,w32,,
