case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,nsdp_release_total,live_retry_sum,tx_total
final_failure_floor,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0
final_failure_floor,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,1
final_failure_floor,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,1
final_failure_floor,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,1
final_failure_floor,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,2
final_failure_floor,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,2
final_failure_floor,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,2
final_failure_floor,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,3
final_failure_floor,9,0.021999999999999999,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,3
final_failure_floor,10,0.10000000000000001,SEND,fail1,8,1,1,0,1,1,0,1,1,3,0,3
final_failure_floor,11,0.10000000000000001,TX,fail1,8,-1,1,0,1,1,0,1,1,3,0,4
final_failure_floor,12,2.1099999999999999,TX,fail1,8,-1,1,0,1,1,0,1,1,3,1,5
final_failure_floor,13,4.1200000000000001,TX,fail1,8,-1,1,0,1,1,0,1,1,3,2,6
final_failure_floor,14,8.1189999999999998,PROBE,,8,-1,1,0,1,1,0,1,1,3,2,6
final_failure_floor,15,8.1210000000000004,PROBE,,8,-1,0,0,0,0,0,0,1,4,0,6
final_failure_floor,16,9,SEND,fail2,8,1,0,0,1,1,0,1,0,4,0,6
final_failure_floor,17,9,TX,fail2,8,-1,0,0,1,1,0,1,0,4,0,7
final_failure_floor,18,11.01,TX,fail2,8,-1,0,0,1,1,0,1,0,4,1,8
final_failure_floor,19,13.02,TX,fail2,8,-1,0,0,1,1,0,1,0,4,2,9
final_failure_floor,20,17.021000000000001,PROBE,,8,-1,0,0,0,0,0,0,1,5,0,9
final_failure_floor,21,17.100000000000001,SEND,next,8,1,0,0,1,1,0,1,0,5,0,9
