case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,nsdp_release_total,live_retry_sum,tx_total
grouped_feedback_order,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0
grouped_feedback_order,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,1
grouped_feedback_order,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,1
grouped_feedback_order,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,1
grouped_feedback_order,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,2
grouped_feedback_order,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,2
grouped_feedback_order,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,2
grouped_feedback_order,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,3
grouped_feedback_order,9,0.021999999999999999,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,3
grouped_feedback_order,10,0.029999999999999999,SEND,w4,8,1,1,0,1,1,0,1,1,3,0,3
grouped_feedback_order,11,0.029999999999999999,TX,w4,8,-1,1,0,1,1,0,1,1,3,0,4
grouped_feedback_order,12,0.032000000000000001,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,4
grouped_feedback_order,13,0.040000000000000001,SEND,w5,8,1,1,1,1,1,0,1,1,4,0,4
grouped_feedback_order,14,0.040000000000000001,TX,w5,8,-1,1,1,1,1,0,1,1,4,0,5
grouped_feedback_order,15,0.042000000000000003,FEEDBACK,,8,-1,1,2,0,0,0,0,1,5,0,5
grouped_feedback_order,16,0.20000000000000001,SEND,a,8,1,1,2,1,1,0,1,1,5,0,5
grouped_feedback_order,17,0.20000000000000001,TX,a,8,-1,1,2,1,1,0,1,1,5,0,6
grouped_feedback_order,18,0.20999999999999999,SEND,b,8,1,1,2,2,2,0,2,0,5,0,6
grouped_feedback_order,19,0.20999999999999999,TX,b,8,-1,1,2,2,2,0,2,0,5,0,7
grouped_feedback_order,20,0.22,FEEDBACK,,8,-1,2,1,0,0,0,0,1,7,0,7
grouped_feedback_order,21,0.23000000000000001,SEND,c,8,1,2,1,1,1,0,1,1,7,0,7
grouped_feedback_order,22,0.23000000000000001,TX,c,8,-1,2,1,1,1,0,1,1,7,0,8
grouped_feedback_order,23,0.23999999999999999,SEND,d,8,1,2,1,2,2,0,2,1,7,0,8
grouped_feedback_order,24,0.23999999999999999,TX,d,8,-1,2,1,2,2,0,2,1,7,0,9
grouped_feedback_order,25,0.25,FEEDBACK,,8,-1,2,1,1,1,1,0,1,9,0,9
grouped_feedback_order,26,0.26000000000000001,FEEDBACK,,8,-1,2,1,1,1,1,0,1,9,0,9
grouped_feedback_order,27,0.27000000000000002,FEEDBACK,,8,-1,2,1,1,1,1,0,1,9,0,9
grouped_feedback_order,28,20.251000000000001,PROBE,,8,-1,2,1,0,0,0,0,1,9,0,9
