case_id,step,time_s,kind,sequence,ack_hex,dack_hex,relay_nsdp,local_nsdp,nwk_owned
dack_reassessment_after_release,1,0.10000000000000001,ACK,1,0000000000000001,0000000000000000,1,0,1
dack_reassessment_after_release,2,0.11,ACK,2,0000000000000003,0000000000000000,2,0,2
dack_reassessment_after_release,3,0.12,ACK,3,0000000000000007,0000000000000000,3,0,3
dack_reassessment_after_release,4,0.13,ACK,4,000000000000000F,0000000000000000,4,0,4
dack_reassessment_after_release,5,0.14000000000000001,ACK,5,000000000000001F,0000000000000000,5,0,5
dack_reassessment_after_release,6,0.14999999999999999,ACK,6,000000000000003F,0000000000000000,6,0,6
dack_reassessment_after_release,7,0.16,ACK,7,000000000000007F,0000000000000000,7,0,7
dack_reassessment_after_release,8,0.17000000000000001,ACK,8,00000000000000FF,0000000000000000,8,0,8
dack_reassessment_after_release,9,0.17999999999999999,ACK,9,00000000000001FF,0000000000000000,9,0,9
dack_reassessment_after_release,10,0.19,ACK,10,00000000000003FF,0000000000000000,10,0,10
dack_reassessment_after_release,11,0.20000000000000001,ACK,11,00000000000007FF,0000000000000000,11,0,11
dack_reassessment_after_release,12,0.20999999999999999,ACK,12,0000000000000FFF,0000000000000000,12,0,12
dack_reassessment_after_release,13,0.22,ACK,13,0000000000001FFF,0000000000000000,13,0,13
dack_reassessment_after_release,14,0.23000000000000001,ACK,14,0000000000003FFF,0000000000000000,14,0,14
dack_reassessment_after_release,15,0.23999999999999999,ACK,15,0000000000007FFF,0000000000000000,15,0,15
dack_reassessment_after_release,16,0.25,ACK,16,000000000000FFFF,0000000000000000,16,0,16
dack_reassessment_after_release,17,0.26000000000000001,DACK,17,000000000001FFFE,0000000000000001,17,0,17
dack_reassessment_after_release,24,0.33000000000000002,ACK,17,000000000001FFFF,0000000000000001,15,0,15
