case_id,step,time_s,kind,sequence,ack_hex,dack_hex,relay_nsdp,local_nsdp,nwk_owned
relay_boundary,1,0.10000000000000001,ACK,1,0000000000000001,0000000000000000,1,0,1
relay_boundary,2,0.11,ACK,2,0000000000000003,0000000000000000,2,0,2
relay_boundary,3,0.12,ACK,3,0000000000000007,0000000000000000,3,0,3
relay_boundary,4,0.13,ACK,4,000000000000000F,0000000000000000,4,0,4
relay_boundary,5,0.14000000000000001,ACK,5,000000000000001F,0000000000000000,5,0,5
relay_boundary,6,0.14999999999999999,ACK,6,000000000000003F,0000000000000000,6,0,6
relay_boundary,7,0.16,ACK,7,000000000000007F,0000000000000000,7,0,7
relay_boundary,8,0.17000000000000001,ACK,8,00000000000000FF,0000000000000000,8,0,8
relay_boundary,9,0.17999999999999999,ACK,9,00000000000001FF,0000000000000000,9,0,9
relay_boundary,10,0.19,ACK,10,00000000000003FF,0000000000000000,10,0,10
relay_boundary,11,0.20000000000000001,ACK,11,00000000000007FF,0000000000000000,11,0,11
relay_boundary,12,0.20999999999999999,ACK,12,0000000000000FFF,0000000000000000,12,0,12
relay_boundary,13,0.22,ACK,13,0000000000001FFF,0000000000000000,13,0,13
relay_boundary,14,0.23000000000000001,ACK,14,0000000000003FFF,0000000000000000,14,0,14
relay_boundary,15,0.23999999999999999,ACK,15,0000000000007FFF,0000000000000000,15,0,15
relay_boundary,16,0.25,ACK,16,000000000000FFFF,0000000000000000,16,0,16
relay_boundary,17,0.26000000000000001,DACK,17,000000000001FFFE,0000000000000001,17,0,17
