schema,event_index,time_s,event,node,peer,packet_type,src,dst,sequence,rate_kbps,size_bytes,success,reason,pathloss_db,rx_power_dbm,noise_dbm,snr_db,jsr_db,header_errors,payload_errors,total_errors,route_cost,next_hop,security_count,reservation_slot,reservation_counter,detail,statistic,value
csr-differential-trace-v1,0,0.10000000000000001,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,NWK.Network Queue Size (packets),1
csr-differential-trace-v1,1,0.10000000000000001,nwk_enqueue,8,7,data,7,1,1,,23,1,relay,,,,,,,,,,,,,,nsdp_count=1;nsdp_limit=16;queue_after=1,,
csr-differential-trace-v1,2,0.10000000000000001,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,MAC.ACK Queue Size (packets),1
csr-differential-trace-v1,3,0.10000000000000001,hop_feedback,8,7,data,7,1,1,,,1,ack,,,,,,,,,,,,,,hop_sequence=1;first_reception=1;ackable=1;nsdp_count_before=0;nsdp_count_after=1;nsdp_state_valid=1;nsdp_limit=16,,
csr-differential-trace-v1,4,0.100000028,nwk_admission,8,2,data,7,1,1,,,1,admitted,,,,,,,,,,2,,,,queue_before=1;queue_after=0;nsdp_count=1;nsdp_limit=16;pending=0;pending_limit=16;global_spad=17;outstanding=0;threshold=0;neighbor_spad=1;route_known=1,,
csr-differential-trace-v1,5,0.100000028,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,NWK.Network Queue Size (packets),0
csr-differential-trace-v1,6,0.100000028,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,NWK.Network Queuing Delay (sec),2.7999999999952976e-08
csr-differential-trace-v1,7,0.100000028,nwk_forward,8,7,data,7,1,1,,23,1,relay,,,,,,,,,1,2,,,,num_hop=2;path=2>1,,
csr-differential-trace-v1,8,0.100000028,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,9,0.100000028,hop_admission,8,2,data,7,1,1,,,1,admitted,,,,,,,,,,2,,,,hop_sequence=1;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=0;neighbor_spad_before=1;neighbor_spad_after=0;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,10,0.100000028,statistic_sample,8,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,11,0.10000100000000001,t23_checkpoint,8,,,,,1,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,12,0.11,hop_feedback,8,7,data,7,1,1,,,1,ack,,,,,,,,,,,,,,hop_sequence=1;first_reception=0;ackable=1;nsdp_count_before=1;nsdp_count_after=1;nsdp_state_valid=1;nsdp_limit=16,,
csr-differential-trace-v1,13,0.110001,t23_checkpoint,8,,,,,2,,,,,,,,,,,,,,,,,,,,
