case_id,step,time_s,observe_s,action,packet,sequence,nwk_source,destination,ack_packets,dack_packets,note
relay_boundary,1,0.10,0.100001,RX,r01,1,7,1,,,
relay_boundary,2,0.11,0.110001,RX,r02,2,7,1,,,
relay_boundary,3,0.12,0.120001,RX,r03,3,7,1,,,
relay_boundary,4,0.13,0.130001,RX,r04,4,7,1,,,
relay_boundary,5,0.14,0.140001,RX,r05,5,7,1,,,
relay_boundary,6,0.15,0.150001,RX,r06,6,7,1,,,
relay_boundary,7,0.16,0.160001,RX,r07,7,7,1,,,
relay_boundary,8,0.17,0.170001,RX,r08,8,7,1,,,
relay_boundary,9,0.18,0.180001,RX,r09,9,7,1,,,
relay_boundary,10,0.19,0.190001,RX,r10,10,7,1,,,
relay_boundary,11,0.20,0.200001,RX,r11,11,7,1,,,
relay_boundary,12,0.21,0.210001,RX,r12,12,7,1,,,
relay_boundary,13,0.22,0.220001,RX,r13,13,7,1,,,
relay_boundary,14,0.23,0.230001,RX,r14,14,7,1,,,
relay_boundary,15,0.24,0.240001,RX,r15,15,7,1,,,
relay_boundary,16,0.25,0.250001,RX,r16,16,7,1,,,
relay_boundary,17,0.26,0.260001,RX,r17,17,7,1,,,
local_relay_independence,1,0.10,0.100001,LOCAL,l01,0,8,1,,,
local_relay_independence,2,0.11,0.110001,LOCAL,l02,0,8,1,,,
local_relay_independence,3,0.12,0.120001,LOCAL,l03,0,8,1,,,
local_relay_independence,4,0.13,0.130001,LOCAL,l04,0,8,1,,,
local_relay_independence,5,0.14,0.140001,LOCAL,l05,0,8,1,,,
local_relay_independence,6,0.15,0.150001,LOCAL,l06,0,8,1,,,
local_relay_independence,7,0.16,0.160001,LOCAL,l07,0,8,1,,,
local_relay_independence,8,0.17,0.170001,LOCAL,l08,0,8,1,,,
local_relay_independence,9,0.18,0.180001,LOCAL,l09,0,8,1,,,
local_relay_independence,10,0.19,0.190001,LOCAL,l10,0,8,1,,,
local_relay_independence,11,0.20,0.200001,LOCAL,l11,0,8,1,,,
local_relay_independence,12,0.21,0.210001,LOCAL,l12,0,8,1,,,
local_relay_independence,13,0.22,0.220001,LOCAL,l13,0,8,1,,,
local_relay_independence,14,0.23,0.230001,LOCAL,l14,0,8,1,,,
local_relay_independence,15,0.24,0.240001,LOCAL,l15,0,8,1,,,
local_relay_independence,16,0.25,0.250001,LOCAL,l16,0,8,1,,,
local_relay_independence,17,0.26,0.260001,LOCAL,l17,0,8,1,,,
local_relay_independence,18,0.27,0.270001,RX,r01,1,7,1,,,
local_relay_independence,19,0.28,0.280001,RX,r02,2,7,1,,,
local_relay_independence,20,0.29,0.290001,RX,r03,3,7,1,,,
local_relay_independence,21,0.30,0.300001,RX,r04,4,7,1,,,
local_relay_independence,22,0.31,0.310001,RX,r05,5,7,1,,,
local_relay_independence,23,0.32,0.320001,RX,r06,6,7,1,,,
local_relay_independence,24,0.33,0.330001,RX,r07,7,7,1,,,
local_relay_independence,25,0.34,0.340001,RX,r08,8,7,1,,,
local_relay_independence,26,0.35,0.350001,RX,r09,9,7,1,,,
local_relay_independence,27,0.36,0.360001,RX,r10,10,7,1,,,
local_relay_independence,28,0.37,0.370001,RX,r11,11,7,1,,,
local_relay_independence,29,0.38,0.380001,RX,r12,12,7,1,,,
local_relay_independence,30,0.39,0.390001,RX,r13,13,7,1,,,
local_relay_independence,31,0.40,0.400001,RX,r14,14,7,1,,,
local_relay_independence,32,0.41,0.410001,RX,r15,15,7,1,,,
local_relay_independence,33,0.42,0.420001,RX,r16,16,7,1,,,
local_relay_independence,34,0.43,0.430001,RX,r17,17,7,1,,,
ack_duplicate,1,0.10,0.100001,RX,r01,1,7,1,,,
ack_duplicate,2,0.11,0.110001,RX,r01,1,7,1,,,Same application and incoming HOP sequence.
dack_duplicate_pressure,1,0.10,0.100001,RX,r01,1,7,1,,,
dack_duplicate_pressure,2,0.11,0.110001,RX,r02,2,7,1,,,
dack_duplicate_pressure,3,0.12,0.120001,RX,r03,3,7,1,,,
dack_duplicate_pressure,4,0.13,0.130001,RX,r04,4,7,1,,,
dack_duplicate_pressure,5,0.14,0.140001,RX,r05,5,7,1,,,
dack_duplicate_pressure,6,0.15,0.150001,RX,r06,6,7,1,,,
dack_duplicate_pressure,7,0.16,0.160001,RX,r07,7,7,1,,,
dack_duplicate_pressure,8,0.17,0.170001,RX,r08,8,7,1,,,
dack_duplicate_pressure,9,0.18,0.180001,RX,r09,9,7,1,,,
dack_duplicate_pressure,10,0.19,0.190001,RX,r10,10,7,1,,,
dack_duplicate_pressure,11,0.20,0.200001,RX,r11,11,7,1,,,
dack_duplicate_pressure,12,0.21,0.210001,RX,r12,12,7,1,,,
dack_duplicate_pressure,13,0.22,0.220001,RX,r13,13,7,1,,,
dack_duplicate_pressure,14,0.23,0.230001,RX,r14,14,7,1,,,
dack_duplicate_pressure,15,0.24,0.240001,RX,r15,15,7,1,,,
dack_duplicate_pressure,16,0.25,0.250001,RX,r16,16,7,1,,,
dack_duplicate_pressure,17,0.26,0.260001,RX,r17,17,7,1,,,
dack_duplicate_pressure,18,0.27,0.270001,RX,r17,17,7,1,,,DACK-marked replay is reassessed; do not normalize duplicate custody.
dack_reassessment_after_release,1,0.10,0.100001,RX,r01,1,7,1,,,
dack_reassessment_after_release,2,0.11,0.110001,RX,r02,2,7,1,,,
dack_reassessment_after_release,3,0.12,0.120001,RX,r03,3,7,1,,,
dack_reassessment_after_release,4,0.13,0.130001,RX,r04,4,7,1,,,
dack_reassessment_after_release,5,0.14,0.140001,RX,r05,5,7,1,,,
dack_reassessment_after_release,6,0.15,0.150001,RX,r06,6,7,1,,,
dack_reassessment_after_release,7,0.16,0.160001,RX,r07,7,7,1,,,
dack_reassessment_after_release,8,0.17,0.170001,RX,r08,8,7,1,,,
