seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop
129,2,2,1,873,local,,22593,1,0,0,22617,22619,4,15,24706,24707,ack,0,24707,,,,,,,300.0,300.000000028,300.000000028,301.977293632,301.977293632,True,1,132037,421.353811086,released
129,3,3,1,874,local,,22597,1,0,0,22624,22626,1,18,24524,24525,ack,0,24525,,,,,,,300.0,300.000000028,300.000000028,301.795288077,301.795288077,True,1,24448,301.693268077,released
129,4,4,1,875,local,,22601,1,0,0,22631,22633,5,15,43920,43921,ack,0,43921,,,,,,,300.0,300.000000028,300.000000028,323.518292444,323.518292444,True,1,72354,356.132811086,released
129,5,5,1,876,local,,22605,1,0,0,22638,22640,1,18,25735,25736,ack,1,25736,,,,,,,300.0,300.000000028,300.000000028,303.111111086,303.111111086,True,1,25341,302.715811086,released
129,7,7,1,877,local,,22609,1,0,0,22645,22647,8,12,24371,24372,ack,0,24372,,,,,,,300.0,300.000000028,300.000000028,301.652292442,301.652292442,True,1,379417,685.383811086,released
129,8,8,1,878,local,,22613,1,0,0,22652,22654,2,14,26893,26894,ack,0,26894,,,,,,,300.0,300.000000028,300.000000028,304.408295346,304.408295346,True,1,150490,442.569811086,released
129,2,2,1,879,local,,22671,1,0,0,24713,24715,4,16,25497,25498,ack,0,25498,,,,,,,300.02,301.97729366,301.97729366,302.939293632,302.939293632,True,1,134718,424.798811086,released
129,3,3,1,880,local,,22675,1,0,0,24531,24533,1,19,25106,25107,ack,0,25107,,,,,,,300.02,301.795288105,301.795288105,302.419288077,302.419288077,True,1,24883,302.195808077,released
129,4,4,1,881,local,,22679,1,0,0,43927,43929,5,16,46152,46153,ack,1,46153,,,,,,,300.02,323.518292472,323.518292472,326.378292444,326.378292444,False,0,,,released
129,5,5,1,882,local,,22683,1,0,0,25742,25744,1,19,29277,29278,ack,1,29278,,,,,,,300.02,303.111111114,303.111111114,306.946111086,306.946111086,True,1,28981,306.615811086,released
129,7,7,1,883,local,,22687,1,0,0,24378,24380,8,13,24973,24974,ack,0,24974,,,,,,,300.02,301.65229247,301.65229247,302.302292442,302.302292442,True,1,353118,657.966811086,released
129,8,8,1,884,local,,22691,1,0,0,26900,26902,2,15,42366,42367,ack,1,42367,,,,,,,300.02,304.408295374,304.408295374,321.308295346,321.308295346,True,1,277085,576.430811086,released
129,2,2,1,885,local,,22704,1,0,0,25504,25506,4,17,26275,26276,ack,0,26276,,,,,,,300.04,302.93929366,302.93929366,303.732293632,303.732293632,True,1,136110,426.085811086,released
129,3,3,1,886,local,,22708,1,0,0,25113,25115,1,20,25703,25704,ack,0,25704,,,,,,,300.04,302.419288105,302.419288105,303.111108077,303.111108077,True,1,25592,303.001808077,released
129,4,4,1,887,local,,22712,1,0,0,46159,46161,5,17,53117,53118,no_ack,2,53118,,,,,,,300.04,326.378292472,326.378292472,335.292000028,335.292000028,False,0,,,released
129,5,5,1,888,local,,22716,1,0,0,29284,29286,1,20,30609,30610,ack,0,30610,,,,,,,300.04,306.946111114,306.946111114,308.285111086,308.285111086,True,1,29877,307.603811086,released
