seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop,upstream_node,upstream_enqueue_event,upstream_identity_ordinal,upstream_hop_admission_event,upstream_hop_admission_s,mechanism
129,2,7,1,971,relay,8,84939,2,1,1,189479,189481,4,101,196131,196132,dack,1,215881,84940,dack,47,84333,dack,True,369.379815346,485.205293688,485.205293688,491.309293632,511.30929366,True,2,537052,834.285811086,released,8,34741,1,64317,347.438295374,same-HOP DACK-marked replay
129,4,7,1,971,relay,2,195845,2,1,1,436363,436365,5,146,439866,439867,ack,0,439867,195846,dack,101,,,False,491.098813632,738.023292472,738.023292472,741.546292444,741.546292444,True,2,537052,834.285811086,released,2,84939,2,189481,485.205293688,propagated upstream repeated owner
129,5,7,1,971,relay,4,439780,2,1,1,524928,524930,1,351,540619,540620,ack,0,540620,439781,ack,146,,,False,741.426812444,822.266111114,822.266111114,837.775111086,837.775111086,True,2,537052,834.285811086,released,4,195845,2,436365,738.023292472,propagated upstream repeated owner
129,2,7,1,2938,relay,8,511087,2,1,1,744095,744097,4,309,746015,746016,dack,0,767643,511088,dack,217,510695,dack,True,808.558815346,1039.486293688,1039.486293688,1040.910293632,1060.91029366,True,2,1161780,1513.522811086,released,8,381057,1,504133,802.561295402,same-HOP DACK-marked replay
129,4,7,1,2938,relay,2,744975,2,1,1,1071008,1071010,5,378,1071617,1071618,ack,0,1071618,744976,dack,309,,,False,1040.166813632,1410.916292472,1410.916292472,1411.826292444,1411.826292444,True,2,1161780,1513.522811086,released,2,511087,2,744097,1039.486293688,propagated upstream repeated owner
129,5,7,1,2217,relay,4,850254,2,1,1,916434,916436,1,577,928675,928676,ack,0,928676,850256,dack,309,846281,dack,True,1147.416812444,1222.796111114,1222.796111114,1236.329111086,1236.329111086,True,2,927727,1234.802811086,released,4,573150,1,842138,1138.475292472,same-HOP DACK-marked replay
129,5,7,1,2938,relay,4,1071234,2,1,1,1153511,1153513,1,718,1162000,1162001,ack,0,1162001,1071235,ack,378,,,False,1411.186812444,1504.168111114,1504.168111114,1513.775111086,1513.775111086,True,2,1161780,1513.522811086,released,4,744975,2,1071010,1410.916292472,propagated upstream repeated owner
129,5,7,1,3367,relay,4,1108057,2,1,1,1189892,1189894,1,757,1198797,1198798,ack,0,1198798,1108058,dack,416,1107271,dack,True,1451.629812444,1546.496111114,1546.496111114,1557.481111086,1557.481111086,True,2,1198386,1556.864811086,released,4,840221,1,1093975,1436.513292472,same-HOP DACK-marked replay
129,5,7,1,8426,relay,4,1975018,2,1,1,2072660,2072662,1,1305,2089880,2089881,ack,0,2089881,1975019,dack,813,1973935,dack,True,2424.081812444,2535.614111114,2535.614111114,2553.775111086,2553.775111086,True,2,2088380,2552.118811086,released,4,1796883,1,1967036,2414.399292472,same-HOP DACK-marked replay
129,5,4,1,21090,relay,4,3526079,2,1,1,3615106,3615108,1,2338,3648708,3648709,ack,0,3648709,3526080,dack,1565,3523601,dack,True,4240.896812444,4342.614111114,4342.614111114,4381.679111086,4381.679111086,True,2,3648251,4380.906811086,released,4,3406807,1,3519511,4233.8072925,same-HOP DACK-marked replay
