seed,node,source,destination,enqueues,unique_application_identities,repeat_enqueues,overlapping_owners,submitted,released,pending_at_stop,waiting_at_stop,custody_application_seconds,waiting_application_seconds,mean_custody_300_6000s
129,2,2,1,616,616,0,0,600,600,16,16,91190.00694976622,89482.20691514717,15.998246833292319
129,2,7,1,774,774,0,0,758,758,16,16,125564.34738540146,123545.26453275693,22.028832874631835
129,2,8,1,498,498,0,0,478,477,21,20,80447.91549729202,78988.53533759741,14.113669385489828
129,3,3,1,8599,8599,0,0,8599,8583,16,0,91040.57622782198,248.57620199360667,15.972030917161751
129,4,2,1,589,589,0,0,573,572,17,16,114011.31344094063,110194.92322005436,20.00198481420011
129,4,4,1,503,503,0,0,488,487,16,15,91192.18124370523,87872.37470929053,15.99862828836934
129,4,7,1,744,744,0,0,723,721,23,21,150304.72060765073,145737.79597629255,26.369249229412407
129,4,8,1,466,466,0,0,452,451,15,14,98083.61314785718,94950.8360745814,17.207651429448628
129,5,2,1,486,486,0,0,473,469,17,13,41475.707098175204,27757.997068834098,7.276439841785123
129,5,4,1,418,418,0,0,409,404,14,9,36514.69879063029,24544.612947764097,6.406087507128121
129,5,5,1,1469,1469,0,0,1455,1453,16,14,91175.42904428845,49799.44476577109,15.995689306015517
129,5,7,1,631,631,0,0,619,617,14,12,55376.66388811417,37810.063828337166,9.715204190897223
129,5,8,1,384,384,0,0,371,367,17,13,33835.561012499784,22942.059049880798,5.936063335526278
129,7,7,1,838,838,0,0,822,822,16,16,91187.47187830892,89916.21984531116,15.997802083913845
129,8,7,1,810,810,0,0,795,794,16,15,201232.6955200414,199593.51575938403,35.3039816701827
129,8,8,1,526,526,0,0,510,510,16,16,91191.63808242259,90036.78035555863,15.998532996916245
130,2,2,1,601,601,0,0,586,585,16,15,91190.66207725789,89240.47180396075,15.998361767939981
130,2,7,1,731,731,0,0,708,708,23,23,117360.12376364254,115070.34490935899,20.589495397130268
130,2,8,1,622,622,0,0,607,607,15,15,99034.82581304481,96952.81165954514,17.374530844393828
130,3,3,1,8608,8608,0,0,8608,8592,16,0,91039.62712076618,324.427690098758,15.97186440715196
130,4,2,1,569,569,0,0,557,554,15,12,109508.20824892091,105311.23556517344,19.211966359459808
130,4,4,1,512,512,0,0,497,496,16,15,91191.50509228902,87883.59080373523,15.998509665313863
130,4,7,1,694,694,0,0,669,668,26,25,135110.62169587813,129860.69869418682,23.70361784138213
130,4,8,1,594,594,0,0,578,578,16,16,114611.16604952917,110237.00936600403,20.107222113952485
130,5,2,1,477,477,0,0,471,469,8,6,46710.532897000594,33138.14038126791,8.194830332807122
130,5,4,1,438,438,0,0,434,430,8,4,42889.84136103686,29878.953074059533,7.5245335721117295
130,5,5,1,1277,1277,0,0,1267,1261,16,10,91178.6621489394,53492.66855871316,15.99625651735779
130,5,7,1,562,562,0,0,551,548,14,11,56617.4757260776,40075.959331264516,9.932890478259228
130,5,8,1,498,498,0,0,488,486,12,10,49473.35905730456,34720.43632753869,8.679536676720097
130,7,7,1,802,802,0,0,787,786,16,15,91187.87652005545,89993.8038998961,15.997873073693938
130,8,7,1,778,778,0,0,747,747,31,31,110992.96697821362,109384.91873963391,19.47245034705502
130,8,8,1,654,654,0,0,638,638,16,16,91190.50770538316,89781.92387102864,15.99833468515494
