case,checkpoint,time_seconds,field,actual,expected,pass
idle_p15,queued,0.195,state,0,0,1
idle_p15,queued,0.195,preparation,0,0,1
idle_p15,queued,0.195,data_queue,1,1,1
idle_p15,before_wake,0.207999,state,0,0,1
idle_p15,before_wake,0.207999,preparation,0,0,1
idle_p15,before_wake,0.207999,transmissions,0,0,1
idle_p15,prepared,0.208001,state,1,1,1
idle_p15,prepared,0.208001,preparation,1,1,1
idle_p15,prepared,0.208001,counter,1,1,1
idle_p15,prepared,0.208001,transmissions,0,0,1
idle_p15,before_tx,0.532999,counter,0,0,1
idle_p15,before_tx,0.532999,transmissions,0,0,1
idle_p15,after_tx,0.533001,transmissions,1,1,1
idle_p15,after_tx,0.533001,opportunity_slot,1,1,1
idle_p15,after_tx,0.533001,data_queue,0,0,1
idle_p15,after_tx,0.533001,state,3,3,1
idle_literal,queued,0.195,state,0,0,1
idle_literal,queued,0.195,preparation,0,0,1
idle_literal,queued,0.195,data_queue,1,1,1
idle_literal,before_wake,0.207999,state,0,0,1
idle_literal,before_wake,0.207999,preparation,0,0,1
idle_literal,before_wake,0.207999,transmissions,0,0,1
idle_literal,prepared,0.208001,state,1,1,1
idle_literal,prepared,0.208001,preparation,1,1,1
idle_literal,prepared,0.208001,counter,1,1,1
idle_literal,prepared,0.208001,transmissions,0,0,1
idle_literal,before_tx,0.532999,counter,0,0,1
idle_literal,before_tx,0.532999,transmissions,0,0,1
idle_literal,after_tx,0.533001,transmissions,1,1,1
idle_literal,after_tx,0.533001,opportunity_slot,1,1,1
idle_literal,after_tx,0.533001,data_queue,0,0,1
idle_literal,after_tx,0.533001,state,3,3,1
idle_p30,queued,0.39,state,0,0,1
idle_p30,queued,0.39,preparation,0,0,1
idle_p30,queued,0.39,data_queue,1,1,1
idle_p30,before_wake,0.402999,state,0,0,1
idle_p30,before_wake,0.402999,preparation,0,0,1
idle_p30,before_wake,0.402999,transmissions,0,0,1
idle_p30,prepared,0.403001,state,1,1,1
idle_p30,prepared,0.403001,preparation,1,1,1
idle_p30,prepared,0.403001,counter,1,1,1
idle_p30,prepared,0.403001,transmissions,0,0,1
idle_p30,before_tx,0.727999,counter,0,0,1
idle_p30,before_tx,0.727999,transmissions,0,0,1
idle_p30,after_tx,0.728001,transmissions,1,1,1
idle_p30,after_tx,0.728001,opportunity_slot,1,1,1
idle_p30,after_tx,0.728001,data_queue,0,0,1
idle_p30,after_tx,0.728001,state,3,3,1
idle_p51,queued,0.663,state,0,0,1
idle_p51,queued,0.663,preparation,0,0,1
idle_p51,queued,0.663,data_queue,1,1,1
idle_p51,before_wake,0.675999,state,0,0,1
idle_p51,before_wake,0.675999,preparation,0,0,1
idle_p51,before_wake,0.675999,transmissions,0,0,1
idle_p51,prepared,0.676001,state,1,1,1
idle_p51,prepared,0.676001,preparation,1,1,1
idle_p51,prepared,0.676001,counter,1,1,1
idle_p51,prepared,0.676001,transmissions,0,0,1
idle_p51,before_tx,1.000999,counter,0,0,1
idle_p51,before_tx,1.000999,transmissions,0,0,1
idle_p51,after_tx,1.001001,transmissions,1,1,1
idle_p51,after_tx,1.001001,opportunity_slot,1,1,1
idle_p51,after_tx,1.001001,data_queue,0,0,1
idle_p51,after_tx,1.001001,state,3,3,1
idle_p60,queued,0.78,state,0,0,1
idle_p60,queued,0.78,preparation,0,0,1
idle_p60,queued,0.78,data_queue,1,1,1
idle_p60,before_wake,0.792999,state,0,0,1
idle_p60,before_wake,0.792999,preparation,0,0,1
idle_p60,before_wake,0.792999,transmissions,0,0,1
idle_p60,prepared,0.793001,state,1,1,1
idle_p60,prepared,0.793001,preparation,1,1,1
idle_p60,prepared,0.793001,counter,1,1,1
idle_p60,prepared,0.793001,transmissions,0,0,1
idle_p60,before_tx,1.117999,counter,0,0,1
idle_p60,before_tx,1.117999,transmissions,0,0,1
idle_p60,after_tx,1.118001,transmissions,1,1,1
idle_p60,after_tx,1.118001,opportunity_slot,1,1,1
idle_p60,after_tx,1.118001,data_queue,0,0,1
idle_p60,after_tx,1.118001,state,3,3,1
idle_before,before_wake,0.194999,state,0,0,1
idle_before,before_wake,0.194999,preparation,0,0,1
idle_before,before_wake,0.194999,transmissions,0,0,1
idle_before,queued,0.194999999,state,0,0,1
idle_before,queued,0.194999999,preparation,0,0,1
idle_before,queued,0.194999999,data_queue,1,1,1
idle_before,prepared,0.195001,state,1,1,1
idle_before,prepared,0.195001,preparation,1,1,1
idle_before,prepared,0.195001,counter,1,1,1
idle_before,prepared,0.195001,transmissions,0,0,1
idle_before,before_tx,0.519999,counter,0,0,1
idle_before,before_tx,0.519999,transmissions,0,0,1
idle_before,after_tx,0.520001,transmissions,1,1,1
idle_before,after_tx,0.520001,opportunity_slot,1,1,1
idle_before,after_tx,0.520001,data_queue,0,0,1
idle_before,after_tx,0.520001,state,3,3,1
idle_after,queued,0.195000001,state,0,0,1
idle_after,queued,0.195000001,preparation,0,0,1
idle_after,queued,0.195000001,data_queue,1,1,1
idle_after,before_wake,0.207999,state,0,0,1
idle_after,before_wake,0.207999,preparation,0,0,1
idle_after,before_wake,0.207999,transmissions,0,0,1
idle_after,prepared,0.208001,state,1,1,1
idle_after,prepared,0.208001,preparation,1,1,1
idle_after,prepared,0.208001,counter,1,1,1
idle_after,prepared,0.208001,transmissions,0,0,1
idle_after,before_tx,0.532999,counter,0,0,1
idle_after,before_tx,0.532999,transmissions,0,0,1
idle_after,after_tx,0.533001,transmissions,1,1,1
idle_after,after_tx,0.533001,opportunity_slot,1,1,1
idle_after,after_tx,0.533001,data_queue,0,0,1
idle_after,after_tx,0.533001,state,3,3,1
search_initial,queued,0,state,1,1,1
search_initial,queued,0,preparation,0,0,1
search_initial,queued,0,transmissions,0,0,1
search_initial,queued,0,data_queue,1,1,1
search_initial,prepared,0.014,preparation,1,1,1
search_initial,prepared,0.014,counter,1,1,1
search_initial,prepared,0.014,transmissions,0,0,1
search_initial,prepared,0.014,state,1,1,1
search_initial,before_holdoff,0.299,transmissions,0,0,1
search_initial,before_holdoff,0.299,counter,1,1,1
search_initial,resume,0.31,counter,1,1,1
search_initial,resume,0.31,preparation,1,1,1
search_initial,resume,0.31,state,1,1,1
search_initial,before_tx,0.324999,counter,0,0,1
search_initial,before_tx,0.324999,transmissions,0,0,1
search_initial,after_tx,0.325001,transmissions,1,1,1
search_initial,after_tx,0.325001,opportunity_slot,1,1,1
search_initial,after_tx,0.325001,data_queue,0,0,1
search_initial,after_tx,0.325001,state,3,3,1
sync_initial,queued,0,state,1,1,1
sync_initial,queued,0,preparation,0,0,1
sync_initial,queued,0,transmissions,0,0,1
sync_initial,queued,0,data_queue,1,1,1
sync_initial,prepared,0.014,preparation,1,1,1
sync_initial,prepared,0.014,counter,1,1,1
sync_initial,prepared,0.014,transmissions,0,0,1
sync_initial,prepared,0.014,state,1,1,1
sync_initial,before_holdoff,0.299,transmissions,0,0,1
sync_initial,before_holdoff,0.299,counter,1,1,1
sync_initial,resume,0.31,counter,1,1,1
sync_initial,resume,0.31,preparation,1,1,1
sync_initial,resume,0.31,state,1,1,1
sync_initial,before_tx,0.324999,counter,0,0,1
sync_initial,before_tx,0.324999,transmissions,0,0,1
sync_initial,after_tx,0.325001,transmissions,1,1,1
sync_initial,after_tx,0.325001,opportunity_slot,1,1,1
sync_initial,after_tx,0.325001,data_queue,0,0,1
sync_initial,after_tx,0.325001,state,3,3,1
track_initial,queued,0,state,2,2,1
track_initial,queued,0,preparation,0,0,1
track_initial,queued,0,transmissions,0,0,1
track_initial,queued,0,data_queue,1,1,1
track_initial,prepared,0.014,preparation,0,0,1
track_initial,prepared,0.014,counter,-1,-1,1
track_initial,prepared,0.014,transmissions,0,0,1
track_initial,prepared,0.014,state,2,2,1
track_initial,before_holdoff,0.299,transmissions,0,0,1
track_initial,before_holdoff,0.299,counter,-1,-1,1
track_initial,resume,0.31,counter,1,1,1
track_initial,resume,0.31,preparation,1,1,1
track_initial,resume,0.31,state,1,1,1
track_initial,before_tx,0.324999,counter,0,0,1
track_initial,before_tx,0.324999,transmissions,0,0,1
track_initial,after_tx,0.325001,transmissions,1,1,1
track_initial,after_tx,0.325001,opportunity_slot,1,1,1
track_initial,after_tx,0.325001,data_queue,0,0,1
track_initial,after_tx,0.325001,state,3,3,1
sync_busy,queued,0,state,1,1,1
sync_busy,queued,0,preparation,0,0,1
sync_busy,queued,0,transmissions,0,0,1
sync_busy,queued,0,data_queue,1,1,1
sync_busy,prepared,0.014,preparation,1,1,1
sync_busy,prepared,0.014,counter,1,1,1
sync_busy,prepared,0.014,transmissions,0,0,1
sync_busy,prepared,0.014,state,1,1,1
sync_busy,before_holdoff,0.299,transmissions,0,0,1
sync_busy,before_holdoff,0.299,counter,1,1,1
sync_busy,frozen,0.399,counter,1,1,1
sync_busy,frozen,0.399,transmissions,0,0,1
sync_busy,frozen,0.399,preparation,1,1,1
sync_busy,frozen,0.399,state,1,1,1
sync_busy,resume,0.4,counter,1,1,1
sync_busy,resume,0.4,preparation,1,1,1
sync_busy,resume,0.4,state,1,1,1
sync_busy,before_tx,0.415999,counter,0,0,1
sync_busy,before_tx,0.415999,transmissions,0,0,1
sync_busy,after_tx,0.416001,transmissions,1,1,1
sync_busy,after_tx,0.416001,opportunity_slot,1,1,1
sync_busy,after_tx,0.416001,data_queue,0,0,1
sync_busy,after_tx,0.416001,state,3,3,1
track_busy,queued,0,state,1,1,1
track_busy,queued,0,preparation,0,0,1
track_busy,queued,0,transmissions,0,0,1
track_busy,queued,0,data_queue,1,1,1
track_busy,prepared,0.014,preparation,1,1,1
track_busy,prepared,0.014,counter,1,1,1
track_busy,prepared,0.014,transmissions,0,0,1
track_busy,prepared,0.014,state,1,1,1
track_busy,before_holdoff,0.299,transmissions,0,0,1
track_busy,before_holdoff,0.299,counter,1,1,1
track_busy,frozen,0.399,counter,1,1,1
track_busy,frozen,0.399,transmissions,0,0,1
track_busy,frozen,0.399,preparation,1,1,1
track_busy,frozen,0.399,state,2,2,1
track_busy,resume,0.4,counter,1,1,1
track_busy,resume,0.4,preparation,1,1,1
track_busy,resume,0.4,state,1,1,1
track_busy,before_tx,0.415999,counter,0,0,1
track_busy,before_tx,0.415999,transmissions,0,0,1
track_busy,after_tx,0.416001,transmissions,1,1,1
track_busy,after_tx,0.416001,opportunity_slot,1,1,1
track_busy,after_tx,0.416001,data_queue,0,0,1
track_busy,after_tx,0.416001,state,3,3,1
track_tie_early,queued,0,state,1,1,1
track_tie_early,queued,0,preparation,0,0,1
track_tie_early,queued,0,transmissions,0,0,1
track_tie_early,queued,0,data_queue,1,1,1
track_tie_early,prepared,0.014,preparation,1,1,1
track_tie_early,prepared,0.014,counter,1,1,1
track_tie_early,prepared,0.014,transmissions,0,0,1
track_tie_early,prepared,0.014,state,1,1,1
track_tie_early,before_holdoff,0.299,transmissions,0,0,1
track_tie_early,before_holdoff,0.299,counter,1,1,1
track_tie_early,frozen,0.399,counter,1,1,1
track_tie_early,frozen,0.399,transmissions,0,0,1
track_tie_early,frozen,0.399,preparation,1,1,1
track_tie_early,frozen,0.399,state,2,2,1
track_tie_early,resume,0.4,counter,1,1,1
track_tie_early,resume,0.4,preparation,1,1,1
track_tie_early,resume,0.4,state,1,1,1
track_tie_early,before_tx,0.415999,counter,0,0,1
track_tie_early,before_tx,0.415999,transmissions,0,0,1
track_tie_early,after_tx,0.416001,transmissions,1,1,1
track_tie_early,after_tx,0.416001,opportunity_slot,1,1,1
track_tie_early,after_tx,0.416001,data_queue,0,0,1
track_tie_early,after_tx,0.416001,state,3,3,1
track_tie_late,queued,0,state,1,1,1
track_tie_late,queued,0,preparation,0,0,1
track_tie_late,queued,0,transmissions,0,0,1
track_tie_late,queued,0,data_queue,1,1,1
track_tie_late,prepared,0.014,preparation,1,1,1
track_tie_late,prepared,0.014,counter,1,1,1
track_tie_late,prepared,0.014,transmissions,0,0,1
track_tie_late,prepared,0.014,state,1,1,1
track_tie_late,before_holdoff,0.299,transmissions,0,0,1
track_tie_late,before_holdoff,0.299,counter,1,1,1
track_tie_late,frozen,0.399,counter,0,0,1
track_tie_late,frozen,0.399,transmissions,0,0,1
track_tie_late,frozen,0.399,preparation,1,1,1
track_tie_late,frozen,0.399,state,2,2,1
track_tie_late,resume,0.4,counter,0,0,1
track_tie_late,resume,0.4,preparation,1,1,1
track_tie_late,resume,0.4,state,1,1,1
track_tie_late,before_tx,0.402999,counter,0,0,1
track_tie_late,before_tx,0.402999,transmissions,0,0,1
track_tie_late,after_tx,0.403001,transmissions,1,1,1
track_tie_late,after_tx,0.403001,opportunity_slot,1,1,1
