candidate,reference,statistic,unit,aggregation,time_s,candidate_value,reference_value,candidate_value_status,reference_value_status,candidate_raw_value,reference_raw_value,comparison_status,difference,relative_difference_percent
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,12.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,24.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,36.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,48.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,60.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,72.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,84.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,96.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,108.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,120.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,132.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,144.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,156.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,168.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,180.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,192.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,204.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,216.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,228.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,240.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,252.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,264.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,276.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,288.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,300.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,312.0,10.0,10.5,observed,observed,,,both_observed,-0.5,-4.761904761904762
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,324.0,13.583333333333334,12.166666666666666,observed,observed,,,both_observed,1.4166666666666679,11.643835616438366
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,336.0,13.25,12.5,observed,observed,,,both_observed,0.75,6.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,348.0,13.25,13.0,observed,observed,,,both_observed,0.25,1.9230769230769231
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,360.0,13.166666666666666,12.5,observed,observed,,,both_observed,0.6666666666666661,5.333333333333329
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,372.0,12.833333333333334,13.666666666666666,observed,observed,,,both_observed,-0.8333333333333321,-6.097560975609747
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,384.0,13.416666666666666,12.666666666666666,observed,observed,,,both_observed,0.75,5.921052631578948
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,396.0,12.5,12.5,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,408.0,12.0,12.25,observed,observed,,,both_observed,-0.25,-2.0408163265306123
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,420.0,13.166666666666666,12.416666666666666,observed,observed,,,both_observed,0.75,6.0402684563758395
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,432.0,13.583333333333334,12.083333333333334,observed,observed,,,both_observed,1.5,12.413793103448276
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,444.0,11.25,12.5,observed,observed,,,both_observed,-1.25,-10.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,456.0,12.333333333333334,11.25,observed,observed,,,both_observed,1.083333333333334,9.629629629629635
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,468.0,12.916666666666666,12.25,observed,observed,,,both_observed,0.6666666666666661,5.442176870748295
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,480.0,12.666666666666666,11.833333333333334,observed,observed,,,both_observed,0.8333333333333321,7.042253521126749
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,492.0,12.25,11.833333333333334,observed,observed,,,both_observed,0.4166666666666661,3.5211267605633747
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,504.0,11.416666666666666,13.416666666666666,observed,observed,,,both_observed,-2.0,-14.906832298136646
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,516.0,11.583333333333334,12.333333333333334,observed,observed,,,both_observed,-0.75,-6.081081081081081
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,528.0,12.166666666666666,12.166666666666666,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,540.0,13.0,11.25,observed,observed,,,both_observed,1.75,15.555555555555555
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,552.0,12.666666666666666,12.25,observed,observed,,,both_observed,0.4166666666666661,3.4013605442176824
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,564.0,13.333333333333334,12.916666666666666,observed,observed,,,both_observed,0.41666666666666785,3.225806451612913
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,576.0,12.75,12.166666666666666,observed,observed,,,both_observed,0.5833333333333339,4.79452054794521
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,588.0,12.75,12.166666666666666,observed,observed,,,both_observed,0.5833333333333339,4.79452054794521
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,600.0,11.666666666666666,12.166666666666666,observed,observed,,,both_observed,-0.5,-4.109589041095891
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,612.0,13.5,12.166666666666666,observed,observed,,,both_observed,1.333333333333334,10.958904109589046
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,624.0,13.833333333333334,11.916666666666666,observed,observed,,,both_observed,1.9166666666666679,16.083916083916094
