candidate,reference,statistic,unit,aggregation,time_s,candidate_value,reference_value,candidate_value_status,reference_value_status,candidate_raw_value,reference_raw_value,comparison_status,difference,relative_difference_percent
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,60.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,120.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,180.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,240.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,300.0,0.0,0.0,observed,observed,,,both_observed,0.0,
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,360.0,5.15,5.183333333333334,observed,observed,,,both_observed,-0.033333333333333215,-0.6430868167202549
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,420.0,2.45,2.8333333333333335,observed,observed,,,both_observed,-0.3833333333333333,-13.529411764705882
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,480.0,2.7333333333333334,2.783333333333333,observed,observed,,,both_observed,-0.04999999999999982,-1.7964071856287362
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,540.0,2.4833333333333334,2.6666666666666665,observed,observed,,,both_observed,-0.18333333333333313,-6.874999999999992
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,600.0,2.3666666666666667,2.533333333333333,observed,observed,,,both_observed,-0.16666666666666652,-6.578947368421047
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,660.0,2.316666666666667,2.066666666666667,observed,observed,,,both_observed,0.25,12.096774193548386
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,720.0,2.033333333333333,2.2333333333333334,observed,observed,,,both_observed,-0.20000000000000018,-8.955223880597023
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,780.0,2.1166666666666667,2.2666666666666666,observed,observed,,,both_observed,-0.1499999999999999,-6.617647058823525
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,840.0,2.1,2.2666666666666666,observed,observed,,,both_observed,-0.16666666666666652,-7.352941176470582
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,900.0,1.85,1.9333333333333333,observed,observed,,,both_observed,-0.08333333333333326,-4.310344827586203
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,960.0,2.0166666666666666,2.316666666666667,observed,observed,,,both_observed,-0.30000000000000027,-12.949640287769796
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1020.0,2.066666666666667,2.25,observed,observed,,,both_observed,-0.18333333333333313,-8.14814814814814
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1080.0,2.1,2.0833333333333335,observed,observed,,,both_observed,0.016666666666666607,0.799999999999997
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1140.0,2.0,2.0,observed,observed,,,both_observed,0.0,0.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1200.0,2.1333333333333333,2.1166666666666667,observed,observed,,,both_observed,0.016666666666666607,0.7874015748031469
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1260.0,1.95,2.1,observed,observed,,,both_observed,-0.15000000000000013,-7.1428571428571495
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1320.0,2.1166666666666667,1.9666666666666666,observed,observed,,,both_observed,0.15000000000000013,7.627118644067804
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1380.0,2.1,2.1166666666666667,observed,observed,,,both_observed,-0.016666666666666607,-0.7874015748031469
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1440.0,2.316666666666667,1.8166666666666667,observed,observed,,,both_observed,0.5000000000000002,27.522935779816528
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1500.0,2.216666666666667,2.1,observed,observed,,,both_observed,0.1166666666666667,5.555555555555556
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1560.0,2.1,1.9166666666666667,observed,observed,,,both_observed,0.18333333333333335,9.565217391304348
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1620.0,2.2333333333333334,2.1,observed,observed,,,both_observed,0.1333333333333333,6.349206349206347
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1680.0,2.1,2.0,observed,observed,,,both_observed,0.10000000000000009,5.000000000000004
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1740.0,2.1333333333333333,2.55,observed,observed,,,both_observed,-0.4166666666666665,-16.339869281045747
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1800.0,2.316666666666667,2.15,observed,observed,,,both_observed,0.16666666666666696,7.751937984496138
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1860.0,2.066666666666667,2.1,observed,observed,,,both_observed,-0.033333333333333215,-1.5873015873015817
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1920.0,2.25,1.9666666666666666,observed,observed,,,both_observed,0.28333333333333344,14.406779661016955
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,1980.0,1.9333333333333333,2.066666666666667,observed,observed,,,both_observed,-0.13333333333333353,-6.451612903225815
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2040.0,2.1666666666666665,2.1333333333333333,observed,observed,,,both_observed,0.033333333333333215,1.5624999999999944
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2100.0,2.183333333333333,1.8833333333333333,observed,observed,,,both_observed,0.2999999999999998,15.929203539823
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2160.0,1.8666666666666667,2.2666666666666666,observed,observed,,,both_observed,-0.3999999999999999,-17.647058823529406
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2220.0,2.316666666666667,2.066666666666667,observed,observed,,,both_observed,0.25,12.096774193548386
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2280.0,1.9333333333333333,1.8666666666666667,observed,observed,,,both_observed,0.06666666666666665,3.5714285714285707
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2340.0,2.4166666666666665,1.9833333333333334,observed,observed,,,both_observed,0.4333333333333331,21.84873949579831
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2400.0,2.1333333333333333,2.2,observed,observed,,,both_observed,-0.06666666666666687,-3.0303030303030396
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2460.0,2.316666666666667,1.95,observed,observed,,,both_observed,0.3666666666666669,18.80341880341882
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2520.0,2.0,2.3,observed,observed,,,both_observed,-0.2999999999999998,-13.04347826086956
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2580.0,2.3333333333333335,2.0833333333333335,observed,observed,,,both_observed,0.25,12.0
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2640.0,2.1333333333333333,2.15,observed,observed,,,both_observed,-0.016666666666666607,-0.7751937984496097
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2700.0,2.216666666666667,1.9333333333333333,observed,observed,,,both_observed,0.28333333333333344,14.655172413793109
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2760.0,2.1,2.0833333333333335,observed,observed,,,both_observed,0.016666666666666607,0.799999999999997
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2820.0,2.2666666666666666,2.35,observed,observed,,,both_observed,-0.08333333333333348,-3.5460992907801483
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,2880.0,2.4166666666666665,2.25,observed,observed,,,both_observed,0.16666666666666652,7.407407407407401
