candidate,reference,statistic,unit,aggregation,aligned_bucket_count,numeric_pair_count,exact_numeric_difference_count,candidate_observed_bucket_count,reference_observed_bucket_count,candidate_observed_bucket_mean,reference_observed_bucket_mean,observed_bucket_mean_difference,observed_bucket_mean_relative_difference_percent,paired_candidate_bucket_mean,paired_reference_bucket_mean,paired_bucket_mean_difference,paired_bucket_mean_relative_difference_percent,maximum_absolute_bucket_difference,both_missing_count,candidate_missing_only_count,reference_missing_only_count
matlab,ns3,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,94,100,100,2.0806666666666667,2.0695,0.011166666666666547,0.5395828299911354,2.0806666666666667,2.0695,0.011166666666666547,0.5395828299911354,0.5000000000000002,0,0,0
matlab,ns3,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,94,100,100,3195.904,3178.752,17.152000000000044,0.5395828299911426,3195.904,3178.752,17.152000000000044,0.5395828299911426,768.0,0,0,0
matlab,ns3,Generator.Packet Size (bits),bits,bucket_sample_mean,100,95,0,95,95,1536.0,1536.0,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,5,0,0
matlab,ns3,Sink.Traffic Received (packets/sec),packets/s,bucket_sum_per_second,100,100,94,100,100,1.9708333333333334,1.9615,0.009333333333333416,0.4758263233919661,1.9708333333333334,1.9615,0.009333333333333416,0.4758263233919661,0.3666666666666667,0,0,0
matlab,ns3,Sink.Traffic Received (packets),packets,bucket_sum,100,100,94,100,100,118.25,117.69,0.5600000000000023,0.47582632339196385,118.25,117.69,0.5600000000000023,0.47582632339196385,22.0,0,0,0
matlab,ns3,Sink.Traffic Received (bits/sec),bits/s,bucket_sum_per_second,100,100,94,100,100,3027.2000000000003,3012.864,14.33600000000024,0.4758263233919699,3027.2000000000003,3012.864,14.33600000000024,0.4758263233919699,563.1999999999998,0,0,0
matlab,ns3,Sink.Traffic Received (bits),bits,bucket_sum,100,100,94,100,100,181632.0,180771.84,860.1600000000035,0.47582632339196385,181632.0,180771.84,860.1600000000035,0.47582632339196385,33792.0,0,0,0
matlab,ns3,Sink.End-to-End Delay (seconds),s,bucket_sample_mean,100,95,95,95,95,98.09146890252902,103.18100582955141,-5.089536927022394,-4.932629689063113,98.09146890252902,103.18100582955141,-5.089536927022394,-4.932629689063113,138.81742796138644,5,0,0
matlab,opnet,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,94,100,100,2.0806666666666667,2.012,0.06866666666666665,3.412856196156394,2.0806666666666667,2.012,0.06866666666666665,3.412856196156394,0.5666666666666669,0,0,0
matlab,opnet,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,94,100,100,3195.904,3090.4320000000002,105.47199999999975,3.4128561961563864,3195.904,3090.4320000000002,105.47199999999975,3.4128561961563864,870.4000000000001,0,0,0
matlab,opnet,Generator.Packet Size (bits),bits,bucket_sample_mean,100,95,0,95,95,1536.0,1536.0,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,5,0,0
matlab,opnet,Sink.Traffic Received (packets/sec),packets/s,bucket_sum_per_second,100,100,94,100,100,1.9708333333333334,1.9016666666666666,0.06916666666666682,3.6371603856266512,1.9708333333333334,1.9016666666666666,0.06916666666666682,3.6371603856266512,0.7333333333333332,0,0,0
matlab,opnet,Sink.Traffic Received (packets),packets,bucket_sum,100,95,94,100,95,118.25,120.10526315789474,-1.8552631578947398,-1.5446976336546914,124.47368421052632,120.10526315789474,4.368421052631575,3.63716038562664,44.0,0,0,5
matlab,opnet,Sink.Traffic Received (bits/sec),bits/s,bucket_sum_per_second,100,100,94,100,100,3027.2000000000003,2920.96,106.24000000000024,3.6371603856266512,3027.2000000000003,2920.96,106.24000000000024,3.6371603856266512,1126.4,0,0,0
matlab,opnet,Sink.Traffic Received (bits),bits,bucket_sum,100,95,94,100,95,181632.0,184481.68421052632,-2849.6842105263204,-1.5446976336546914,191191.57894736843,184481.68421052632,6709.894736842107,3.637160385626644,67584.0,0,0,5
matlab,opnet,Sink.End-to-End Delay (seconds),s,bucket_sample_mean,100,95,95,95,95,98.09146890252902,112.74800745492433,-14.656538552395318,-12.999377002963778,98.09146890252902,112.74800745492433,-14.656538552395318,-12.999377002963778,173.65568864566643,5,0,0
ns3,opnet,Generator.Traffic Sent (packets/sec),packets/s,bucket_sum_per_second,100,100,89,100,100,2.0695,2.012,0.05750000000000011,2.857852882703783,2.0695,2.012,0.05750000000000011,2.857852882703783,0.75,0,0,0
ns3,opnet,Generator.Traffic Sent (bits/sec),bits/s,bucket_sum_per_second,100,100,89,100,100,3178.752,3090.4320000000002,88.31999999999971,2.8578528827037677,3178.752,3090.4320000000002,88.31999999999971,2.8578528827037677,1151.9999999999995,0,0,0
ns3,opnet,Generator.Packet Size (bits),bits,bucket_sample_mean,100,95,0,95,95,1536.0,1536.0,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,5,0,0
ns3,opnet,Sink.Traffic Received (packets/sec),packets/s,bucket_sum_per_second,100,100,92,100,100,1.9615,1.9016666666666666,0.059833333333333405,3.146362839614377,1.9615,1.9016666666666666,0.059833333333333405,3.146362839614377,0.5333333333333334,0,0,0
ns3,opnet,Sink.Traffic Received (packets),packets,bucket_sum,100,95,92,100,95,117.69,120.10526315789474,-2.415263157894742,-2.01095530236635,123.88421052631578,120.10526315789474,3.7789473684210435,3.146362839614366,32.0,0,0,5
ns3,opnet,Sink.Traffic Received (bits/sec),bits/s,bucket_sum_per_second,100,100,92,100,100,3012.864,2920.96,91.904,3.146362839614373,3012.864,2920.96,91.904,3.146362839614373,819.1999999999998,0,0,0
ns3,opnet,Sink.Traffic Received (bits),bits,bucket_sum,100,95,92,100,95,180771.84,184481.68421052632,-3709.844210526324,-2.01095530236635,190286.14736842105,184481.68421052632,5804.46315789473,3.1463628396143695,49152.0,0,0,5
ns3,opnet,Sink.End-to-End Delay (seconds),s,bucket_sample_mean,100,95,95,95,95,103.18100582955141,112.74800745492433,-9.567001625372924,-8.485295519921031,103.18100582955141,112.74800745492433,-9.567001625372924,-8.485295519921031,201.37420889137252,5,0,0
