case,checkpoint,time_seconds,field,actual,expected,pass
preamble_before_wake,initial,0,idle,1,1,1
preamble_before_wake,initial,0,sync_present,0,0,1
preamble_before_wake,initial,0,received,0,0,1
preamble_before_wake,initial,0,wire_bytes,617,617,1
preamble_before_wake,transmit,0.962,duration_seconds,1.0491,1.0491,1
preamble_before_wake,before_arrival,0.962003999,sync_present,0,0,1
preamble_before_wake,after_arrival,0.962004001,sync_present,1,1,1
preamble_before_wake,after_arrival,0.962004001,idle,1,1,1
preamble_before_wake,before_wake,0.987999999,idle,1,1,1
preamble_before_wake,after_wake,0.988000001,search,1,1,1
preamble_before_wake,before_track,0.994629999,search,1,1,1
preamble_before_wake,before_track,0.994629999,received,0,0,1
preamble_before_wake,after_track,0.994630001,track,1,1,1
preamble_before_wake,after_first_sleep,0.996900001,idle,0,0,1
preamble_before_wake,after_first_sleep,0.996900001,sync_present,1,1,1
preamble_before_wake,after_first_sleep,0.996900001,received,0,0,1
preamble_before_wake,before_preamble_end,1.967723999,sync_present,1,1,1
preamble_before_wake,before_preamble_end,1.967723999,track,1,1,1
preamble_before_wake,after_preamble_end,1.967724001,sync_present,0,0,1
preamble_before_wake,after_preamble_end,1.967724001,track,1,1,1
preamble_before_wake,before_end,2.011103999,track,1,1,1
preamble_before_wake,before_end,2.011103999,received,0,0,1
preamble_before_wake,delivery,2.011104,received,1,1,1
preamble_before_wake,delivery,2.011104,sequence,1,1,1
preamble_before_wake,delivery,2.011104,track,1,1,1
preamble_before_wake,delivery,2.011104,time_seconds,2.011104,2.011104,1
preamble_before_wake,delivery,2.011104,success,1,1,1
preamble_before_wake,delivery,2.011104,header_ber,0,0,1
preamble_before_wake,delivery,2.011104,payload_ber,0,0,1
preamble_before_wake,delivery,2.011104,header_errors,0,0,1
preamble_before_wake,delivery,2.011104,payload_errors,0,0,1
preamble_before_wake,delivery,2.011104,sync_present,0,0,1
preamble_before_wake,after_end,2.011104001,search,1,1,1
preamble_before_wake,after_end,2.011104001,received,1,1,1
preamble_before_wake,after_end,2.011104001,sync_present,0,0,1
preamble_before_wake,before_sleep,2.018903999,search,1,1,1
preamble_before_wake,after_sleep,2.018904001,idle,1,1,1
preamble_before_wake,after_sleep,2.018904001,received,1,1,1
