CaseId,Kind,Name,Scenario,Seed,DurationSeconds,Generated,Received,Dropped,Pending,ApplicationBytesReceived,PhysicalAttempts,PhysicalReceived,PhysicalDropped,PhysicalPending,RuntimeSeconds,StructuralChecksPassed
foundation_default,foundation,default,three_node_controlled,128,10,6,6,0,0,384,6,6,0,0,0.004453,1
mac_hop_reliable,mac_hop,reliable,mac_hop_reliable,128,90,6,6,0,0,384,72,37,35,0,2.6439123,1
mac_hop_ack_loss,mac_hop,ack_loss,mac_hop_ack_loss,128,90,1,1,0,0,64,24,9,15,0,1.5035548,1
mac_hop_data_loss,mac_hop,data_loss,mac_hop_data_loss,128,90,1,1,0,0,64,14,9,5,0,1.832283,1
mac_hop_dack,mac_hop,dack,mac_hop_dack,128,90,1,1,0,0,64,22,22,0,0,2.2872797,1
mac_hop_collision,mac_hop,collision,mac_hop_collision,128,90,6,6,0,0,384,48,47,1,0,3.0658498,1
mac_hop_relay,mac_hop,relay,mac_hop_relay,128,90,6,6,0,0,384,132,132,0,0,5.0222055,1
mac_hop_queue_pressure,mac_hop,queue_pressure,mac_hop_queue_pressure,128,90,20,2,18,0,128,16,9,7,0,0.7937625,1
mac_hop_high_rate_500,mac_hop,high_rate_500,mac_hop_high_rate_500,128,90,6,6,0,0,384,72,37,35,0,4.5592712,1
mac_hop_high_rate_1000,mac_hop,high_rate_1000,mac_hop_high_rate_1000,128,90,6,6,0,0,384,72,37,35,0,3.8820213,1
routed_autonomous,routed,autonomous,network_autonomous,128,300,3,3,0,0,192,278,178,100,0,9.6721338,1
routed_no_route_custody,routed,no_route_custody,network_no_route_custody,128,300,3,3,0,0,192,246,151,95,0,5.0970566,1
routed_control_loss,routed,control_loss,network_control_loss,128,300,3,3,0,0,192,340,208,132,0,18.0111219,1
routed_route_recovery,routed,route_recovery,network_route_recovery,128,360,3,3,0,0,192,1032,600,432,0,33.9996359,1
routed_gateway,routed,gateway,network_gateway,128,300,3,3,0,0,192,278,178,100,0,10.3960162,1
routed_leaf_no_transit,routed,leaf_no_transit,network_leaf_no_transit,128,300,3,0,3,0,0,254,149,105,0,13.1638625,1
routed_high_rate_500,routed,high_rate_500,network_high_rate_500,128,300,3,3,0,0,192,532,338,194,0,22.1732758,1
routed_high_rate_1000,routed,high_rate_1000,network_high_rate_1000,128,300,3,3,0,0,192,532,338,194,0,21.1806656,1
shared_two_node_8,shared,two_node_8,two_node_8,128,200,3,3,0,0,192,65,65,0,0,11.4469279,1
shared_two_node_128,shared,two_node_128,two_node_128,128,200,3,3,0,0,192,65,65,0,0,11.8043503,1
shared_line_3_8,shared,line_3_8,line_3_8,128,200,3,3,0,0,192,254,159,95,0,16.9122108,1
shared_high_rate_500,shared,high_rate_500,high_rate_500,128,200,3,3,0,0,192,119,119,0,0,7.4037428,1
shared_high_rate_1000,shared,high_rate_1000,high_rate_1000,128,200,3,3,0,0,192,119,119,0,0,7.3196116,1
research_two_node_seed_128,research,two_node_seed_128,research_two_node,128,300,5,5,0,0,320,97,97,0,0,12.3475418,1
research_line_4_seed_128,research,line_4_seed_128,research_line_4,128,600,5,5,0,0,320,1095,477,618,0,32.767588,1
research_hidden_node_seed_128,research,hidden_node_seed_128,research_hidden_node,128,600,16,16,0,0,1024,544,369,175,0,29.8835864,1
research_mesh_6_seed_128,research,mesh_6_seed_128,research_mesh_6,128,900,15,15,0,0,960,5775,1740,4035,0,61.5044821,1
research_route_recovery_seed_128,research,route_recovery_seed_128,research_route_recovery,128,900,5,4,1,0,256,1344,784,560,0,42.1644613,1
research_leaf_no_transit_seed_128,research,leaf_no_transit_seed_128,research_leaf_no_transit,128,600,5,0,5,0,0,472,285,187,0,19.5397659,1
