Scenario,Seed,DurationSeconds,Nodes,Generated,Received,Dropped,Pending,ApplicationBytesReceived,DeliveryRatio,GoodputBitsPerSecond,MeanLatencySeconds,LatencyP50Seconds,LatencyP95Seconds,LatencyP99Seconds,PhysicalTransmissions,PhysicalReceived,PhysicalDropped,PhysicalPending,HopPendingData,ResendQueueDepth,DackHoldCount,ControlPending,ControlPendingTargets,NwkPendingCustody,WaitingForRoute,ControlQueueRejections,RouteChanges,HopFailures,RuntimeSeconds,StructuralChecksPassed,DataDrained,ApplicationProfile,MATLABRelease,CaseId,Experiment,Parameter,Value
offered_load_x1_seed128,128,600,3,16,16,0,0,1024,1,13.6533333333333,1.45939641666669,1.55395266666667,2.90149266666666,2.90149266666666,272,369,175,0,0,0,0,0,0,0,0,0,15,0,23.0597959,1,1,current-send-only,2025a,offered_load_x1_seed128,offered_load,LoadMultiplier,1
offered_load_x1_seed129,129,600,3,16,16,0,0,1024,1,13.6533333333333,1.13114641666669,0.290492666666694,2.68049266666665,2.68049266666665,238,327,149,0,0,0,0,0,0,0,0,0,14,0,11.8093321,1,1,current-send-only,2025a,offered_load_x1_seed129,offered_load,LoadMultiplier,1
offered_load_x1_seed130,130,600,3,16,16,0,0,1024,1,13.6533333333333,1.2944589166667,0.355492666666692,2.78449266666664,2.78449266666664,221,313,129,0,0,0,0,0,0,0,0,0,14,0,33.5900376,1,1,current-send-only,2025a,offered_load_x1_seed130,offered_load,LoadMultiplier,1
offered_load_x2_seed128,128,600,3,30,30,0,0,1920,1,25.6,1.25137466666669,0.337492666666719,2.50149266666671,2.90149266666666,351,502,200,0,0,0,0,0,0,0,0,0,15,0,13.2253392,1,1,current-send-only,2025a,offered_load_x2_seed128,offered_load,LoadMultiplier,2
offered_load_x2_seed129,129,600,3,30,30,0,0,1920,1,25.6,1.16340800000003,0.360492666666659,2.68049266666665,4.62549266666673,310,444,176,0,0,0,0,0,0,0,0,0,14,0,29.5612431,1,1,current-send-only,2025a,offered_load_x2_seed129,offered_load,LoadMultiplier,2
offered_load_x2_seed130,130,600,3,30,30,0,0,1920,1,25.6,1.30684133333336,0.358492666666734,2.63949266666668,2.78449266666664,303,449,157,0,0,0,0,0,0,0,0,0,14,0,13.8138165,1,1,current-send-only,2025a,offered_load_x2_seed130,offered_load,LoadMultiplier,2
offered_load_x4_seed128,128,600,3,58,58,0,0,3712,1,49.4933333333333,1.37375094252874,0.792492666666647,2.60451266666666,4.78951266666667,398,552,244,0,0,0,0,0,0,0,0,0,15,0,32.6710587,1,1,current-send-only,2025a,offered_load_x4_seed128,offered_load,LoadMultiplier,4
offered_load_x4_seed129,129,600,3,58,57,1,0,3648,0.982758620689655,48.64,1.48638494736843,0.662512666666657,4.55151266666667,4.73051266666664,372,513,231,0,0,0,0,0,0,0,0,0,14,1,21.4419822,1,1,current-send-only,2025a,offered_load_x4_seed129,offered_load,LoadMultiplier,4
offered_load_x4_seed130,130,600,3,58,57,1,0,3648,0.982758620689655,48.64,1.56263266666667,0.973492666666658,4.71351266666665,4.98149266666664,351,497,205,0,0,0,0,0,0,0,0,0,14,1,27.2073415,1,1,current-send-only,2025a,offered_load_x4_seed130,offered_load,LoadMultiplier,4
recovery_freshness_s60_seed128,128,900,3,5,4,1,0,256,0.8,2.27555555555556,50.8767226666667,31.4114126666667,101.750732666667,101.750732666667,672,784,560,0,0,0,0,0,0,0,0,0,120,1,41.5234213,1,1,current-send-only,2025a,recovery_freshness_s60_seed128,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s60_seed129,129,900,3,5,5,0,0,320,1,2.84444444444444,74.0608526666666,75.6320126666666,138.900612666667,138.900612666667,713,818,608,0,0,0,0,0,0,0,0,0,113,0,44.8220312,1,1,current-send-only,2025a,recovery_freshness_s60_seed129,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s60_seed130,130,900,3,5,4,1,0,256,0.8,2.27555555555556,46.9447926666666,27.1999326666667,97.7694126666667,97.7694126666667,690,767,613,0,0,0,0,0,0,0,0,0,111,1,43.5964723,1,1,current-send-only,2025a,recovery_freshness_s60_seed130,recovery_freshness,FreshnessTimeoutSeconds,60
recovery_freshness_s180_seed128,128,900,3,5,1,4,0,64,0.2,0.568888888888889,30.6783326666666,30.6783326666666,30.6783326666666,30.6783326666666,414,500,328,0,0,0,0,0,0,0,0,0,49,4,39.8229091,1,1,current-send-only,2025a,recovery_freshness_s180_seed128,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s180_seed129,129,900,3,5,2,3,0,128,0.4,1.13777777777778,15.6471726666666,0.776612666666665,30.5177326666666,30.5177326666666,451,530,372,0,0,0,0,0,0,0,0,0,52,3,25.7792845,1,1,current-send-only,2025a,recovery_freshness_s180_seed129,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s180_seed130,130,900,3,5,2,3,0,128,0.4,1.13777777777778,13.5464126666666,0.750612666666598,26.3422126666667,26.3422126666667,429,511,347,0,0,0,0,0,0,0,0,0,49,3,49.1877089,1,1,current-send-only,2025a,recovery_freshness_s180_seed130,recovery_freshness,FreshnessTimeoutSeconds,180
recovery_freshness_s300_seed128,128,900,3,5,2,3,0,128,0.4,1.13777777777778,1.77864266666666,0.676412666666693,2.88087266666662,2.88087266666662,327,416,238,0,0,1,0,1,1,0,0,0,20,3,39.0332176,1,0,current-send-only,2025a,recovery_freshness_s300_seed128,recovery_freshness,FreshnessTimeoutSeconds,300
recovery_freshness_s300_seed129,129,900,3,5,2,3,0,128,0.4,1.13777777777778,1.72894266666657,0.434012666666604,3.02387266666653,3.02387266666653,339,413,265,0,0,1,0,1,1,0,0,0,19,3,24.5937686,1,0,current-send-only,2025a,recovery_freshness_s300_seed129,recovery_freshness,FreshnessTimeoutSeconds,300
recovery_freshness_s300_seed130,130,900,3,5,2,3,0,128,0.4,1.13777777777778,1.76374266666664,0.607612666666682,2.91987266666661,2.91987266666661,321,401,241,0,0,1,0,1,1,0,0,0,20,3,32.9994749,1,0,current-send-only,2025a,recovery_freshness_s300_seed130,recovery_freshness,FreshnessTimeoutSeconds,300
