case,checkpoint,time_seconds,field,actual,expected,pass
mac_ack_wait,prepared,0.014,counter,1,1,1
mac_ack_wait,prepared,0.014,preparation,1,1,1
mac_ack_wait,prepared,0.014,transmissions,0,0,1
mac_ack_wait,replaced,0.2,ack_queue,1,1,1
mac_ack_wait,replaced,0.2,counter,1,1,1
mac_ack_wait,before_holdoff,0.299,transmissions,0,0,1
mac_ack_wait,before_tx,0.324999,transmissions,0,0,1
mac_ack_wait,before_tx,0.324999,counter,0,0,1
mac_ack_wait,after_tx,0.325001,transmissions,1,1,1
mac_ack_wait,after_tx,0.325001,advertised_slot,1,1,1
mac_ack_wait,after_tx,0.325001,ack_queue,1,1,1
mac_ack_wait,after_tx,0.325001,data_queue,0,0,1
mac_ack_wait,after_tx,0.325001,rate_key_kbps,128,128,1
mac_ack_wait,after_tx,0.325001,power_dbm,33,33,1
mac_ack_sync,prepared,0.014,counter,1,1,1
mac_ack_sync,prepared,0.014,preparation,1,1,1
mac_ack_sync,prepared,0.014,transmissions,0,0,1
mac_ack_sync,replaced,0.2,ack_queue,1,1,1
mac_ack_sync,replaced,0.2,counter,1,1,1
mac_ack_sync,before_holdoff,0.299,transmissions,0,0,1
mac_ack_sync,frozen,0.399,counter,1,1,1
mac_ack_sync,frozen,0.399,transmissions,0,0,1
mac_ack_sync,resume,0.4,preparation,1,1,1
mac_ack_sync,before_tx,0.415999,transmissions,0,0,1
mac_ack_sync,before_tx,0.415999,counter,0,0,1
mac_ack_sync,after_tx,0.416001,transmissions,1,1,1
mac_ack_sync,after_tx,0.416001,advertised_slot,1,1,1
mac_ack_sync,after_tx,0.416001,ack_queue,1,1,1
mac_ack_sync,after_tx,0.416001,data_queue,0,0,1
mac_ack_sync,after_tx,0.416001,rate_key_kbps,128,128,1
mac_ack_sync,after_tx,0.416001,power_dbm,33,33,1
mac_ack_track,prepared,0.014,counter,1,1,1
mac_ack_track,prepared,0.014,preparation,1,1,1
mac_ack_track,prepared,0.014,transmissions,0,0,1
mac_ack_track,replaced,0.2,ack_queue,1,1,1
mac_ack_track,replaced,0.2,counter,1,1,1
mac_ack_track,before_holdoff,0.299,transmissions,0,0,1
mac_ack_track,frozen,0.399,counter,1,1,1
mac_ack_track,frozen,0.399,transmissions,0,0,1
mac_ack_track,resume,0.4,preparation,1,1,1
mac_ack_track,before_tx,0.415999,transmissions,0,0,1
mac_ack_track,before_tx,0.415999,counter,0,0,1
mac_ack_track,after_tx,0.416001,transmissions,1,1,1
mac_ack_track,after_tx,0.416001,advertised_slot,1,1,1
mac_ack_track,after_tx,0.416001,ack_queue,1,1,1
mac_ack_track,after_tx,0.416001,data_queue,0,0,1
mac_ack_track,after_tx,0.416001,rate_key_kbps,128,128,1
mac_ack_track,after_tx,0.416001,power_dbm,33,33,1
mac_cancel_then_ack,prepared,0.014,counter,1,1,1
mac_cancel_then_ack,prepared,0.014,preparation,1,1,1
mac_cancel_then_ack,prepared,0.014,transmissions,0,0,1
mac_cancel_then_ack,before_holdoff,0.299,transmissions,0,0,1
mac_cancel_then_ack,canceled,0.315,removed,1,1,1
mac_cancel_then_ack,canceled,0.315,data_queue,0,0,1
mac_cancel_then_ack,canceled,0.315,preparation,1,1,1
mac_cancel_then_ack,canceled,0.315,counter,0,0,1
mac_cancel_then_ack,new_ack,0.32,ack_queue,1,1,1
mac_cancel_then_ack,new_ack,0.32,preparation,1,1,1
mac_cancel_then_ack,before_tx,0.324999,transmissions,0,0,1
mac_cancel_then_ack,before_tx,0.324999,counter,0,0,1
mac_cancel_then_ack,after_tx,0.325001,transmissions,1,1,1
mac_cancel_then_ack,after_tx,0.325001,advertised_slot,1,1,1
mac_cancel_then_ack,after_tx,0.325001,ack_queue,1,1,1
mac_cancel_then_ack,after_tx,0.325001,data_queue,0,0,1
mac_cancel_then_ack,after_tx,0.325001,rate_key_kbps,128,128,1
mac_cancel_then_ack,after_tx,0.325001,power_dbm,33,33,1
mac_control_cancel_then_ack,prepared,0.014,counter,1,1,1
mac_control_cancel_then_ack,prepared,0.014,preparation,1,1,1
