case,checkpoint,time_seconds,field,actual,expected,pass
preamble_before_wake,initial,0,idle,1,1,1
preamble_before_wake,initial,0,sync_present,0,0,1
preamble_before_wake,initial,0,received,0,0,1
preamble_before_wake,initial,0,wire_bytes,617,617,1
preamble_before_wake,transmit,0.96199999999999997,duration_seconds,1.0490999999999999,1.0490999999999999,1
preamble_before_wake,before_arrival,0.962003999,sync_present,0,0,1
preamble_before_wake,after_arrival,0.96200400100000005,sync_present,1,1,1
preamble_before_wake,after_arrival,0.96200400100000005,idle,1,1,1
preamble_before_wake,before_wake,0.98799999900000002,idle,1,1,1
preamble_before_wake,after_wake,0.98800000099999996,search,1,1,1
preamble_before_wake,before_track,0.99462999900000004,search,1,1,1
preamble_before_wake,before_track,0.99462999900000004,received,0,0,1
preamble_before_wake,after_track,0.99463000099999999,track,1,1,1
preamble_before_wake,after_first_sleep,0.99690000099999998,idle,0,0,1
preamble_before_wake,after_first_sleep,0.99690000099999998,sync_present,1,1,1
preamble_before_wake,after_first_sleep,0.99690000099999998,received,0,0,1
preamble_before_wake,before_preamble_end,1.9677239989999999,sync_present,1,1,1
preamble_before_wake,before_preamble_end,1.9677239989999999,track,1,1,1
preamble_before_wake,after_preamble_end,1.9677240009999999,sync_present,0,0,1
preamble_before_wake,after_preamble_end,1.9677240009999999,track,1,1,1
preamble_before_wake,before_end,2.0111039989999999,track,1,1,1
preamble_before_wake,before_end,2.0111039989999999,received,0,0,1
preamble_before_wake,delivery,2.011104,received,1,1,1
preamble_before_wake,delivery,2.011104,sequence,1,1,1
preamble_before_wake,delivery,2.011104,track,1,1,1
preamble_before_wake,delivery,2.011104,time_seconds,2.011104,2.011104,1
preamble_before_wake,delivery,2.011104,success,1,1,1
preamble_before_wake,delivery,2.011104,header_ber,0,0,1
preamble_before_wake,delivery,2.011104,payload_ber,0,0,1
preamble_before_wake,delivery,2.011104,header_errors,0,0,1
preamble_before_wake,delivery,2.011104,payload_errors,0,0,1
preamble_before_wake,delivery,2.011104,sync_present,0,0,1
preamble_before_wake,after_end,2.0111040010000001,search,1,1,1
preamble_before_wake,after_end,2.0111040010000001,received,1,1,1
preamble_before_wake,after_end,2.0111040010000001,sync_present,0,0,1
preamble_before_wake,before_sleep,2.0189039989999999,search,1,1,1
