schema,event_index,time_s,event,node,peer,packet_type,src,dst,sequence,rate_kbps,size_bytes,success,reason,pathloss_db,rx_power_dbm,noise_dbm,snr_db,jsr_db,header_errors,payload_errors,total_errors,route_cost,next_hop,security_count,reservation_slot,reservation_counter,detail,statistic,value
csr-differential-trace-v1,0,0,statistic_sample,2,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,1,0,statistic_sample,2,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,2,0,statistic_sample,3,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,3,0,statistic_sample,3,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,4,0.012999999999999999,reservation_prepare,2,,,,,,,,,new,,,,,,,,,,,,3,3,,,
csr-differential-trace-v1,5,0.012999999999999999,reservation_prepare,3,,,,,,,,,new,,,,,,,,,,,,9,9,,,
csr-differential-trace-v1,6,0.29999999999999999,reservation_holdoff,2,,,,,,,,,,,,,,,,,,,,,3,3,,,
csr-differential-trace-v1,7,0.29999999999999999,reservation_holdoff,3,,,,,,,,,,,,,,,,,,,,,9,9,,,
csr-differential-trace-v1,8,0.312,reservation_tick,2,,,,,,,,,,,,,,,,,,,,,3,2,,,
csr-differential-trace-v1,9,0.312,reservation_tick,3,,,,,,,,,,,,,,,,,,,,,9,8,,,
csr-differential-trace-v1,10,0.32500000000000001,reservation_tick,2,,,,,,,,,,,,,,,,,,,,,3,1,,,
csr-differential-trace-v1,11,0.32500000000000001,reservation_tick,3,,,,,,,,,,,,,,,,,,,,,9,7,,,
csr-differential-trace-v1,12,0.33800000000000002,reservation_tick,2,,,,,,,,,,,,,,,,,,,,,3,0,,,
csr-differential-trace-v1,13,0.33800000000000002,reservation_tick,3,,,,,,,,,,,,,,,,,,,,,9,6,,,
csr-differential-trace-v1,14,0.35099999999999998,reservation_tick,2,,,,,,,,,,,,,,,,,,,,,3,-1,,,
csr-differential-trace-v1,15,0.35099999999999998,statistic_sample,2,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),0
csr-differential-trace-v1,16,0.35099999999999998,statistic_sample,2,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queuing Delay (sec),0.35099999999999998
