case,node,ordinal,time_ns,min,max,draw,resolved,probes
ab,2,1,13000000,0,31,3,3,0
ab,3,1,13000000,0,31,9,9,0
ab,2,2,351000000,0,31,7,7,0
ab,1,1,386501000,0,31,1,1,0
ab,3,2,429000000,0,31,1,1,0
ab,1,2,698501000,0,31,1,1,0
ab,2,3,728000000,0,31,3,3,0
ab,3,3,728000000,0,31,9,9,0
ab,1,3,737501000,0,31,1,1,0
ab,1,4,776501000,0,31,1,1,0
ab,2,4,780000000,0,31,7,7,0
ab,1,5,815501000,0,31,1,1,0
ab,1,6,854501000,0,31,1,1,0
ab,3,4,858000000,0,31,1,1,0
ab,1,7,893501000,0,31,1,2,1
ab,2,5,897000000,0,31,3,3,0
ab,3,5,923000000,0,31,9,9,0
ab,1,8,945501000,0,31,1,1,0
ab,2,6,975000000,0,31,7,7,0
ab,1,9,984501000,0,31,1,1,0
ab,1,10,1023501000,0,31,1,1,0
ab,3,6,1053000000,0,31,1,1,0
ab,1,11,1062501000,0,31,1,1,0
ab,2,7,1079000000,0,31,3,3,0
ab,1,12,1101501000,0,31,1,1,0
ab,3,7,1131000000,0,31,9,9,0
ab,1,13,1140501000,0,31,1,1,0
ab,1,14,1179501000,0,31,1,1,0
ab,1,15,1218501000,0,31,1,1,0
ab,1,16,1257501000,0,31,1,1,0
ab,3,8,1261000000,0,31,1,1,0
ab,1,17,1296501000,0,31,1,1,0
ab,1,18,1335501000,0,31,1,1,0
ab,1,19,1374501000,0,31,1,1,0
ab,1,20,1413501000,0,31,1,1,0
ab,1,21,1452501000,0,31,1,1,0
