case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
ba,1,0,offer,2,1,2,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
ba,2,0,admit,2,1,2,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
ba,3,0,offer,3,1,3,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
ba,4,0,admit,3,1,3,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
ba,5,20000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,6,20000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,7,20000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,8,20000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,9,40000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,10,40000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,11,40000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,12,40000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,13,60000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,14,60000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,15,60000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,16,60000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,17,80000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,18,80000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,19,80000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,20,80000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,21,100000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,22,100000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,23,100000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,24,100000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,25,120000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,26,120000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,27,120000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,28,120000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,29,140000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,30,140000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,31,140000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,32,140000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,33,160000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,34,160000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,35,160000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,36,160000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,37,180000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,38,180000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,39,180000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,40,180000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,41,200000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,42,200000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,43,200000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,44,200000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,45,220000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,46,220000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,47,220000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,48,220000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,49,240000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,50,240000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,51,240000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,52,240000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,53,260000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,54,260000000,blocked,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
ba,55,260000000,offer,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,56,260000000,blocked,3,1,3,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
ba,57,280000000,offer,2,1,2,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
