case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
slow,1,0,offer,2,1,2,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
slow,2,0,admit,2,1,2,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
slow,3,0,offer,3,1,3,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
slow,4,0,admit,3,1,3,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
slow,5,20000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,6,20000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,7,20000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,8,20000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,9,40000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,10,40000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,11,40000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,12,40000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,13,60000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,14,60000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,15,60000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,16,60000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,17,80000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,18,80000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,19,80000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,20,80000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,21,100000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,22,100000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,23,100000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,24,100000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,25,120000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,26,120000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,27,120000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,28,120000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,29,140000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,30,140000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,31,140000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,32,140000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,33,160000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,34,160000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,35,160000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,36,160000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
slow,37,180000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,38,180000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
slow,39,180000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
