case,node,ordinal,time_ns,min,max,draw,resolved,probes
slow,2,1,13000000,0,31,3,3,0
slow,3,1,13000000,0,31,9,9,0
slow,2,2,351000000,0,31,7,7,0
slow,1,1,386501000,0,31,28,28,0
slow,3,2,429000000,0,31,1,1,0
slow,1,2,1049501000,0,31,28,28,0
slow,2,3,1079000000,0,31,3,3,0
slow,3,3,1079000000,0,31,9,9,0
slow,2,4,1131000000,0,31,7,7,0
slow,3,4,1209000000,0,31,1,1,0
slow,1,3,1439501000,0,31,28,28,0
slow,2,5,1469000000,0,31,3,3,0
slow,3,5,1469000000,0,31,9,9,0
slow,2,6,1521000000,0,31,7,7,0
slow,3,6,1599000000,0,31,1,1,0
slow,1,4,1829501000,0,31,28,28,0
slow,2,7,1859000000,0,31,3,3,0
slow,3,7,1859000000,0,31,9,9,0
slow,2,8,1911000000,0,31,7,7,0
slow,3,8,1989000000,0,31,1,1,0
slow,1,5,2219501000,0,31,28,28,0
slow,1,6,2609501000,0,31,28,28,0
slow,1,7,2999501000,0,31,28,28,0
slow,1,8,3389501000,0,31,28,28,0
slow,1,9,3779501000,0,31,28,28,0
