case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
track,1,0,offer,2,1,2,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
track,2,0,admit,2,1,2,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
track,3,0,offer,3,1,3,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
track,4,0,admit,3,1,3,1,1,0,0,1,0,1,0,-1,-1,-1,1,1,0,1,1,128,33
track,5,20000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,6,20000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,7,20000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,8,20000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,9,40000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,10,40000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,11,40000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,12,40000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,13,60000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,14,60000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,15,60000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,16,60000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,17,80000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,18,80000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,19,80000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,20,80000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,21,100000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,22,100000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,23,100000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,24,100000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,25,120000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,26,120000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,27,120000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,28,120000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,29,140000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,30,140000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,31,140000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,32,140000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,33,160000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,34,160000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,35,160000000,offer,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,36,160000000,blocked,3,1,3,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0
track,37,180000000,offer,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
track,38,180000000,blocked,2,1,2,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0
