case,node,ordinal,time_ns,min,max,draw,resolved,probes
track,2,1,13000000,0,31,3,3,0
track,3,1,13000000,0,31,9,9,0
track,2,2,351000000,0,31,7,7,0
track,3,2,429000000,0,31,1,1,0
track,1,1,650000000,0,31,1,2,1
track,1,2,711501000,0,31,1,1,0
track,2,3,741000000,0,31,3,3,0
track,3,3,741000000,0,31,9,9,0
track,1,3,750501000,0,31,1,1,0
track,1,4,789501000,0,31,1,1,0
track,2,4,793000000,0,31,7,7,0
track,1,5,828501000,0,31,1,1,0
track,1,6,867501000,0,31,1,1,0
track,3,4,871000000,0,31,1,1,0
track,1,7,906501000,0,31,1,2,1
track,2,5,910000000,0,31,3,3,0
track,3,5,936000000,0,31,9,9,0
track,1,8,958501000,0,31,1,1,0
track,2,6,988000000,0,31,7,7,0
track,1,9,997501000,0,31,1,1,0
track,1,10,1036501000,0,31,1,1,0
track,3,6,1066000000,0,31,1,1,0
track,1,11,1075501000,0,31,1,1,0
track,2,7,1092000000,0,31,3,3,0
track,1,12,1114501000,0,31,1,1,0
track,3,7,1144000000,0,31,9,9,0
track,1,13,1153501000,0,31,1,1,0
track,1,14,1192501000,0,31,1,1,0
track,1,15,1231501000,0,31,1,1,0
track,1,16,1270501000,0,31,1,1,0
track,3,8,1274000000,0,31,1,1,0
track,1,17,1309501000,0,31,1,1,0
track,1,18,1348501000,0,31,1,1,0
track,1,19,1387501000,0,31,1,1,0
track,1,20,1426501000,0,31,1,1,0
track,1,21,1465501000,0,31,1,1,0
