case,node,ordinal,time_ns,min,max,draw,resolved,purpose
relay,4,1,13000028,0,31,3,3,prepare
relay,4,2,351000028,0,31,7,7,advertise
relay,5,1,386501028,0,31,9,9,prepare
relay,5,2,802501028,0,31,1,1,advertise
relay,4,3,832000028,0,31,3,3,prepare
relay,1,1,840462028,0,31,1,1,prepare
relay,5,3,841501028,0,31,9,9,advertise
relay,4,4,884000028,0,31,7,8,advertise
relay,5,4,984501028,0,31,1,2,advertise
relay,4,5,1014000028,0,31,3,3,prepare
relay,5,5,1036501028,0,31,9,9,advertise
relay,4,6,1066000028,0,31,7,7,advertise
relay,1,2,1152462028,0,31,1,1,advertise
relay,5,6,1179501028,0,31,1,1,advertise
relay,1,3,1191462028,0,31,1,1,advertise
relay,4,7,1209000028,0,31,3,3,prepare
relay,5,7,1218501028,0,31,9,9,advertise
relay,1,4,1230462028,0,31,1,1,advertise
relay,4,8,1261000028,0,31,7,8,advertise
relay,1,5,1269462028,0,31,1,1,advertise
relay,1,6,1308462028,0,31,1,1,advertise
relay,1,7,1347462028,0,31,1,1,advertise
relay,5,8,1361501028,0,31,1,1,advertise
relay,1,8,1386462028,0,31,1,1,advertise
relay,4,9,1391000028,0,31,3,3,prepare
relay,5,9,1400501028,0,31,9,9,advertise
relay,1,9,1425462028,0,31,1,1,advertise
relay,4,10,1443000028,0,31,7,8,advertise
relay,1,10,1464462028,0,31,1,1,advertise
relay,1,11,1503462028,0,31,1,1,advertise
relay,1,12,1542462028,0,31,1,1,advertise
relay,5,10,1543501028,0,31,1,1,advertise
relay,4,11,1573000028,0,31,3,3,prepare
relay,1,13,1581462028,0,31,1,1,prepare
relay,5,11,1595501028,0,31,9,9,advertise
relay,1,14,1607462028,0,31,1,1,advertise
relay,4,12,1625000028,0,31,7,7,advertise
relay,1,15,1646462028,0,31,1,1,advertise
relay,1,16,1685462028,0,31,1,1,advertise
relay,1,17,1724462028,0,31,1,1,advertise
relay,5,12,1738501028,0,31,1,1,advertise
relay,1,18,1763462028,0,31,1,1,advertise
relay,4,13,1768000028,0,31,3,3,prepare
relay,5,13,1790501028,0,31,9,9,advertise
relay,1,19,1802462028,0,31,1,1,advertise
relay,4,14,1820000028,0,31,7,7,advertise
relay,1,20,1841462028,0,31,1,1,advertise
relay,1,21,1880462028,0,31,1,1,advertise
relay,1,22,1919462028,0,31,1,1,advertise
relay,5,14,1933501028,0,31,1,1,advertise
relay,1,23,1958462028,0,31,1,1,advertise
relay,4,15,1976000028,0,31,3,3,prepare
relay,5,15,1985501028,0,31,9,9,advertise
relay,1,24,1997462028,0,31,1,1,advertise
relay,4,16,2028000028,0,31,7,8,advertise
relay,1,25,2036462028,0,31,1,1,advertise
relay,1,26,2075462028,0,31,1,1,advertise
relay,1,27,2114462028,0,31,1,1,advertise
relay,5,16,2128501028,0,31,1,1,advertise
relay,1,28,2153462028,0,31,1,1,advertise
relay,4,17,2171000028,0,31,3,3,prepare
relay,5,17,2180501028,0,31,9,9,advertise
relay,1,29,2192462028,0,31,1,1,advertise
relay,4,18,2223000028,0,31,7,8,advertise
relay,1,30,2231462028,0,31,1,1,advertise
relay,1,31,2270462028,0,31,1,1,advertise
relay,1,32,2309462028,0,31,1,1,advertise
relay,5,18,2323501028,0,31,1,2,advertise
relay,1,33,2348462028,0,31,1,1,advertise
relay,1,34,2387462028,0,31,1,1,advertise
relay,5,19,2388501028,0,31,9,9,advertise
relay,1,35,2426462028,0,31,1,1,advertise
relay,1,36,2465462028,0,31,1,1,advertise
relay,1,37,2504462028,0,31,1,1,advertise
relay,5,20,2531501028,0,31,1,1,advertise
relay,1,38,2543462028,0,31,1,1,advertise
relay,5,21,2570501028,0,31,9,9,advertise
relay,1,39,2582462028,0,31,1,1,advertise
relay,1,40,2621462028,0,31,1,1,advertise
relay,1,41,2660462028,0,31,1,1,advertise
relay,1,42,2699462028,0,31,1,1,advertise
relay,5,22,2713501028,0,31,1,1,advertise
relay,1,43,2738462028,0,31,1,1,advertise
local,5,1,13000028,0,31,9,9,prepare
local,5,2,429000028,0,31,1,1,advertise
local,1,1,464501028,0,31,1,1,prepare
local,1,2,776501028,0,31,1,1,advertise
local,5,3,806000028,0,31,9,9,prepare
local,1,3,815501028,0,31,1,1,advertise
local,1,4,854501028,0,31,1,1,advertise
local,1,5,893501028,0,31,1,1,advertise
local,1,6,932501028,0,31,1,1,advertise
local,5,4,936000028,0,31,1,1,advertise
local,1,7,971501028,0,31,1,1,advertise
local,5,5,1001000028,0,31,9,9,prepare
local,1,8,1010501028,0,31,1,1,advertise
local,1,9,1049501028,0,31,1,1,advertise
local,1,10,1088501028,0,31,1,1,advertise
local,1,11,1127501028,0,31,1,1,advertise
local,5,6,1131000028,0,31,1,1,advertise
local,1,12,1166501028,0,31,1,1,advertise
local,5,7,1196000028,0,31,9,9,prepare
local,1,13,1205501028,0,31,1,1,advertise
local,1,14,1244501028,0,31,1,1,advertise
local,1,15,1283501028,0,31,1,1,advertise
local,1,16,1322501028,0,31,1,1,advertise
local,5,8,1326000028,0,31,1,1,advertise
local,1,17,1361501028,0,31,1,1,prepare
local,1,18,1387501028,0,31,1,1,advertise
local,5,9,1417000028,0,31,9,9,prepare
local,1,19,1426501028,0,31,1,1,advertise
local,1,20,1465501028,0,31,1,1,advertise
local,1,21,1504501028,0,31,1,1,advertise
local,1,22,1543501028,0,31,1,1,advertise
local,5,10,1547000028,0,31,1,1,advertise
local,1,23,1582501028,0,31,1,1,prepare
local,1,24,1608501028,0,31,1,1,advertise
local,5,11,1638000028,0,31,9,9,prepare
local,1,25,1647501028,0,31,1,1,advertise
