case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
local,1,0,offer,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
local,2,0,admit,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,1,0,1,0
local,3,20000000,offer,5,1,5,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0,0,1,0,1,0
local,4,20000000,admit,5,1,5,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
local,5,40000000,offer,5,1,5,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
local,6,40000000,admit,5,1,5,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
local,7,60000000,offer,5,1,5,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
local,8,60000000,admit,5,1,5,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,4,0,0,3,4,0,4,0
local,9,80000000,offer,5,1,5,5,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,4,0,0,3,4,0,4,0
local,10,80000000,admit,5,1,5,5,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,5,0,0,4,5,0,5,0
local,11,100000000,offer,5,1,5,6,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,5,0,0,4,5,0,5,0
local,12,100000000,admit,5,1,5,6,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,6,0,0,5,6,0,6,0
local,13,120000000,offer,5,1,5,7,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,6,0,0,5,6,0,6,0
local,14,120000000,admit,5,1,5,7,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,7,0,0,6,7,0,7,0
local,15,140000000,offer,5,1,5,8,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,7,0,0,6,7,0,7,0
local,16,140000000,admit,5,1,5,8,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,8,0,0,7,8,0,8,0
local,17,160000000,offer,5,1,5,9,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,8,0,0,7,8,0,8,0
local,18,160000000,admit,5,1,5,9,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,9,0,0,8,9,0,9,0
local,19,180000000,offer,5,1,5,10,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,9,0,0,8,9,0,9,0
local,20,180000000,admit,5,1,5,10,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,10,0,0,9,10,0,10,0
local,21,200000000,offer,5,1,5,11,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,10,0,0,9,10,0,10,0
local,22,200000000,admit,5,1,5,11,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,11,0,0,10,11,0,11,0
local,23,220000000,offer,5,1,5,12,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,11,0,0,10,11,0,11,0
local,24,220000000,admit,5,1,5,12,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,12,0,0,11,12,0,12,0
local,25,240000000,offer,5,1,5,13,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,12,0,0,11,12,0,12,0
local,26,240000000,admit,5,1,5,13,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,13,0,0,12,13,0,13,0
local,27,260000000,offer,5,1,5,14,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,13,0,0,12,13,0,13,0
local,28,260000000,admit,5,1,5,14,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,14,0,0,13,14,0,14,0
local,29,280000000,offer,5,1,5,15,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,14,0,0,13,14,0,14,0
local,30,280000000,admit,5,1,5,15,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,15,0,0,14,15,0,15,0
local,31,300000000,offer,5,1,5,16,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,15,0,0,14,15,0,15,0
local,32,300000000,admit,5,1,5,16,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,33,320000000,offer,5,1,5,17,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,34,320000000,blocked,5,1,5,17,0,0,0,1,0,1,1,8,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,35,340000000,offer,5,1,5,17,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,36,340000000,blocked,5,1,5,17,0,0,0,1,0,1,1,6,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,37,360000000,offer,5,1,5,17,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,38,360000000,blocked,5,1,5,17,0,0,0,1,0,1,1,5,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,39,380000000,offer,5,1,5,17,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,40,380000000,blocked,5,1,5,17,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,41,400000000,offer,5,1,5,17,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,42,400000000,blocked,5,1,5,17,0,0,0,1,0,1,1,2,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,43,420000000,offer,5,1,5,17,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
local,44,420000000,blocked,5,1,5,17,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,16,0,0,15,16,0,16,0
