case,node,ordinal,time_ns,min,max,draw,resolved,probes
local,5,1,13000028,0,31,9,9,0
local,5,2,429000028,0,31,1,1,0
local,1,1,464501028,0,31,1,1,0
local,1,2,776501028,0,31,1,1,0
local,5,3,806000028,0,31,9,9,0
local,1,3,815501028,0,31,1,1,0
local,1,4,854501028,0,31,1,1,0
local,1,5,893501028,0,31,1,1,0
local,1,6,932501028,0,31,1,1,0
local,5,4,936000028,0,31,1,1,0
local,1,7,971501028,0,31,1,1,0
local,5,5,1001000028,0,31,9,9,0
local,1,8,1010501028,0,31,1,1,0
local,1,9,1049501028,0,31,1,1,0
local,1,10,1088501028,0,31,1,1,0
local,1,11,1127501028,0,31,1,1,0
local,5,6,1131000028,0,31,1,1,0
local,1,12,1166501028,0,31,1,1,0
local,5,7,1196000028,0,31,9,9,0
local,1,13,1205501028,0,31,1,1,0
local,1,14,1244501028,0,31,1,1,0
local,1,15,1283501028,0,31,1,1,0
local,1,16,1322501028,0,31,1,1,0
local,5,8,1326000028,0,31,1,1,0
local,1,17,1361501028,0,31,1,1,0
local,1,18,1387501028,0,31,1,1,0
local,5,9,1417000028,0,31,9,9,0
local,1,19,1426501028,0,31,1,1,0
local,1,20,1465501028,0,31,1,1,0
local,1,21,1504501028,0,31,1,1,0
local,1,22,1543501028,0,31,1,1,0
local,5,10,1547000028,0,31,1,1,0
local,1,23,1582501028,0,31,1,1,0
local,1,24,1608501028,0,31,1,1,0
local,5,11,1638000028,0,31,9,9,0
local,1,25,1647501028,0,31,1,1,0
local,1,26,1686501028,0,31,1,1,0
local,1,27,1725501028,0,31,1,1,0
local,1,28,1764501028,0,31,1,1,0
local,5,12,1768000028,0,31,1,1,0
local,1,29,1803501028,0,31,1,1,0
local,1,30,1829501028,0,31,1,1,0
local,5,13,1859000028,0,31,9,9,0
local,1,31,1868501028,0,31,1,1,0
local,1,32,1907501028,0,31,1,1,0
local,1,33,1946501028,0,31,1,1,0
local,1,34,1985501028,0,31,1,1,0
local,5,14,1989000028,0,31,1,1,0
local,1,35,2024501028,0,31,1,1,0
local,1,36,2050501028,0,31,1,1,0
local,5,15,2080000028,0,31,9,9,0
local,1,37,2089501028,0,31,1,1,0
local,1,38,2128501028,0,31,1,1,0
local,1,39,2167501028,0,31,1,1,0
local,1,40,2206501028,0,31,1,1,0
local,5,16,2210000028,0,31,1,1,0
local,1,41,2245501028,0,31,1,1,0
local,1,42,2271501028,0,31,1,1,0
local,5,17,2301000028,0,31,9,9,0
local,1,43,2310501028,0,31,1,1,0
local,1,44,2349501028,0,31,1,1,0
local,1,45,2388501028,0,31,1,1,0
local,1,46,2427501028,0,31,1,1,0
local,5,18,2431000028,0,31,1,1,0
local,1,47,2466501028,0,31,1,1,0
local,1,48,2505501028,0,31,1,1,0
local,1,49,2544501028,0,31,1,1,0
local,1,50,2583501028,0,31,1,1,0
local,1,51,2622501028,0,31,1,1,0
