case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
mix,1,0,offer,4,5,4,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
mix,2,0,admit,4,5,4,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,1,1,0,0
mix,3,0,offer,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
mix,4,0,admit,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,1,0,1,0
mix,5,20000000,offer,4,5,4,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0,0,1,1,0,0
mix,6,20000000,admit,4,5,4,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,2,0,0,1,2,2,0,0
mix,7,20000000,offer,5,1,5,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0,0,1,0,1,0
mix,8,20000000,admit,5,1,5,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
mix,9,40000000,offer,4,5,4,3,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,2,0,0,1,2,2,0,0
mix,10,40000000,admit,4,5,4,3,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,3,0,0,2,3,3,0,0
mix,11,40000000,offer,5,1,5,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
mix,12,40000000,admit,5,1,5,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
mix,13,60000000,offer,4,5,4,4,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,3,0,0,2,3,3,0,0
mix,14,60000000,admit,4,5,4,4,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,4,0,0,3,4,4,0,0
mix,15,60000000,offer,5,1,5,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
mix,16,60000000,admit,5,1,5,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,4,0,0,3,4,0,4,0
mix,17,80000000,offer,4,5,4,5,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,4,0,0,3,4,4,0,0
mix,18,80000000,admit,4,5,4,5,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,5,0,0,4,5,5,0,0
mix,19,80000000,offer,5,1,5,5,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,4,0,0,3,4,0,4,0
mix,20,80000000,admit,5,1,5,5,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,5,0,0,4,5,0,5,0
mix,21,100000000,offer,4,5,4,6,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,5,0,0,4,5,5,0,0
mix,22,100000000,admit,4,5,4,6,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,6,0,0,5,6,6,0,0
mix,23,100000000,offer,5,1,5,6,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,5,0,0,4,5,0,5,0
mix,24,100000000,admit,5,1,5,6,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,6,0,0,5,6,0,6,0
mix,25,120000000,offer,4,5,4,7,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,6,0,0,5,6,6,0,0
mix,26,120000000,admit,4,5,4,7,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,7,0,0,6,7,7,0,0
mix,27,120000000,offer,5,1,5,7,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,6,0,0,5,6,0,6,0
mix,28,120000000,admit,5,1,5,7,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,7,0,0,6,7,0,7,0
mix,29,140000000,offer,4,5,4,8,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,7,0,0,6,7,7,0,0
mix,30,140000000,admit,4,5,4,8,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,8,0,0,7,8,8,0,0
mix,31,140000000,offer,5,1,5,8,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,7,0,0,6,7,0,7,0
mix,32,140000000,admit,5,1,5,8,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,8,0,0,7,8,0,8,0
mix,33,160000000,offer,4,5,4,9,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,8,0,0,7,8,8,0,0
mix,34,160000000,admit,4,5,4,9,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,9,0,0,8,9,9,0,0
mix,35,160000000,offer,5,1,5,9,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,8,0,0,7,8,0,8,0
mix,36,160000000,admit,5,1,5,9,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,9,0,0,8,9,0,9,0
mix,37,180000000,offer,4,5,4,10,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,9,0,0,8,9,9,0,0
mix,38,180000000,admit,4,5,4,10,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,10,0,0,9,10,10,0,0
mix,39,180000000,offer,5,1,5,10,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,9,0,0,8,9,0,9,0
mix,40,180000000,admit,5,1,5,10,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,10,0,0,9,10,0,10,0
mix,41,200000000,offer,4,5,4,11,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,10,0,0,9,10,10,0,0
mix,42,200000000,admit,4,5,4,11,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,11,0,0,10,11,11,0,0
mix,43,200000000,offer,5,1,5,11,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,10,0,0,9,10,0,10,0
mix,44,200000000,admit,5,1,5,11,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,11,0,0,10,11,0,11,0
mix,45,220000000,offer,4,5,4,12,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,11,0,0,10,11,11,0,0
mix,46,220000000,admit,4,5,4,12,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,12,0,0,11,12,12,0,0
