case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm,nwk_waiting,nwk_custody,nsdp4,nsdp5,dack_holds
sw,1,0,offer,4,5,4,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
sw,2,0,admit,4,5,4,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,1,1,0,0
sw,3,0,offer,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
sw,4,0,admit,5,1,5,1,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,1,0,1,0
sw,5,20000000,offer,4,5,4,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,1,0,0,0,1,1,0,0
sw,6,20000000,admit,4,5,4,2,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,2,0,0
sw,7,20000000,offer,5,1,5,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,1,0,0,0,1,0,1,0
sw,8,20000000,admit,5,1,5,2,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
sw,9,40000000,offer,4,5,4,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,2,0,0,1,2,2,0,0
sw,10,40000000,admit,4,5,4,3,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,3,0,0
sw,11,40000000,offer,5,1,5,3,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,2,0,0,1,2,0,2,0
sw,12,40000000,admit,5,1,5,3,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
sw,13,60000000,offer,4,5,4,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,3,0,0,2,3,3,0,0
sw,14,60000000,admit,4,5,4,4,0,0,0,1,0,1,1,9,-1,-1,1,1,0,1,4,0,0,3,4,4,0,0
sw,15,60000000,offer,5,1,5,4,0,0,0,1,0,1,1,3,-1,-1,1,1,0,1,3,0,0,2,3,0,3,0
