case,node,ordinal,time_ns,min,max,draw,resolved,probes
sw,4,1,13000028,0,31,9,9,0
sw,5,1,13000028,0,31,3,3,0
sw,5,2,351000028,0,31,7,7,0
sw,1,1,386501028,0,31,1,1,0
sw,4,2,429000028,0,31,1,1,0
sw,5,3,468000028,0,31,3,3,0
sw,4,3,494000028,0,31,9,9,0
sw,5,4,533000028,0,31,7,7,0
sw,4,4,624000028,0,31,1,2,1
sw,5,5,650000028,0,31,3,3,0
sw,4,5,676000028,0,31,9,9,0
sw,1,2,698501028,0,31,1,1,0
sw,5,6,715000028,0,31,7,7,0
sw,1,3,737501028,0,31,1,1,0
sw,1,4,776501028,0,31,1,1,0
sw,4,6,806000028,0,31,1,2,1
sw,1,5,815501028,0,31,1,1,0
sw,5,7,832000028,0,31,3,3,0
sw,1,6,854501028,0,31,1,1,0
sw,4,7,858000028,0,31,9,9,0
sw,1,7,893501028,0,31,1,2,1
sw,5,8,897000028,0,31,7,7,0
sw,1,8,945501028,0,31,1,1,0
sw,1,9,984501028,0,31,1,1,0
sw,4,8,988000028,0,31,1,2,1
sw,5,9,1014000028,0,31,3,3,0
sw,1,10,1023501028,0,31,1,1,0
sw,4,9,1040000028,0,31,9,9,0
sw,1,11,1062501028,0,31,1,2,1
sw,5,10,1079000028,0,31,7,7,0
sw,1,12,1114501028,0,31,1,1,0
sw,1,13,1153501028,0,31,1,1,0
sw,4,10,1170000028,0,31,1,2,1
sw,1,14,1192501028,0,31,1,1,0
sw,5,11,1196000028,0,31,3,3,0
sw,1,15,1231501028,0,31,1,1,0
sw,4,11,1235000028,0,31,9,9,0
sw,1,16,1270501028,0,31,1,1,0
sw,5,12,1274000028,0,31,7,7,0
sw,1,17,1309501028,0,31,1,1,0
sw,1,18,1348501028,0,31,1,1,0
sw,4,12,1365000028,0,31,1,1,0
sw,1,19,1387501028,0,31,1,1,0
sw,5,13,1404000028,0,31,3,3,0
sw,1,20,1426501028,0,31,1,1,0
sw,4,13,1443000028,0,31,9,9,0
sw,1,21,1465501028,0,31,1,2,1
sw,5,14,1482000028,0,31,7,7,0
sw,1,22,1517501028,0,31,1,1,0
sw,1,23,1556501028,0,31,1,1,0
sw,4,14,1573000028,0,31,1,2,1
sw,1,24,1595501028,0,31,1,1,0
sw,5,15,1599000028,0,31,3,3,0
sw,1,25,1634501028,0,31,1,1,0
sw,1,26,1673501028,0,31,1,1,0
sw,5,16,1677000028,0,31,7,7,0
sw,1,27,1712501028,0,31,1,1,0
sw,4,15,1716000028,0,31,9,9,0
sw,1,28,1751501028,0,31,1,1,0
sw,1,29,1790501028,0,31,1,1,0
sw,5,17,1807000028,0,31,3,3,0
sw,1,30,1829501028,0,31,1,2,1
sw,4,16,1846000028,0,31,1,1,0
sw,1,31,1881501028,0,31,1,1,0
sw,5,18,1898000028,0,31,7,7,0
sw,1,32,1920501028,0,31,1,1,0
sw,4,17,1924000028,0,31,9,9,0
sw,1,33,1959501028,0,31,1,1,0
sw,1,34,1998501028,0,31,1,1,0
sw,5,19,2015000028,0,31,3,3,0
sw,1,35,2037501028,0,31,1,1,0
sw,4,18,2054000028,0,31,1,1,0
sw,1,36,2076501028,0,31,1,2,1
sw,5,20,2106000028,0,31,7,7,0
sw,1,37,2128501028,0,31,1,1,0
sw,1,38,2167501028,0,31,1,1,0
sw,1,39,2206501028,0,31,1,1,0
sw,5,21,2236000028,0,31,3,3,0
sw,1,40,2245501028,0,31,1,2,1
sw,1,41,2297501028,0,31,1,1,0
sw,5,22,2301000028,0,31,7,7,0
sw,1,42,2336501028,0,31,1,1,0
sw,5,23,2418000028,0,31,3,3,0
sw,5,24,2483000028,0,31,7,7,0
