case,node,ordinal,time_ns,min,max,draw,resolved,purpose
ok,4,1,13000028,0,31,3,3,prepare
ok,5,1,13000028,0,31,9,9,prepare
ok,4,2,351000028,0,31,7,7,advertise
ok,5,2,429000028,0,31,1,1,advertise
ok,1,1,466961028,0,31,1,1,prepare
ok,4,3,468000028,0,31,3,3,advertise
ok,5,3,468000028,0,31,9,9,advertise
ok,5,4,611000028,0,31,1,1,advertise
ok,4,4,637000028,0,31,7,7,prepare
ok,5,5,650000028,0,31,9,9,advertise
ok,4,5,741000028,0,31,3,4,advertise
ok,1,2,778961028,0,31,1,1,advertise
ok,5,6,793000028,0,31,1,2,advertise
ok,1,3,817961028,0,31,1,1,advertise
ok,4,6,819000028,0,31,7,7,prepare
ok,5,7,845000028,0,31,9,9,advertise
ok,1,4,856961028,0,31,1,1,advertise
ok,1,5,895961028,0,31,1,1,advertise
ok,4,7,923000028,0,31,3,3,advertise
ok,1,6,934961028,0,31,1,1,advertise
ok,1,7,973961028,0,31,1,1,advertise
ok,5,8,988000028,0,31,1,1,advertise
ok,1,8,1012961028,0,31,1,1,advertise
ok,4,8,1014000028,0,31,7,7,prepare
ok,5,9,1027000028,0,31,9,9,advertise
ok,1,9,1051961028,0,31,1,1,advertise
ok,1,10,1090961028,0,31,1,1,advertise
ok,4,9,1118000028,0,31,3,4,advertise
ok,1,11,1129961028,0,31,1,1,advertise
ok,1,12,1168961028,0,31,1,1,advertise
ok,5,10,1170000028,0,31,1,2,advertise
ok,1,13,1207961028,0,31,1,2,prepare
ok,4,10,1209000028,0,31,7,7,prepare
ok,5,11,1235000028,0,31,9,9,advertise
ok,1,14,1246961028,0,31,1,1,advertise
ok,1,15,1285961028,0,31,1,1,advertise
ok,4,11,1313000028,0,31,3,3,advertise
ok,1,16,1324961028,0,31,1,1,advertise
ok,1,17,1363961028,0,31,1,1,advertise
ok,5,12,1378000028,0,31,1,1,advertise
ok,1,18,1402961028,0,31,1,1,advertise
ok,4,12,1417000028,0,31,7,7,prepare
ok,5,13,1430000028,0,31,9,9,advertise
ok,1,19,1441961028,0,31,1,1,advertise
ok,1,20,1480961028,0,31,1,1,advertise
ok,1,21,1519961028,0,31,1,1,advertise
ok,4,13,1521000028,0,31,3,4,advertise
ok,1,22,1558961028,0,31,1,1,advertise
ok,5,14,1573000028,0,31,1,1,advertise
ok,1,23,1597961028,0,31,1,1,advertise
ok,4,14,1612000028,0,31,7,7,prepare
ok,5,15,1625000028,0,31,9,9,advertise
ok,1,24,1636961028,0,31,1,1,advertise
ok,1,25,1675961028,0,31,1,1,advertise
ok,1,26,1714961028,0,31,1,1,advertise
ok,4,15,1716000028,0,31,3,4,advertise
ok,1,27,1753961028,0,31,1,1,advertise
ok,5,16,1768000028,0,31,1,1,advertise
ok,1,28,1792961028,0,31,1,1,advertise
ok,4,16,1807000028,0,31,7,7,prepare
ok,5,17,1820000028,0,31,9,9,advertise
ok,1,29,1831961028,0,31,1,1,advertise
ok,1,30,1870961028,0,31,1,1,advertise
ok,1,31,1909961028,0,31,1,1,advertise
ok,4,17,1911000028,0,31,3,4,advertise
ok,1,32,1948961028,0,31,1,1,advertise
ok,5,18,1963000028,0,31,1,2,advertise
ok,1,33,1987961028,0,31,1,1,advertise
ok,1,34,2026961028,0,31,1,1,advertise
ok,5,19,2028000028,0,31,9,9,advertise
ok,1,35,2065961028,0,31,1,1,advertise
ok,1,36,2104961028,0,31,1,1,advertise
ok,1,37,2143961028,0,31,1,1,advertise
ok,5,20,2171000028,0,31,1,1,advertise
ok,1,38,2182961028,0,31,1,1,advertise
ok,1,39,2221961028,0,31,1,1,prepare
ok,5,21,2236000028,0,31,9,9,advertise
