case,node,ordinal,time_ns,min,max,draw,resolved,probes
ack,4,1,13000028,0,31,3,3,0
ack,5,1,13000028,0,31,9,9,0
ack,4,2,351000028,0,31,7,7,0
ack,5,2,429000028,0,31,1,1,0
ack,1,1,466961028,0,31,1,1,0
ack,5,3,468000028,0,31,9,9,0
ack,4,3,494000028,0,31,3,3,0
ack,4,4,546000028,0,31,7,7,0
ack,5,4,611000028,0,31,1,1,0
ack,5,5,650000028,0,31,9,9,0
ack,4,5,663000028,0,31,3,3,0
ack,1,2,778961028,0,31,1,1,0
ack,5,6,793000028,0,31,1,1,0
ack,1,3,817961028,0,31,1,1,0
ack,4,6,819000028,0,31,7,7,0
ack,5,7,832000028,0,31,9,9,0
ack,1,4,856961028,0,31,1,1,0
ack,1,5,895961028,0,31,1,1,0
ack,4,7,923000028,0,31,3,4,1
ack,1,6,934961028,0,31,1,1,0
ack,5,8,975000028,0,31,1,2,1
ack,1,7,999961028,0,31,1,2,1
ack,4,8,1001000028,0,31,7,7,0
ack,5,9,1027000028,0,31,9,9,0
ack,1,8,1038961028,0,31,1,1,0
ack,1,9,1077961028,0,31,1,1,0
ack,4,9,1105000028,0,31,3,3,0
ack,1,10,1116961028,0,31,1,1,0
ack,1,11,1155961028,0,31,1,1,0
ack,5,10,1170000028,0,31,1,1,0
ack,1,12,1194961028,0,31,1,1,0
ack,4,10,1196000028,0,31,7,7,0
ack,5,11,1209000028,0,31,9,9,0
ack,1,13,1233961028,0,31,1,1,0
ack,1,14,1272961028,0,31,1,1,0
ack,4,11,1300000028,0,31,3,4,1
ack,1,15,1311961028,0,31,1,1,0
ack,1,16,1350961028,0,31,1,1,0
ack,5,12,1352000028,0,31,1,1,0
ack,1,17,1389961028,0,31,1,1,0
ack,4,12,1391000028,0,31,7,7,0
ack,5,13,1404000028,0,31,9,9,0
ack,1,18,1415961028,0,31,1,1,0
ack,1,19,1454961028,0,31,1,1,0
ack,1,20,1493961028,0,31,1,1,0
ack,4,13,1495000028,0,31,3,4,1
ack,1,21,1532961028,0,31,1,1,0
ack,5,14,1547000028,0,31,1,1,0
ack,1,22,1571961028,0,31,1,1,0
ack,4,14,1586000028,0,31,7,7,0
ack,5,15,1599000028,0,31,9,9,0
ack,1,23,1610961028,0,31,1,1,0
ack,1,24,1649961028,0,31,1,1,0
ack,1,25,1688961028,0,31,1,1,0
ack,4,15,1690000028,0,31,3,4,1
ack,1,26,1727961028,0,31,1,1,0
ack,5,16,1742000028,0,31,1,1,0
ack,1,27,1766961028,0,31,1,1,0
ack,4,16,1781000028,0,31,7,7,0
ack,5,17,1794000028,0,31,9,9,0
ack,1,28,1805961028,0,31,1,1,0
ack,1,29,1844961028,0,31,1,1,0
ack,1,30,1883961028,0,31,1,1,0
ack,4,17,1885000028,0,31,3,4,1
ack,1,31,1922961028,0,31,1,1,0
ack,5,18,1937000028,0,31,1,2,1
ack,1,32,1961961028,0,31,1,1,0
ack,1,33,2000961028,0,31,1,1,0
ack,5,19,2002000028,0,31,9,9,0
ack,1,34,2039961028,0,31,1,1,0
ack,1,35,2078961028,0,31,1,1,0
ack,1,36,2117961028,0,31,1,1,0
ack,5,20,2145000028,0,31,1,1,0
ack,1,37,2156961028,0,31,1,1,0
ack,1,38,2195961028,0,31,1,1,0
ack,5,21,2197000028,0,31,9,9,0
ack,1,39,2234961028,0,31,1,1,0
ack,1,40,2273961028,0,31,1,1,0
ack,1,41,2312961028,0,31,1,1,0
ack,5,22,2340000028,0,31,1,1,0
ack,1,42,2351961028,0,31,1,1,0
ack,1,43,2390961028,0,31,1,1,0
ack,1,44,2416961028,0,31,1,1,0
ack,5,23,2444000028,0,31,9,9,0
ack,1,45,2455961028,0,31,1,1,0
ack,1,46,2494961028,0,31,1,1,0
ack,1,47,2533961028,0,31,1,1,0
ack,1,48,2572961028,0,31,1,1,0
ack,5,24,2574000028,0,31,1,1,0
ack,1,49,2624961028,0,31,1,1,0
ack,1,50,2650961028,0,31,1,1,0
ack,5,25,2678000028,0,31,9,9,0
ack,1,51,2689961028,0,31,1,1,0
ack,1,52,2728961028,0,31,1,1,0
ack,1,53,2767961028,0,31,1,1,0
ack,1,54,2806961028,0,31,1,1,0
ack,5,26,2808000028,0,31,1,1,0
ack,1,55,2858961028,0,31,1,1,0
ack,1,56,2884961028,0,31,1,1,0
ack,1,57,2923961028,0,31,1,1,0
ack,1,58,2962961028,0,31,1,1,0
ack,1,59,3001961028,0,31,1,1,0
ack,5,27,3003000028,0,31,9,9,0
ack,1,60,3040961028,0,31,1,1,0
ack,5,28,3133000028,0,31,1,1,0
ack,1,61,3157961028,0,31,1,1,0
ack,1,62,3183961028,0,31,1,1,0
ack,1,63,3222961028,0,31,1,1,0
ack,1,64,3261961028,0,31,1,1,0
ack,1,65,3300961028,0,31,1,1,0
ack,1,66,3339961028,0,31,1,1,0
ack,5,29,4004000028,0,31,9,9,0
ack,5,30,4134000028,0,31,1,1,0
ack,1,67,4158961028,0,31,1,1,0
ack,1,68,4184961028,0,31,1,1,0
ack,1,69,4223961028,0,31,1,1,0
ack,1,70,4262961028,0,31,1,1,0
ack,1,71,4301961028,0,31,1,1,0
ack,1,72,4340961028,0,31,1,1,0
ack,5,31,5005000028,0,31,9,9,0
ack,5,32,5135000028,0,31,1,1,0
ack,1,73,5159961028,0,31,1,1,0
ack,1,74,5185961028,0,31,1,1,0
ack,1,75,5224961028,0,31,1,1,0
ack,1,76,5263961028,0,31,1,1,0
ack,1,77,5302961028,0,31,1,1,0
ack,1,78,5341961028,0,31,1,1,0
