case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
ack,1,1,1,1,351000028,373501028,4,5,DATA,4,1,1,0,0,pass,none,-1
ack,2,2,1,1,429000028,453961028,5,4,ACK,0,0,1,1,0,drop,first_feedback,-1
ack,2,3,2,1,429000028,453961028,5,1,DATA,5,1,1,0,0,pass,none,-1
ack,3,4,1,1,468000028,490081028,5,4,ACK,0,0,1,1,0,pass,none,-1
ack,4,5,1,1,546000028,568501028,4,5,DATA,4,2,2,0,0,pass,none,-1
ack,5,6,1,1,611000028,633081028,5,4,ACK,0,0,2,3,0,pass,none,-1
ack,6,7,1,1,650000028,672081028,5,4,ACK,0,0,2,3,0,pass,none,-1
ack,7,8,1,1,663000028,685501028,4,5,DATA,4,3,3,0,0,pass,none,-1
ack,8,9,1,1,778961028,801042028,1,5,ACK,0,0,1,1,0,drop,first_feedback,-1
ack,9,10,1,1,793000028,815081028,5,4,ACK,0,0,3,7,0,pass,none,-1
ack,10,11,1,1,817961028,840042028,1,5,ACK,0,0,1,1,0,pass,none,-1
ack,11,12,1,1,832000028,854081028,5,4,ACK,0,0,3,7,0,pass,none,-1
ack,12,13,1,1,856961028,879042028,1,5,ACK,0,0,1,1,0,pass,none,-1
ack,13,14,1,1,895961028,918042028,1,5,ACK,0,0,1,1,0,pass,none,-1
ack,14,15,1,2,923000028,948381028,4,5,DATA,4,4,4,0,0,pass,none,-1
ack,14,15,2,2,923000028,948381028,4,5,DATA,4,5,5,0,0,pass,none,-1
ack,15,16,1,1,934961028,957042028,1,5,ACK,0,0,1,1,0,pass,none,-1
ack,16,17,1,1,975000028,999961028,5,4,ACK,0,0,5,31,0,pass,none,-1
ack,16,18,2,1,975000028,999961028,5,1,DATA,5,2,2,0,0,pass,none,-1
ack,17,19,1,1,1027000028,1049081028,5,4,ACK,0,0,5,31,0,pass,none,-1
ack,18,20,1,1,1038961028,1061042028,1,5,ACK,0,0,2,3,0,pass,none,-1
ack,19,21,1,1,1077961028,1100042028,1,5,ACK,0,0,2,3,0,pass,none,-1
ack,20,22,1,2,1105000028,1130381028,4,5,DATA,4,6,6,0,0,pass,none,-1
ack,20,22,2,2,1105000028,1130381028,4,5,DATA,4,7,7,0,0,pass,none,-1
ack,21,23,1,1,1116961028,1139042028,1,5,ACK,0,0,2,3,0,pass,none,-1
ack,22,24,1,1,1155961028,1178042028,1,5,ACK,0,0,2,3,0,pass,none,-1
ack,23,25,1,1,1170000028,1194961028,5,4,ACK,0,0,7,127,0,pass,none,-1
ack,23,26,2,1,1170000028,1194961028,5,1,DATA,5,3,3,0,0,pass,none,-1
ack,24,27,1,1,1194961028,1217042028,1,5,ACK,0,0,3,7,0,pass,none,-1
ack,25,28,1,1,1209000028,1231081028,5,4,ACK,0,0,7,127,0,pass,none,-1
ack,26,29,1,1,1233961028,1256042028,1,5,ACK,0,0,3,7,0,pass,none,-1
ack,27,30,1,1,1272961028,1295042028,1,5,ACK,0,0,3,7,0,pass,none,-1
ack,28,31,1,3,1300000028,1328261028,4,5,DATA,4,8,8,0,0,pass,none,-1
ack,28,31,2,3,1300000028,1328261028,4,5,DATA,4,9,9,0,0,pass,none,-1
ack,28,31,3,3,1300000028,1328261028,4,5,DATA,4,10,10,0,0,pass,none,-1
ack,29,32,1,1,1311961028,1334042028,1,5,ACK,0,0,3,7,0,pass,none,-1
ack,30,33,1,1,1350961028,1373042028,1,5,ACK,0,0,3,7,0,pass,none,-1
ack,31,34,1,1,1352000028,1379841028,5,4,ACK,0,0,10,1023,0,pass,none,-1
ack,31,35,2,2,1352000028,1379841028,5,1,DATA,5,4,4,0,0,pass,none,-1
ack,31,35,3,2,1352000028,1379841028,5,1,DATA,5,5,5,0,0,pass,none,-1
ack,32,36,1,1,1404000028,1426081028,5,4,ACK,0,0,10,1023,0,pass,none,-1
ack,33,37,1,1,1415961028,1438042028,1,5,ACK,0,0,5,31,0,pass,none,-1
ack,34,38,1,1,1454961028,1477042028,1,5,ACK,0,0,5,31,0,pass,none,-1
ack,35,39,1,1,1493961028,1516042028,1,5,ACK,0,0,5,31,0,pass,none,-1
ack,36,40,1,4,1495000028,1526141028,4,5,DATA,4,11,11,0,0,pass,none,-1
ack,36,40,2,4,1495000028,1526141028,4,5,DATA,4,12,12,0,0,pass,none,-1
ack,36,40,3,4,1495000028,1526141028,4,5,DATA,4,13,13,0,0,pass,none,-1
ack,36,40,4,4,1495000028,1526141028,4,5,DATA,4,14,14,0,0,pass,none,-1
ack,37,41,1,1,1532961028,1555042028,1,5,ACK,0,0,5,31,0,pass,none,-1
ack,38,42,1,1,1547000028,1574841028,5,4,ACK,0,0,14,16383,0,pass,none,-1
ack,38,43,2,2,1547000028,1574841028,5,1,DATA,5,6,6,0,0,pass,none,-1
ack,38,43,3,2,1547000028,1574841028,5,1,DATA,5,7,7,0,0,pass,none,-1
ack,39,44,1,1,1571961028,1594042028,1,5,ACK,0,0,5,31,0,pass,none,-1
ack,40,45,1,1,1599000028,1621081028,5,4,ACK,0,0,14,16383,0,pass,none,-1
ack,41,46,1,1,1610961028,1633042028,1,5,ACK,0,0,7,127,0,pass,none,-1
ack,42,47,1,1,1649961028,1672042028,1,5,ACK,0,0,7,127,0,pass,none,-1
ack,43,48,1,1,1688961028,1711042028,1,5,ACK,0,0,7,127,0,pass,none,-1
ack,44,49,1,5,1690000028,1724021028,4,5,DATA,4,15,15,0,0,pass,none,-1
ack,44,49,2,5,1690000028,1724021028,4,5,DATA,4,16,16,0,0,pass,none,-1
ack,44,49,3,5,1690000028,1724021028,4,5,DATA,4,17,17,0,0,pass,none,-1
ack,44,49,4,5,1690000028,1724021028,4,5,DATA,4,18,18,0,0,pass,none,-1
ack,44,49,5,5,1690000028,1724021028,4,5,DATA,4,19,19,0,0,pass,none,-1
ack,45,50,1,1,1727961028,1750042028,1,5,ACK,0,0,7,127,0,pass,none,-1
ack,46,51,1,1,1742000028,1772721028,5,4,ACK,0,0,19,524280,7,pass,none,-1
ack,46,52,2,3,1742000028,1772721028,5,1,DATA,5,8,8,0,0,pass,none,-1
ack,46,52,3,3,1742000028,1772721028,5,1,DATA,5,9,9,0,0,pass,none,-1
ack,46,52,4,3,1742000028,1772721028,5,1,DATA,5,10,10,0,0,pass,none,-1
ack,47,53,1,1,1766961028,1789042028,1,5,ACK,0,0,7,127,0,pass,none,-1
ack,48,54,1,1,1794000028,1816081028,5,4,ACK,0,0,19,524280,7,pass,none,-1
ack,49,55,1,1,1805961028,1828042028,1,5,ACK,0,0,10,1023,0,pass,none,-1
ack,50,56,1,1,1844961028,1867042028,1,5,ACK,0,0,10,1023,0,pass,none,-1
ack,51,57,1,1,1883961028,1906042028,1,5,ACK,0,0,10,1023,0,pass,none,-1
ack,52,58,1,2,1885000028,1910381028,4,5,DATA,4,20,20,0,0,pass,none,-1
ack,52,58,2,2,1885000028,1910381028,4,5,DATA,4,21,21,0,0,pass,none,-1
ack,53,59,1,1,1922961028,1945042028,1,5,ACK,0,0,10,1023,0,pass,none,-1
ack,54,60,1,1,1937000028,1970601028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
