case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
data,1,1,1,1,351000028,373501028,4,5,DATA,4,1,1,0,0,drop,first_data,-1
data,2,2,1,1,429000028,451501028,5,1,DATA,5,1,1,0,0,drop,first_data,-1
data,3,3,1,1,2405000028,2427501028,4,5,DATA,4,1,1,0,0,pass,none,-1
data,4,4,1,1,2561000028,2585961028,5,4,ACK,0,0,1,1,0,pass,none,-1
data,4,5,2,1,2561000028,2585961028,5,1,DATA,5,1,1,0,0,pass,none,-1
data,5,6,1,1,2600000028,2622081028,5,4,ACK,0,0,1,1,0,pass,none,-1
data,6,7,1,1,2639000028,2661501028,4,5,DATA,4,2,2,0,0,pass,none,-1
data,7,8,1,1,2743000028,2765081028,5,4,ACK,0,0,2,3,0,pass,none,-1
data,8,9,1,1,2795000028,2817081028,5,4,ACK,0,0,2,3,0,pass,none,-1
data,9,10,1,1,2821000028,2843501028,4,5,DATA,4,3,3,0,0,pass,none,-1
data,10,11,1,1,2910961028,2933042028,1,5,ACK,0,0,1,1,0,pass,none,-1
data,11,12,1,1,2938000028,2962961028,5,4,ACK,0,0,3,7,0,pass,none,-1
data,11,13,2,1,2938000028,2962961028,5,1,DATA,5,2,2,0,0,pass,none,-1
data,12,14,1,1,2949961028,2972042028,1,5,ACK,0,0,1,1,0,pass,none,-1
data,13,15,1,1,2977000028,2999081028,5,4,ACK,0,0,3,7,0,pass,none,-1
data,14,16,1,1,2988961028,3011042028,1,5,ACK,0,0,2,3,0,pass,none,-1
data,15,17,1,1,3016000028,3038501028,4,5,DATA,4,4,4,0,0,pass,none,-1
data,16,18,1,1,3027961028,3050042028,1,5,ACK,0,0,2,3,0,pass,none,-1
data,17,19,1,1,3066961028,3089042028,1,5,ACK,0,0,2,3,0,pass,none,-1
data,18,20,1,1,3105961028,3128042028,1,5,ACK,0,0,2,3,0,pass,none,-1
data,19,21,1,1,3120000028,3144961028,5,4,ACK,0,0,4,15,0,pass,none,-1
data,19,22,2,1,3120000028,3144961028,5,1,DATA,5,3,3,0,0,pass,none,-1
data,20,23,1,1,3144961028,3167042028,1,5,ACK,0,0,3,7,0,pass,none,-1
data,21,24,1,1,3172000028,3196961028,5,4,ACK,0,0,4,15,0,pass,none,-1
data,21,25,2,1,3172000028,3196961028,5,1,DATA,5,4,4,0,0,pass,none,-1
data,22,26,1,1,3196961028,3219042028,1,5,ACK,0,0,4,15,0,pass,none,-1
data,23,27,1,2,3198000028,3223381028,4,5,DATA,4,5,5,0,0,pass,none,-1
data,23,27,2,2,3198000028,3223381028,4,5,DATA,4,6,6,0,0,pass,none,-1
data,24,28,1,1,3235961028,3258042028,1,5,ACK,0,0,4,15,0,pass,none,-1
data,25,29,1,1,3274961028,3297042028,1,5,ACK,0,0,4,15,0,pass,none,-1
data,26,30,1,1,3313961028,3336042028,1,5,ACK,0,0,4,15,0,pass,none,-1
data,27,31,1,1,3315000028,3342841028,5,4,ACK,0,0,6,63,0,pass,none,-1
data,27,32,2,2,3315000028,3342841028,5,1,DATA,5,5,5,0,0,pass,none,-1
data,27,32,3,2,3315000028,3342841028,5,1,DATA,5,6,6,0,0,pass,none,-1
data,28,33,1,1,3352961028,3375042028,1,5,ACK,0,0,6,63,0,pass,none,-1
data,29,34,1,1,3367000028,3389081028,5,4,ACK,0,0,6,63,0,pass,none,-1
data,30,35,1,1,3391961028,3414042028,1,5,ACK,0,0,6,63,0,pass,none,-1
data,31,36,1,2,3406000028,3431381028,4,5,DATA,4,7,7,0,0,pass,none,-1
data,31,36,2,2,3406000028,3431381028,4,5,DATA,4,8,8,0,0,pass,none,-1
data,32,37,1,1,3430961028,3453042028,1,5,ACK,0,0,6,63,0,pass,none,-1
data,33,38,1,1,3469961028,3492042028,1,5,ACK,0,0,6,63,0,pass,none,-1
data,34,39,1,1,3508961028,3531042028,1,5,ACK,0,0,6,63,0,pass,none,-1
data,35,40,1,1,3510000028,3537841028,5,4,ACK,0,0,8,255,0,pass,none,-1
data,35,41,2,2,3510000028,3537841028,5,1,DATA,5,7,7,0,0,pass,none,-1
data,35,41,3,2,3510000028,3537841028,5,1,DATA,5,8,8,0,0,pass,none,-1
data,36,42,1,1,3575000028,3597081028,5,4,ACK,0,0,8,255,0,pass,none,-1
data,37,43,1,1,3586961028,3609042028,1,5,ACK,0,0,8,255,0,pass,none,-1
data,38,44,1,3,3601000028,3629261028,4,5,DATA,4,9,9,0,0,pass,none,-1
data,38,44,2,3,3601000028,3629261028,4,5,DATA,4,10,10,0,0,pass,none,-1
data,38,44,3,3,3601000028,3629261028,4,5,DATA,4,11,11,0,0,pass,none,-1
data,39,45,1,1,3625961028,3648042028,1,5,ACK,0,0,8,255,0,pass,none,-1
data,40,46,1,1,3664961028,3687042028,1,5,ACK,0,0,8,255,0,pass,none,-1
data,41,47,1,1,3703961028,3726042028,1,5,ACK,0,0,8,255,0,pass,none,-1
data,42,48,1,1,3718000028,3748721028,5,4,ACK,0,0,11,2047,0,pass,none,-1
data,42,49,2,3,3718000028,3748721028,5,1,DATA,5,9,9,0,0,pass,none,-1
data,42,49,3,3,3718000028,3748721028,5,1,DATA,5,10,10,0,0,pass,none,-1
data,42,49,4,3,3718000028,3748721028,5,1,DATA,5,11,11,0,0,pass,none,-1
data,43,50,1,1,3742961028,3765042028,1,5,ACK,0,0,8,255,0,pass,none,-1
data,44,51,1,1,3770000028,3792081028,5,4,ACK,0,0,11,2047,0,pass,none,-1
data,45,52,1,1,3781961028,3804042028,1,5,ACK,0,0,11,2047,0,pass,none,-1
data,46,53,1,4,3809000028,3840141028,4,5,DATA,4,12,12,0,0,pass,none,-1
data,46,53,2,4,3809000028,3840141028,4,5,DATA,4,13,13,0,0,pass,none,-1
data,46,53,3,4,3809000028,3840141028,4,5,DATA,4,14,14,0,0,pass,none,-1
data,46,53,4,4,3809000028,3840141028,4,5,DATA,4,15,15,0,0,pass,none,-1
data,47,54,1,1,3820961028,3843042028,1,5,ACK,0,0,11,2047,0,pass,none,-1
data,48,55,1,1,3859961028,3882042028,1,5,ACK,0,0,11,2047,0,pass,none,-1
data,49,56,1,1,3898961028,3921042028,1,5,ACK,0,0,11,2047,0,pass,none,-1
data,50,57,1,1,3913000028,3946601028,5,4,ACK,0,0,15,32767,0,pass,none,-1
data,50,58,2,4,3913000028,3946601028,5,1,DATA,5,12,12,0,0,pass,none,-1
data,50,58,3,4,3913000028,3946601028,5,1,DATA,5,13,13,0,0,pass,none,-1
data,50,58,4,4,3913000028,3946601028,5,1,DATA,5,14,14,0,0,pass,none,-1
data,50,58,5,4,3913000028,3946601028,5,1,DATA,5,15,15,0,0,pass,none,-1
data,51,59,1,1,3937961028,3960042028,1,5,ACK,0,0,11,2047,0,pass,none,-1
data,52,60,1,1,3965000028,3987081028,5,4,ACK,0,0,15,32767,0,pass,none,-1
data,53,61,1,1,3976961028,3999042028,1,5,ACK,0,0,15,32767,0,pass,none,-1
data,54,62,1,5,4004000028,4038021028,4,5,DATA,4,16,16,0,0,pass,none,-1
data,54,62,2,5,4004000028,4038021028,4,5,DATA,4,17,17,0,0,pass,none,-1
data,54,62,3,5,4004000028,4038021028,4,5,DATA,4,18,18,0,0,pass,none,-1
data,54,62,4,5,4004000028,4038021028,4,5,DATA,4,19,19,0,0,pass,none,-1
data,54,62,5,5,4004000028,4038021028,4,5,DATA,4,20,20,0,0,pass,none,-1
data,55,63,1,1,4015961028,4038042028,1,5,ACK,0,0,15,32767,0,pass,none,-1
data,56,64,1,1,4054961028,4077042028,1,5,ACK,0,0,15,32767,0,pass,none,-1
data,57,65,1,1,4093961028,4116042028,1,5,ACK,0,0,15,32767,0,pass,none,-1
data,58,66,1,1,4108000028,4144481028,5,4,ACK,0,0,20,1048560,15,pass,none,-1
data,58,67,2,5,4108000028,4144481028,5,1,DATA,5,16,16,0,0,pass,none,-1
data,58,67,3,5,4108000028,4144481028,5,1,DATA,4,1,17,0,0,pass,none,-1
data,58,67,4,5,4108000028,4144481028,5,1,DATA,4,2,18,0,0,pass,none,-1
data,58,67,5,5,4108000028,4144481028,5,1,DATA,4,3,19,0,0,pass,none,-1
data,58,67,6,5,4108000028,4144481028,5,1,DATA,5,17,20,0,0,pass,none,-1
data,59,68,1,1,4132961028,4155042028,1,5,ACK,0,0,15,32767,0,pass,none,-1
data,60,69,1,1,4160000028,4182081028,5,4,ACK,0,0,20,1048560,15,pass,none,-1
data,61,70,1,1,4171961028,4194042028,1,5,ACK,0,0,20,1048575,0,pass,none,-1
data,62,71,1,1,4199000028,4221501028,4,5,DATA,4,21,21,0,0,pass,none,-1
data,63,72,1,1,4210961028,4233042028,1,5,ACK,0,0,20,1048575,0,pass,none,-1
data,64,73,1,1,4249961028,4272042028,1,5,ACK,0,0,20,1048575,0,pass,none,-1
data,65,74,1,1,4288961028,4311042028,1,5,ACK,0,0,20,1048575,0,pass,none,-1
data,66,75,1,1,4303000028,4345241028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
data,66,76,2,7,4303000028,4345241028,5,1,DATA,5,18,21,0,0,pass,none,-1
data,66,76,3,7,4303000028,4345241028,5,1,DATA,4,4,22,0,0,pass,none,-1
data,66,76,4,7,4303000028,4345241028,5,1,DATA,5,19,23,0,0,pass,none,-1
data,66,76,5,7,4303000028,4345241028,5,1,DATA,5,20,24,0,0,pass,none,-1
data,66,76,6,7,4303000028,4345241028,5,1,DATA,4,5,25,0,0,pass,none,-1
data,66,76,7,7,4303000028,4345241028,5,1,DATA,4,6,26,0,0,pass,none,-1
data,66,76,8,7,4303000028,4345241028,5,1,DATA,5,21,27,0,0,pass,none,-1
data,67,77,1,1,4327961028,4350042028,1,5,ACK,0,0,20,1048575,0,pass,none,-1
data,68,78,1,1,4366961028,4389042028,1,5,ACK,0,0,27,134217727,0,pass,none,-1
data,69,79,1,1,4381000028,4403081028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
data,70,80,1,1,4405961028,4428042028,1,5,ACK,0,0,27,134217727,0,pass,none,-1
data,71,81,1,1,4444961028,4467042028,1,5,ACK,0,0,27,134217727,0,pass,none,-1
data,72,82,1,1,4483961028,4506042028,1,5,ACK,0,0,27,134217727,0,pass,none,-1
data,73,83,1,1,4522961028,4545042028,1,5,ACK,0,0,27,134217727,0,pass,none,-1
data,74,84,1,1,4524000028,4572001028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
data,74,85,2,9,4524000028,4572001028,5,1,DATA,5,22,28,0,0,pass,none,-1
data,74,85,3,9,4524000028,4572001028,5,1,DATA,4,7,29,0,0,pass,none,-1
data,74,85,4,9,4524000028,4572001028,5,1,DATA,4,8,30,0,0,pass,none,-1
