case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
out,1,1,1,1,351000028,373501028,4,5,DATA,4,1,1,0,0,pass,none,7648999972
out,2,2,1,1,429000028,453961028,5,4,ACK,0,0,1,1,0,pass,none,7570999972
out,2,3,2,1,429000028,453961028,5,1,DATA,5,1,1,0,0,pass,none,7570999972
out,3,4,1,1,468000028,490501028,4,5,DATA,4,2,2,0,0,pass,none,7531999972
out,4,5,1,1,468000028,490081028,5,4,ACK,0,0,1,1,0,pass,none,7531999972
out,5,6,1,1,611000028,633081028,5,4,ACK,0,0,2,3,0,pass,none,7388999972
out,6,7,1,1,650000028,672081028,5,4,ACK,0,0,2,3,0,pass,none,7349999972
out,7,8,1,1,741000028,763501028,4,5,DATA,4,3,3,0,0,pass,none,7258999972
out,8,9,1,1,778961028,801042028,1,5,ACK,0,0,1,1,0,pass,none,7221038972
out,9,10,1,1,793000028,815081028,5,4,ACK,0,0,3,7,0,pass,none,7206999972
out,10,11,1,1,817961028,840042028,1,5,ACK,0,0,1,1,0,pass,none,7182038972
out,11,12,1,1,845000028,869961028,5,4,ACK,0,0,3,7,0,pass,none,7154999972
out,11,13,2,1,845000028,869961028,5,1,DATA,5,2,2,0,0,pass,none,7154999972
out,12,14,1,1,856961028,879042028,1,5,ACK,0,0,1,1,0,pass,none,7143038972
out,13,15,1,1,895961028,918042028,1,5,ACK,0,0,2,3,0,pass,none,7104038972
out,14,16,1,2,923000028,948381028,4,5,DATA,4,4,4,0,0,pass,none,7076999972
out,14,16,2,2,923000028,948381028,4,5,DATA,4,5,5,0,0,pass,none,7076999972
out,15,17,1,1,934961028,957042028,1,5,ACK,0,0,2,3,0,pass,none,7065038972
out,16,18,1,1,973961028,996042028,1,5,ACK,0,0,2,3,0,pass,none,7026038972
out,17,19,1,1,988000028,1012961028,5,4,ACK,0,0,5,31,0,pass,none,7011999972
out,17,20,2,1,988000028,1012961028,5,1,DATA,5,3,3,0,0,pass,none,7011999972
out,18,21,1,1,1012961028,1035042028,1,5,ACK,0,0,3,7,0,pass,none,6987038972
out,19,22,1,1,1027000028,1049081028,5,4,ACK,0,0,5,31,0,pass,none,6972999972
out,20,23,1,1,1051961028,1074042028,1,5,ACK,0,0,3,7,0,pass,none,6948038972
out,21,24,1,1,1090961028,1113042028,1,5,ACK,0,0,3,7,0,pass,none,6909038972
out,22,25,1,2,1118000028,1143381028,4,5,DATA,4,6,6,0,0,pass,none,6881999972
out,22,25,2,2,1118000028,1143381028,4,5,DATA,4,7,7,0,0,pass,none,6881999972
out,23,26,1,1,1129961028,1152042028,1,5,ACK,0,0,3,7,0,pass,none,6870038972
out,24,27,1,1,1168961028,1191042028,1,5,ACK,0,0,3,7,0,pass,none,6831038972
out,25,28,1,1,1170000028,1197841028,5,4,ACK,0,0,7,127,0,pass,none,6829999972
out,25,29,2,2,1170000028,1197841028,5,1,DATA,5,4,4,0,0,pass,none,6829999972
out,25,29,3,2,1170000028,1197841028,5,1,DATA,5,5,5,0,0,pass,none,6829999972
out,26,30,1,1,1235000028,1257081028,5,4,ACK,0,0,7,127,0,pass,none,6764999972
out,27,31,1,1,1246961028,1269042028,1,5,ACK,0,0,5,31,0,pass,none,6753038972
out,28,32,1,1,1285961028,1308042028,1,5,ACK,0,0,5,31,0,pass,none,6714038972
out,29,33,1,3,1313000028,1341261028,4,5,DATA,4,8,8,0,0,pass,none,6686999972
out,29,33,2,3,1313000028,1341261028,4,5,DATA,4,9,9,0,0,pass,none,6686999972
out,29,33,3,3,1313000028,1341261028,4,5,DATA,4,10,10,0,0,pass,none,6686999972
out,30,34,1,1,1324961028,1347042028,1,5,ACK,0,0,5,31,0,pass,none,6675038972
out,31,35,1,1,1363961028,1386042028,1,5,ACK,0,0,5,31,0,pass,none,6636038972
out,32,36,1,1,1378000028,1405841028,5,4,ACK,0,0,10,1023,0,pass,none,6621999972
out,32,37,2,2,1378000028,1405841028,5,1,DATA,5,6,6,0,0,pass,none,6621999972
out,32,37,3,2,1378000028,1405841028,5,1,DATA,5,7,7,0,0,pass,none,6621999972
out,33,38,1,1,1402961028,1425042028,1,5,ACK,0,0,5,31,0,pass,none,6597038972
out,34,39,1,1,1430000028,1452081028,5,4,ACK,0,0,10,1023,0,pass,none,6569999972
out,35,40,1,1,1441961028,1464042028,1,5,ACK,0,0,7,127,0,pass,none,6558038972
out,36,41,1,1,1480961028,1503042028,1,5,ACK,0,0,7,127,0,pass,none,6519038972
out,37,42,1,1,1519961028,1542042028,1,5,ACK,0,0,7,127,0,pass,none,6480038972
out,38,43,1,4,1521000028,1552141028,4,5,DATA,4,11,11,0,0,pass,none,6478999972
out,38,43,2,4,1521000028,1552141028,4,5,DATA,4,12,12,0,0,pass,none,6478999972
out,38,43,3,4,1521000028,1552141028,4,5,DATA,4,13,13,0,0,pass,none,6478999972
out,38,43,4,4,1521000028,1552141028,4,5,DATA,4,14,14,0,0,pass,none,6478999972
out,39,44,1,1,1558961028,1581042028,1,5,ACK,0,0,7,127,0,pass,none,6441038972
out,40,45,1,1,1573000028,1603721028,5,4,ACK,0,0,14,16383,0,pass,none,6426999972
out,40,46,2,3,1573000028,1603721028,5,1,DATA,5,8,8,0,0,pass,none,6426999972
out,40,46,3,3,1573000028,1603721028,5,1,DATA,5,9,9,0,0,pass,none,6426999972
out,40,46,4,3,1573000028,1603721028,5,1,DATA,5,10,10,0,0,pass,none,6426999972
out,41,47,1,1,1597961028,1620042028,1,5,ACK,0,0,7,127,0,pass,none,6402038972
out,42,48,1,1,1625000028,1647081028,5,4,ACK,0,0,14,16383,0,pass,none,6374999972
out,43,49,1,1,1636961028,1659042028,1,5,ACK,0,0,10,1023,0,pass,none,6363038972
