case,checkpoint,node,actual,expected,pass
tie_early,primed_deliveries,1,2,2,1
tie_early,primed_ack_queue,1,1,1,1
tie_early,mixed_tx_ns,5,3120000000,3120000000,1
tie_early,mixed_bytes,5,89,89,1
tie_early,mixed_segments,5,2,2,1
tie_early,mixed_duration_ns,5,24960000,24960000,1
tie_early,mixed_rate,5,128,128,1
tie_early,mixed_power_tenths,5,330,330,1
tie_early,mixed_preamble_short,5,0,0,1
tie_early,mixed_aggregate_count,5,1,1,1
tie_early,mixed_ingress_count,5,1,1,1
tie_early,delivered_count,1,3,3,1
tie_early,delivered_id_1,1,1,1,1
tie_early,delivered_id_2,1,1,1,1
tie_early,delivered_id_3,1,1,1,1
tie_early,gateway_first_ack_ns,1,3144961000,3144961000,1
tie_early,gateway_first_ack_seq,1,3,3,1
tie_early,gateway_first_ack_bits,1,7,7,1
tie_early,gateway_ack_count,1,5,5,1
tie_early,gateway_last_ack_seq,1,3,3,1
tie_early,gateway_last_ack_bits,1,7,7,1
tie_early,final_ack_queue,1,0,0,1
tie_early,final_data_queue,1,0,0,1
tie_early,final_hop_pending,1,0,0,1
tie_early,final_resend_queue,1,0,0,1
tie_early,final_dack_holds,1,0,0,1
tie_early,final_ack_queue,4,0,0,1
tie_early,final_data_queue,4,0,0,1
tie_early,final_hop_pending,4,0,0,1
tie_early,final_resend_queue,4,0,0,1
tie_early,final_dack_holds,4,0,0,1
tie_early,final_ack_queue,5,0,0,1
tie_early,final_data_queue,5,0,0,1
tie_early,final_hop_pending,5,0,0,1
tie_early,final_resend_queue,5,0,0,1
tie_early,final_dack_holds,5,0,0,1
tie_early,final_nwk_queue,1,0,0,1
tie_late,primed_deliveries,1,2,2,1
tie_late,primed_ack_queue,1,1,1,1
tie_late,mixed_tx_ns,5,3120000000,3120000000,1
tie_late,mixed_bytes,5,89,89,1
tie_late,mixed_segments,5,2,2,1
tie_late,mixed_duration_ns,5,24960000,24960000,1
tie_late,mixed_rate,5,128,128,1
tie_late,mixed_power_tenths,5,330,330,1
tie_late,mixed_preamble_short,5,0,0,1
tie_late,mixed_aggregate_count,5,1,1,1
tie_late,mixed_ingress_count,5,1,1,1
tie_late,delivered_count,1,3,3,1
tie_late,delivered_id_1,1,1,1,1
tie_late,delivered_id_2,1,1,1,1
tie_late,delivered_id_3,1,1,1,1
tie_late,gateway_first_ack_ns,1,3144961000,3144961000,1
tie_late,gateway_first_ack_seq,1,2,2,1
tie_late,gateway_first_ack_bits,1,3,3,1
tie_late,gateway_ack_count,1,6,6,1
tie_late,gateway_last_ack_seq,1,3,3,1
tie_late,gateway_last_ack_bits,1,7,7,1
tie_late,final_ack_queue,1,0,0,1
tie_late,final_data_queue,1,0,0,1
tie_late,final_hop_pending,1,0,0,1
tie_late,final_resend_queue,1,0,0,1
tie_late,final_dack_holds,1,0,0,1
tie_late,final_ack_queue,4,0,0,1
tie_late,final_data_queue,4,0,0,1
tie_late,final_hop_pending,4,0,0,1
tie_late,final_resend_queue,4,0,0,1
tie_late,final_dack_holds,4,0,0,1
tie_late,final_ack_queue,5,0,0,1
tie_late,final_data_queue,5,0,0,1
tie_late,final_hop_pending,5,0,0,1
tie_late,final_resend_queue,5,0,0,1
tie_late,final_dack_holds,5,0,0,1
tie_late,final_nwk_queue,1,0,0,1
before,primed_deliveries,1,2,2,1
before,primed_ack_queue,1,1,1,1
before,mixed_tx_ns,5,3120000000,3120000000,1
before,mixed_bytes,5,89,89,1
before,mixed_segments,5,2,2,1
before,mixed_duration_ns,5,24960000,24960000,1
before,mixed_rate,5,128,128,1
before,mixed_power_tenths,5,330,330,1
before,mixed_preamble_short,5,0,0,1
before,mixed_aggregate_count,5,1,1,1
before,mixed_ingress_count,5,1,1,1
before,delivered_count,1,3,3,1
before,delivered_id_1,1,1,1,1
before,delivered_id_2,1,1,1,1
before,delivered_id_3,1,1,1,1
before,gateway_first_ack_ns,1,3144961000,3144961000,1
before,gateway_first_ack_seq,1,3,3,1
before,gateway_first_ack_bits,1,7,7,1
before,gateway_ack_count,1,5,5,1
before,gateway_last_ack_seq,1,3,3,1
before,gateway_last_ack_bits,1,7,7,1
before,final_ack_queue,1,0,0,1
before,final_data_queue,1,0,0,1
before,final_hop_pending,1,0,0,1
before,final_resend_queue,1,0,0,1
before,final_dack_holds,1,0,0,1
before,final_ack_queue,4,0,0,1
before,final_data_queue,4,0,0,1
before,final_hop_pending,4,0,0,1
before,final_resend_queue,4,0,0,1
before,final_dack_holds,4,0,0,1
before,final_ack_queue,5,0,0,1
before,final_data_queue,5,0,0,1
before,final_hop_pending,5,0,0,1
before,final_resend_queue,5,0,0,1
before,final_dack_holds,5,0,0,1
before,final_nwk_queue,1,0,0,1
after,primed_deliveries,1,2,2,1
after,primed_ack_queue,1,1,1,1
after,mixed_tx_ns,5,3120000000,3120000000,1
after,mixed_bytes,5,89,89,1
after,mixed_segments,5,2,2,1
after,mixed_duration_ns,5,24960000,24960000,1
after,mixed_rate,5,128,128,1
after,mixed_power_tenths,5,330,330,1
after,mixed_preamble_short,5,0,0,1
after,mixed_aggregate_count,5,1,1,1
after,mixed_ingress_count,5,1,1,1
after,delivered_count,1,3,3,1
after,delivered_id_1,1,1,1,1
after,delivered_id_2,1,1,1,1
after,delivered_id_3,1,1,1,1
after,gateway_first_ack_ns,1,3144961000,3144961000,1
after,gateway_first_ack_seq,1,2,2,1
after,gateway_first_ack_bits,1,3,3,1
after,gateway_ack_count,1,6,6,1
after,gateway_last_ack_seq,1,3,3,1
after,gateway_last_ack_bits,1,7,7,1
after,final_ack_queue,1,0,0,1
after,final_data_queue,1,0,0,1
after,final_hop_pending,1,0,0,1
after,final_resend_queue,1,0,0,1
after,final_dack_holds,1,0,0,1
after,final_ack_queue,4,0,0,1
after,final_data_queue,4,0,0,1
after,final_hop_pending,4,0,0,1
after,final_resend_queue,4,0,0,1
after,final_dack_holds,4,0,0,1
after,final_ack_queue,5,0,0,1
after,final_data_queue,5,0,0,1
after,final_hop_pending,5,0,0,1
after,final_resend_queue,5,0,0,1
after,final_dack_holds,5,0,0,1
after,final_nwk_queue,1,0,0,1
continuous,primed_deliveries,1,2,2,1
continuous,primed_ack_queue,1,1,1,1
continuous,mixed_tx_ns,5,3120000000,3120000000,1
continuous,mixed_bytes,5,89,89,1
continuous,mixed_segments,5,2,2,1
continuous,mixed_duration_ns,5,24960000,24960000,1
continuous,mixed_rate,5,128,128,1
continuous,mixed_power_tenths,5,330,330,1
continuous,mixed_preamble_short,5,0,0,1
continuous,mixed_aggregate_count,5,1,1,1
continuous,mixed_ingress_count,5,1,1,1
continuous,delivered_count,1,3,3,1
continuous,delivered_id_1,1,1,1,1
continuous,delivered_id_2,1,1,1,1
continuous,delivered_id_3,1,1,1,1
continuous,gateway_first_ack_ns,1,3144961000,3144961000,1
continuous,gateway_first_ack_seq,1,3,3,1
continuous,gateway_first_ack_bits,1,7,7,1
continuous,gateway_ack_count,1,5,5,1
continuous,gateway_last_ack_seq,1,3,3,1
continuous,gateway_last_ack_bits,1,7,7,1
continuous,final_ack_queue,1,0,0,1
continuous,final_data_queue,1,0,0,1
continuous,final_hop_pending,1,0,0,1
continuous,final_resend_queue,1,0,0,1
continuous,final_dack_holds,1,0,0,1
