case,order,phase,time_ns,local_counter,neighbor_counter,data_queue,transmissions
tie_early,1,ingress_before,2011501000,16,16,1,0
tie_early,2,ingress_after,2011501000,16,16,1,0
tie_early,3,settled,2011501002,15,15,1,0
tie_late,1,ingress_before,2011501000,15,15,1,0
tie_late,2,ingress_after,2011501000,15,16,1,0
tie_late,3,settled,2011501002,15,16,1,0
before,1,ingress_before,2011500999,16,16,1,0
before,2,ingress_after,2011500999,16,16,1,0
before,3,settled,2011501002,15,15,1,0
after,1,ingress_before,2011501001,15,15,1,0
after,2,ingress_after,2011501001,15,16,1,0
after,3,settled,2011501002,15,16,1,0
continuous,1,ingress_before,2011501000,16,16,1,0
continuous,2,ingress_after,2011501000,16,16,1,0
continuous,3,settled,2011501002,15,15,1,0
quantized,1,ingress_before,2011501000,16,16,1,0
quantized,2,ingress_after,2011501000,16,16,1,0
quantized,3,settled,2011501002,15,15,1,0
