case,phase,field,actual,expected,pass
tie_early,ingress_before,local_counter,16,16,1
tie_early,ingress_before,neighbor_counter,16,16,1
tie_early,ingress_before,data_queue,1,1,1
tie_early,ingress_before,transmissions,0,0,1
tie_early,ingress_after,local_counter,16,16,1
tie_early,ingress_after,neighbor_counter,16,16,1
tie_early,ingress_after,data_queue,1,1,1
tie_early,ingress_after,transmissions,0,0,1
tie_early,settled,local_counter,15,15,1
tie_early,settled,neighbor_counter,15,15,1
tie_early,settled,data_queue,1,1,1
tie_early,settled,transmissions,0,0,1
tie_late,ingress_before,local_counter,15,15,1
tie_late,ingress_before,neighbor_counter,15,15,1
tie_late,ingress_before,data_queue,1,1,1
tie_late,ingress_before,transmissions,0,0,1
tie_late,ingress_after,local_counter,15,15,1
tie_late,ingress_after,neighbor_counter,16,16,1
tie_late,ingress_after,data_queue,1,1,1
tie_late,ingress_after,transmissions,0,0,1
tie_late,settled,local_counter,15,15,1
tie_late,settled,neighbor_counter,16,16,1
tie_late,settled,data_queue,1,1,1
tie_late,settled,transmissions,0,0,1
before,ingress_before,local_counter,16,16,1
before,ingress_before,neighbor_counter,16,16,1
before,ingress_before,data_queue,1,1,1
before,ingress_before,transmissions,0,0,1
before,ingress_after,local_counter,16,16,1
before,ingress_after,neighbor_counter,16,16,1
before,ingress_after,data_queue,1,1,1
before,ingress_after,transmissions,0,0,1
before,settled,local_counter,15,15,1
before,settled,neighbor_counter,15,15,1
before,settled,data_queue,1,1,1
before,settled,transmissions,0,0,1
after,ingress_before,local_counter,15,15,1
after,ingress_before,neighbor_counter,15,15,1
after,ingress_before,data_queue,1,1,1
after,ingress_before,transmissions,0,0,1
after,ingress_after,local_counter,15,15,1
after,ingress_after,neighbor_counter,16,16,1
after,ingress_after,data_queue,1,1,1
after,ingress_after,transmissions,0,0,1
after,settled,local_counter,15,15,1
after,settled,neighbor_counter,16,16,1
after,settled,data_queue,1,1,1
after,settled,transmissions,0,0,1
continuous,ingress_before,local_counter,16,16,1
continuous,ingress_before,neighbor_counter,16,16,1
continuous,ingress_before,data_queue,1,1,1
continuous,ingress_before,transmissions,0,0,1
continuous,ingress_after,local_counter,16,16,1
continuous,ingress_after,neighbor_counter,16,16,1
continuous,ingress_after,data_queue,1,1,1
continuous,ingress_after,transmissions,0,0,1
continuous,settled,local_counter,15,15,1
continuous,settled,neighbor_counter,15,15,1
continuous,settled,data_queue,1,1,1
continuous,settled,transmissions,0,0,1
quantized,ingress_before,local_counter,16,16,1
quantized,ingress_before,neighbor_counter,16,16,1
quantized,ingress_before,data_queue,1,1,1
quantized,ingress_before,transmissions,0,0,1
quantized,ingress_after,local_counter,16,16,1
quantized,ingress_after,neighbor_counter,16,16,1
quantized,ingress_after,data_queue,1,1,1
quantized,ingress_after,transmissions,0,0,1
quantized,settled,local_counter,15,15,1
quantized,settled,neighbor_counter,15,15,1
quantized,settled,data_queue,1,1,1
quantized,settled,transmissions,0,0,1
