case,node,ordinal,time_ns,min,max,draw,resolved,purpose
tie_early,5,1,2821000000,0,31,0,0,prepare
tie_early,1,1,2845961000,0,31,0,0,prepare
tie_early,5,2,3120000000,0,31,0,0,advertise
tie_early,1,2,3144961000,0,31,0,0,advertise
tie_early,5,3,3146000000,0,31,0,0,advertise
tie_early,1,3,3170961000,0,31,0,0,advertise
tie_early,5,4,3172000000,0,31,0,0,advertise
tie_early,1,4,3196961000,0,31,0,0,advertise
tie_early,5,5,3198000000,0,31,0,0,advertise
tie_early,1,5,3222961000,0,31,0,0,advertise
tie_early,5,6,3224000000,0,31,0,0,advertise
tie_early,1,6,3248961000,0,31,0,0,advertise
tie_late,5,1,2821000000,0,31,0,0,prepare
tie_late,1,1,2845961000,0,31,0,0,prepare
tie_late,5,2,3120000000,0,31,0,0,advertise
tie_late,1,2,3144961000,0,31,0,0,advertise
tie_late,5,3,3146000000,0,31,0,0,advertise
tie_late,1,3,3170961000,0,31,0,0,advertise
tie_late,5,4,3172000000,0,31,0,0,advertise
tie_late,1,4,3196961000,0,31,0,0,advertise
tie_late,5,5,3198000000,0,31,0,0,advertise
tie_late,1,5,3222961000,0,31,0,0,advertise
tie_late,5,6,3224000000,0,31,0,0,advertise
tie_late,1,6,3248961000,0,31,0,0,advertise
tie_late,1,7,3274961000,0,31,0,0,advertise
before,5,1,2821000000,0,31,0,0,prepare
before,1,1,2845961000,0,31,0,0,prepare
before,5,2,3120000000,0,31,0,0,advertise
before,1,2,3144961000,0,31,0,0,advertise
before,5,3,3146000000,0,31,0,0,advertise
before,1,3,3170961000,0,31,0,0,advertise
before,5,4,3172000000,0,31,0,0,advertise
before,1,4,3196961000,0,31,0,0,advertise
before,5,5,3198000000,0,31,0,0,advertise
before,1,5,3222961000,0,31,0,0,advertise
before,5,6,3224000000,0,31,0,0,advertise
before,1,6,3248961000,0,31,0,0,advertise
after,5,1,2821000000,0,31,0,0,prepare
after,1,1,2845961000,0,31,0,0,prepare
after,5,2,3120000000,0,31,0,0,advertise
after,1,2,3144961000,0,31,0,0,advertise
after,5,3,3146000000,0,31,0,0,advertise
after,1,3,3170961000,0,31,0,0,advertise
after,5,4,3172000000,0,31,0,0,advertise
after,1,4,3196961000,0,31,0,0,advertise
after,5,5,3198000000,0,31,0,0,advertise
after,1,5,3222961000,0,31,0,0,advertise
after,5,6,3224000000,0,31,0,0,advertise
after,1,6,3248961000,0,31,0,0,advertise
after,1,7,3274961000,0,31,0,0,advertise
continuous,5,1,2821000000,0,31,0,0,prepare
continuous,1,1,2845961000,0,31,0,0,prepare
continuous,5,2,3120000000,0,31,0,0,advertise
continuous,1,2,3144961000,0,31,0,0,advertise
continuous,5,3,3146000000,0,31,0,0,advertise
continuous,1,3,3170961000,0,31,0,0,advertise
continuous,5,4,3172000000,0,31,0,0,advertise
continuous,1,4,3196961000,0,31,0,0,advertise
continuous,5,5,3198000000,0,31,0,0,advertise
continuous,1,5,3222961000,0,31,0,0,advertise
continuous,5,6,3224000000,0,31,0,0,advertise
continuous,1,6,3248961000,0,31,0,0,advertise
quantized,5,1,2821000000,0,31,0,0,prepare
quantized,1,1,2845961000,0,31,0,0,prepare
quantized,5,2,3120000000,0,31,0,0,advertise
quantized,1,2,3144961000,0,31,0,0,advertise
quantized,5,3,3146000000,0,31,0,0,advertise
quantized,1,3,3170961000,0,31,0,0,advertise
quantized,5,4,3172000000,0,31,0,0,advertise
quantized,1,4,3196961000,0,31,0,0,advertise
quantized,5,5,3198000000,0,31,0,0,advertise
quantized,1,5,3222961000,0,31,0,0,advertise
quantized,5,6,3224000000,0,31,0,0,advertise
quantized,1,6,3248961000,0,31,0,0,advertise
