case,checkpoint,node,actual,expected,pass
quantized,primed_deliveries,1,2,2,1
quantized,primed_ack_queue,1,1,1,1
quantized,mixed_tx_ns,5,3120000000,3120000000,1
quantized,mixed_bytes,5,89,89,1
quantized,mixed_segments,5,2,2,1
quantized,mixed_duration_ns,5,24960000,24960000,1
quantized,mixed_rate,5,128,128,1
quantized,mixed_power_tenths,5,330,330,1
quantized,mixed_preamble_short,5,0,0,1
quantized,mixed_aggregate_count,5,1,1,1
quantized,mixed_ingress_count,5,1,1,1
quantized,delivered_count,1,3,3,1
quantized,delivered_id_1,1,1,1,1
quantized,delivered_id_2,1,1,1,1
quantized,delivered_id_3,1,1,1,1
quantized,gateway_first_ack_ns,1,3144961000,3144961000,1
quantized,gateway_first_ack_seq,1,3,3,1
quantized,gateway_first_ack_bits,1,7,7,1
quantized,gateway_ack_count,1,5,5,1
quantized,gateway_last_ack_seq,1,3,3,1
quantized,gateway_last_ack_bits,1,7,7,1
quantized,final_ack_queue,1,0,0,1
quantized,final_data_queue,1,0,0,1
quantized,final_hop_pending,1,0,0,1
quantized,final_resend_queue,1,0,0,1
quantized,final_dack_holds,1,0,0,1
quantized,final_ack_queue,4,0,0,1
quantized,final_data_queue,4,0,0,1
quantized,final_hop_pending,4,0,0,1
quantized,final_resend_queue,4,0,0,1
quantized,final_dack_holds,4,0,0,1
quantized,final_ack_queue,5,0,0,1
quantized,final_data_queue,5,0,0,1
quantized,final_hop_pending,5,0,0,1
quantized,final_resend_queue,5,0,0,1
quantized,final_dack_holds,5,0,0,1
quantized,final_nwk_queue,1,0,0,1
