schema,event_index,time_s,event,node,peer,packet_type,src,dst,sequence,rate_kbps,size_bytes,success,reason,pathloss_db,rx_power_dbm,noise_dbm,snr_db,jsr_db,header_errors,payload_errors,total_errors,route_cost,next_hop,security_count,reservation_slot,reservation_counter,detail,statistic,value
csr-differential-trace-v1,0,0,mac_state,1,,,,,,,,,,,,,,,,,,,,,,,idle,,
csr-differential-trace-v1,1,0,mac_state,4,,,,,,,,,,,,,,,,,,,,,,,idle,,
csr-differential-trace-v1,2,0,mac_state,5,,,,,,,,,,,,,,,,,,,,,,,idle,,
csr-differential-trace-v1,3,2.8079999999999998,mac_state,5,,,,,,,,,,,,,,,,,,,,,,,search,,
csr-differential-trace-v1,4,2.8079999999999998,statistic_sample,5,,,,,,,,,,,,,,,,,,,,,,,,MAC.ACK Queue Size (packets),1
csr-differential-trace-v1,5,2.8079999999999998,statistic_sample,5,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,6,2.8210000000000002,reservation_prepare,5,,,,,,,,,new,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,7,2.8329610000000001,mac_state,1,,,,,,,,,,,,,,,,,,,,,,,search,,
csr-differential-trace-v1,8,2.8329610000000001,statistic_sample,1,,,,,,,,,,,,,,,,,,,,,,,,MAC.ACK Queue Size (packets),1
csr-differential-trace-v1,9,2.8329610000000001,hop_feedback,1,5,data,5,1,1,,,1,ack,,,,,,,,,,,,,,hop_sequence=1;first_reception=1;ackable=1;nsdp_count_before=0;nsdp_count_after=0;nsdp_state_valid=0;nsdp_limit=16,,
csr-differential-trace-v1,10,2.8329610000000001,nwk_delivery,1,5,data,5,1,1,,23,1,delivered,,,,,,,,,,,,,,,,
csr-differential-trace-v1,11,2.8329610000000001,hop_feedback,1,5,data,5,1,2,,,1,ack,,,,,,,,,,,,,,hop_sequence=2;first_reception=1;ackable=1;nsdp_count_before=0;nsdp_count_after=0;nsdp_state_valid=0;nsdp_limit=16,,
csr-differential-trace-v1,12,2.8329610000000001,nwk_delivery,1,5,data,5,1,2,,23,1,delivered,,,,,,,,,,,,,,,,
csr-differential-trace-v1,13,2.845961,reservation_prepare,1,,,,,,,,,new,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,14,3.1080000000000001,reservation_holdoff,5,,,,,,,,,,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,15,3.1200000000000001,reservation_tick,5,,,,,,,,,,,,,,,,,,,,,0,-1,,,
csr-differential-trace-v1,16,3.1200000000000001,statistic_sample,5,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),0
csr-differential-trace-v1,17,3.1200000000000001,statistic_sample,5,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queuing Delay (sec),0.312
csr-differential-trace-v1,18,3.1200000000000001,reservation_advertise,5,,,,,,,,,,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,19,3.1200000000000001,tx_start,5,4,ack,5,4,4,128,89,,,,,,,,,,,,,,0,0,short,,
csr-differential-trace-v1,20,3.1200000000000001,mac_state,5,,,,,,,,,,,,,,,,,,,,,,,tx,,
csr-differential-trace-v1,21,3.1329609999999999,reservation_holdoff,1,,,,,,,,,,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,22,3.1449600000000002,mac_state,5,,,,,,,,,,,,,,,,,,,,,,,search,,
csr-differential-trace-v1,23,3.1449600000000002,reservation_prepare,5,,,,,,,,,reuse,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,24,3.1449609999999999,hop_feedback,1,5,data,5,1,3,,,1,ack,,,,,,,,,,,,,,hop_sequence=3;first_reception=1;ackable=1;nsdp_count_before=0;nsdp_count_after=0;nsdp_state_valid=0;nsdp_limit=16,,
csr-differential-trace-v1,25,3.1449609999999999,nwk_delivery,1,5,data,5,1,3,,23,1,delivered,,,,,,,,,,,,,,,,
csr-differential-trace-v1,26,3.1449609999999999,reservation_tick,1,,,,,,,,,,,,,,,,,,,,,0,-1,,,
csr-differential-trace-v1,27,3.1449609999999999,reservation_advertise,1,,,,,,,,,,,,,,,,,,,,,0,0,,,
csr-differential-trace-v1,28,3.1449609999999999,tx_start,1,5,ack,1,5,3,128,41,,,,,,,,,,,,,,0,0,short,,
