case,checkpoint,node,actual,expected,pass
tie_late,primed_deliveries,1,2,2,1
tie_late,primed_ack_queue,1,1,1,1
tie_late,mixed_tx_ns,5,3120000000,3120000000,1
tie_late,mixed_bytes,5,89,89,1
tie_late,mixed_segments,5,2,2,1
tie_late,mixed_duration_ns,5,24960000,24960000,1
tie_late,mixed_rate,5,128,128,1
tie_late,mixed_power_tenths,5,330,330,1
tie_late,mixed_preamble_short,5,0,0,1
tie_late,mixed_aggregate_count,5,1,1,1
tie_late,mixed_ingress_count,5,1,1,1
tie_late,delivered_count,1,3,3,1
tie_late,delivered_id_1,1,1,1,1
tie_late,delivered_id_2,1,1,1,1
tie_late,delivered_id_3,1,1,1,1
tie_late,gateway_first_ack_ns,1,3144961000,3144961000,1
tie_late,gateway_first_ack_seq,1,2,2,1
tie_late,gateway_first_ack_bits,1,3,3,1
tie_late,gateway_ack_count,1,6,6,1
tie_late,gateway_last_ack_seq,1,3,3,1
tie_late,gateway_last_ack_bits,1,7,7,1
tie_late,final_ack_queue,1,0,0,1
tie_late,final_data_queue,1,0,0,1
tie_late,final_hop_pending,1,0,0,1
tie_late,final_resend_queue,1,0,0,1
tie_late,final_dack_holds,1,0,0,1
tie_late,final_ack_queue,4,0,0,1
tie_late,final_data_queue,4,0,0,1
tie_late,final_hop_pending,4,0,0,1
tie_late,final_resend_queue,4,0,0,1
tie_late,final_dack_holds,4,0,0,1
tie_late,final_ack_queue,5,0,0,1
tie_late,final_data_queue,5,0,0,1
tie_late,final_hop_pending,5,0,0,1
tie_late,final_resend_queue,5,0,0,1
tie_late,final_dack_holds,5,0,0,1
tie_late,final_nwk_queue,1,0,0,1
