schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),360,2.0833333333333335,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),420,1.8999999999999999,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),480,2.0166666666666666,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),540,1.8833333333333333,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (packets/sec),600,1.9333333333333333,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),60,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),120,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),180,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),240,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),300,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),360,3200,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),420,2918.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),480,3097.5999999999999,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),540,2892.8000000000002,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Traffic Sent (bits/sec),600,2969.5999999999999,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Packet Size (bits),60,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
csr-aggregate-series-v1,csr_t18_l128,Generator.Packet Size (bits),120,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,a7927a81da15ca6803640f378ead539839c5e254f3af34de7e515884644ff2b6
