schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),360,2.1499999999999999,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),420,2.0499999999999998,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),480,2,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),540,1.8999999999999999,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (packets/sec),600,1.95,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),60,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),120,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),180,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),240,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),300,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),360,3302.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),420,3148.8000000000002,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),480,3072,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),540,2918.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Traffic Sent (bits/sec),600,2995.1999999999998,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Packet Size (bits),60,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Packet Size (bits),120,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Packet Size (bits),180,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
csr-aggregate-series-v1,csr_t18_l130,Generator.Packet Size (bits),240,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,730ee116fdfd45253dd7043e44870d617150b57f13c93471a79234623921eb9c
