schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),360,1.8166666666666667,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),420,1.3,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),480,1.1666666666666667,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),540,1.1499999999999999,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (packets/sec),600,1.2,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),60,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),120,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),180,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),240,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),300,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),360,2790.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),420,1996.8,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),480,1792,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),540,1766.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Traffic Sent (bits/sec),600,1843.2,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Packet Size (bits),60,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
csr-aggregate-series-v1,csr_t18_m130,Generator.Packet Size (bits),120,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,cc0a49fe8e2b1dec8800363e26af4f04d84037b857a86e149c8fae6c857db3fe
