schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),360,5.1833333333333336,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),420,2.8333333333333335,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),480,2.7833333333333332,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),540,2.6666666666666665,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),600,2.5333333333333332,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),660,2.0666666666666669,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),720,2.2333333333333334,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),780,2.2666666666666666,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),840,2.2666666666666666,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (packets/sec),900,1.9333333333333333,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),60,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),120,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),180,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),240,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),300,0,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),360,7961.6000000000004,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),420,4352,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),480,4275.1999999999998,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),540,4096,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),600,3891.1999999999998,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),660,3174.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),720,3430.4000000000001,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),780,3481.5999999999999,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),840,3481.5999999999999,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Traffic Sent (bits/sec),900,2969.5999999999999,ns3,bits/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),60,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),120,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),180,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),240,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),300,,ns3,bits,bucket_sample_mean,,missing,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),360,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),420,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),480,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),540,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),600,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),660,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),720,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),780,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),840,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Generator.Packet Size (bits),900,1536,ns3,bits,bucket_sample_mean,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Sink.Traffic Received (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
csr-aggregate-series-v1,csr_t18_p128,Sink.Traffic Received (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,201ba3e327992f835603380c70707fbd358f4c17caee3b997b32b5294ebbaa4a
