schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),360,1.0833333333333333,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),420,1,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),480,0.84999999999999998,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),540,0.94999999999999996,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
csr-aggregate-series-v1,csr_t18_r128,Generator.Traffic Sent (packets/sec),600,0.75,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,95dfc983657c605c8691a6d5fcfbf013abcb61f40e3506130e67781177b5fde0
