schema,scenario,statistic,time_s,value,source,unit,aggregation,raw_value,value_status,source_file,source_file_sha256
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),60,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),120,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),180,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),240,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),300,0,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),360,1.0833333333333333,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),420,0.90000000000000002,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),480,1.0166666666666666,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),540,0.81666666666666665,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
csr-aggregate-series-v1,csr_t18_r130,Generator.Traffic Sent (packets/sec),600,0.96666666666666667,ns3,packets/s,bucket_sum_per_second,,observed,ns3-trace.csv,9df17d7d6c7b62a96e17d517eb0f88d075cbe60a054aee8ec10ad27102b4e332
