[0/2] Re-checking globbed directories...
[1/296] Building CXX object src/core/CMakeFiles/core.dir/model/int64x64-128.cc.o
[2/296] Building CXX object src/core/CMakeFiles/core.dir/helper/csv-reader.cc.o
[3/296] Building CXX object src/core/CMakeFiles/core.dir/helper/event-garbage-collector.cc.o
[4/296] Building CXX object src/core/CMakeFiles/core.dir/model/event-id.cc.o
[5/296] Building CXX object src/core/CMakeFiles/core.dir/helper/random-variable-stream-helper.cc.o
[6/296] Building CXX object src/core/CMakeFiles/core.dir/model/time.cc.o
[7/296] Building CXX object src/core/CMakeFiles/core.dir/model/unix-fd-reader.cc.o
[8/296] Building CXX object src/core/CMakeFiles/core.dir/model/event-impl.cc.o
[9/296] Building CXX object src/core/CMakeFiles/core.dir/model/scheduler.cc.o
[10/296] Building CXX object src/core/CMakeFiles/core.dir/model/list-scheduler.cc.o
[11/296] Building CXX object src/core/CMakeFiles/core.dir/model/map-scheduler.cc.o
[12/296] Building CXX object src/core/CMakeFiles/core.dir/model/priority-queue-scheduler.cc.o
[13/296] Building CXX object src/core/CMakeFiles/core.dir/model/heap-scheduler.cc.o
[14/296] Building CXX object src/core/CMakeFiles/core.dir/model/calendar-scheduler.cc.o
[15/296] Building CXX object src/core/CMakeFiles/core.dir/model/simulator-impl.cc.o
[16/296] Building CXX object src/core/CMakeFiles/core.dir/model/simulator.cc.o
[17/296] Building CXX object src/core/CMakeFiles/core.dir/model/timer.cc.o
[18/296] Building CXX object src/core/CMakeFiles/core.dir/model/synchronizer.cc.o
[19/296] Building CXX object src/core/CMakeFiles/core.dir/model/watchdog.cc.o
[20/296] Building CXX object src/core/CMakeFiles/core.dir/model/default-simulator-impl.cc.o
[21/296] Building CXX object src/core/CMakeFiles/core.dir/model/environment-variable.cc.o
[22/296] Building CXX object src/core/CMakeFiles/core.dir/model/breakpoint.cc.o
[23/296] Building CXX object src/core/CMakeFiles/core.dir/model/attribute-construction-list.cc.o
[24/296] Building CXX object src/core/CMakeFiles/core.dir/model/log.cc.o
[25/296] Building CXX object src/core/CMakeFiles/core.dir/model/rng-seed-manager.cc.o
[26/296] Building CXX object src/core/CMakeFiles/core.dir/model/object.cc.o
[27/296] Building CXX object src/core/CMakeFiles/core.dir/model/rng-stream.cc.o
[28/296] Building CXX object src/core/CMakeFiles/core.dir/model/object-base.cc.o
[29/296] Building CXX object src/core/CMakeFiles/core.dir/model/test.cc.o
[30/296] Building CXX object src/core/CMakeFiles/core.dir/model/type-id.cc.o
[31/296] Building CXX object src/core/CMakeFiles/core.dir/model/attribute.cc.o
[32/296] Building CXX object src/core/CMakeFiles/core.dir/model/boolean.cc.o
[33/296] Building CXX object src/core/CMakeFiles/core.dir/model/integer.cc.o
[34/296] Building CXX object src/core/CMakeFiles/core.dir/model/uinteger.cc.o
[35/296] Building CXX object src/core/CMakeFiles/core.dir/model/random-variable-stream.cc.o
[36/296] Building CXX object src/core/CMakeFiles/core.dir/model/int64x64.cc.o
[37/296] Building CXX object src/core/CMakeFiles/core.dir/model/double.cc.o
[38/296] Building CXX object src/core/CMakeFiles/core.dir/model/string.cc.o
[39/296] Building CXX object src/core/CMakeFiles/core.dir/model/pointer.cc.o
[40/296] Building CXX object src/core/CMakeFiles/core.dir/model/trace-source-accessor.cc.o
[41/296] Building CXX object src/core/CMakeFiles/core.dir/model/object-ptr-container.cc.o
[42/296] Building CXX object src/core/CMakeFiles/core.dir/model/command-line.cc.o
[43/296] Building CXX object src/core/CMakeFiles/core.dir/model/global-value.cc.o
[44/296] Building CXX object src/core/CMakeFiles/core.dir/model/object-factory.cc.o
[45/296] Building CXX object src/core/CMakeFiles/core.dir/model/callback.cc.o
[46/296] Building CXX object src/core/CMakeFiles/core.dir/model/vector.cc.o
[47/296] Building CXX object src/core/CMakeFiles/core.dir/model/fatal-impl.cc.o
[48/296] Building CXX object src/core/CMakeFiles/core.dir/model/config.cc.o
[49/296] Building CXX object src/core/CMakeFiles/core.dir/model/hash-function.cc.o
[50/296] Building CXX object src/core/CMakeFiles/core.dir/model/names.cc.o
[51/296] Building CXX object src/core/CMakeFiles/core.dir/model/hash-murmur3.cc.o
[52/296] Building CXX object src/core/CMakeFiles/core.dir/model/ascii-file.cc.o
[53/296] Building CXX object src/core/CMakeFiles/core.dir/model/hash.cc.o
[54/296] Building CXX object src/core/CMakeFiles/core.dir/model/hash-fnv.cc.o
[55/296] Building CXX object src/core/CMakeFiles/core.dir/model/system-wall-clock-timestamp.cc.o
[56/296] Building CXX object src/core/CMakeFiles/core.dir/model/des-metrics.cc.o
[57/296] Building CXX object src/core/CMakeFiles/core.dir/model/node-printer.cc.o
[58/296] Building CXX object src/core/CMakeFiles/core.dir/model/time-printer.cc.o
[59/296] Building CXX object src/core/CMakeFiles/core.dir/model/show-progress.cc.o
[60/296] Building CXX object src/core/CMakeFiles/core.dir/model/system-wall-clock-ms.cc.o
[61/296] Building CXX object src/core/CMakeFiles/core.dir/model/trickle-timer.cc.o
[62/296] Building CXX object src/core/CMakeFiles/core.dir/model/system-path.cc.o
[63/296] Building CXX object src/core/CMakeFiles/core.dir/model/demangle.cc.o
[64/296] Building CXX object src/core/CMakeFiles/core.dir/model/matrix-array.cc.o
[65/296] Building CXX object src/core/CMakeFiles/core.dir/model/length.cc.o
[66/296] Building CXX object src/core/CMakeFiles/core.dir/model/realtime-simulator-impl.cc.o
[67/296] Building CXX object src/core/CMakeFiles/core.dir/model/wall-clock-synchronizer.cc.o
[68/296] Building CXX object src/core/CMakeFiles/core.dir/model/example-as-test.cc.o
[69/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/basic-data-calculators.cc.o
[70/296] Linking CXX shared library /workspace/scratch/ab77b42f47ca/t18-native/engine/build/lib/libns3-dev-core-debug.so
[71/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/data-calculator.cc.o
[72/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/data-collection-object.cc.o
[73/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/boolean-probe.cc.o
[74/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/data-output-interface.cc.o
[75/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/data-collector.cc.o
[76/296] Building CXX object src/stats/CMakeFiles/stats.dir/helper/file-helper.cc.o
[77/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/get-wildcard-matches.cc.o
[78/296] Building CXX object src/stats/CMakeFiles/stats.dir/helper/gnuplot-helper.cc.o
[79/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/file-aggregator.cc.o
[80/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/double-probe.cc.o
[81/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/gnuplot.cc.o
[82/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/gnuplot-aggregator.cc.o
[83/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/probe.cc.o
[84/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/histogram.cc.o
[85/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/omnet-data-output.cc.o
[86/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/time-data-calculators.cc.o
[87/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/time-probe.cc.o
[88/296] Building CXX object src/antenna/CMakeFiles/antenna.dir/model/angles.cc.o
[89/296] Building CXX object src/stats/CMakeFiles/stats.dir/model/time-series-adaptor.cc.o
