Scenario,Seed,DurationSeconds,Nodes,Generated,Received,Dropped,Pending,ApplicationBytesReceived,DeliveryRatio,GoodputBitsPerSecond,MeanLatencySeconds,LatencyP50Seconds,LatencyP95Seconds,LatencyP99Seconds,PhysicalTransmissions,PhysicalReceived,PhysicalDropped,PhysicalPending,HopPendingData,ResendQueueDepth,DackHoldCount,ControlPending,ControlPendingTargets,NwkPendingCustody,WaitingForRoute,ControlQueueRejections,RouteChanges,HopFailures,RuntimeSeconds,StructuralChecksPassed,DataDrained,ApplicationProfile,MATLABRelease
two_node_8,128,200,2,3,3,0,0,192,1,7.68,0.735300333339457,0.313480333339413,1.60294033333352,1.60294033333352,65,65,0,0,0,0,0,0,0,0,0,0,5,0,7.0705723,1,1,current-send-only,2025a
two_node_128,128,200,2,3,3,0,0,192,1,7.68,0.569500333339439,0.1606803333394,1.41114033333349,1.41114033333349,65,65,0,0,0,0,0,0,0,0,0,0,5,0,7.7169713,1,1,current-send-only,2025a
line_3_8,128,200,3,3,3,0,0,192,1,7.68,1.31523333333941,0.698413333339289,2.72887333333369,2.72887333333369,127,159,95,0,0,0,0,0,0,0,0,0,12,0,20.2420442,1,1,current-send-only,2025a
high_rate_500,128,200,2,3,3,0,0,192,1,7.68,0.590880333339451,0.184060333345457,1.51052033333353,1.51052033333353,119,119,0,0,0,0,0,0,0,0,0,0,6,0,16.2136787,1,1,current-send-only,2025a
high_rate_1000,128,200,2,3,3,0,0,192,1,7.68,0.59004033333945,0.183220333345446,1.50968033333353,1.50968033333353,119,119,0,0,0,0,0,0,0,0,0,0,6,0,15.1416074,1,1,current-send-only,2025a
research_two_node,128,300,2,5,5,0,0,320,1,8.53333333333333,0.430572333343054,0.206680333352693,1.34614033333347,1.34614033333347,97,97,0,0,0,0,0,0,0,0,0,0,5,0,10.3533124,1,1,current-send-only,2025a
research_line_4,128,600,4,5,5,0,0,320,1,4.26666666666667,4.23327266666568,4.27687266666601,4.33787266666485,4.33787266666485,365,477,618,0,0,0,0,0,0,0,0,0,27,0,37.2330907,1,1,current-send-only,2025a
research_hidden_node,128,600,3,16,16,0,0,1024,1,13.6533333333333,1.45939641663771,1.55395266666685,2.90149266666776,2.90149266666776,272,369,175,0,0,0,0,0,0,0,0,0,15,0,51.5454546,1,1,current-send-only,2025a
research_mesh_6,128,900,6,15,15,0,0,960,1,8.53333333333333,1.53845933332254,1.501952666666,2.61241266664092,2.61241266664092,1183,1788,4127,0,0,0,0,0,0,0,0,0,85,0,96.5880623,1,1,current-send-only,2025a
research_route_recovery,128,900,3,5,5,0,0,320,1,2.84444444444444,68.9193166667057,68.3780126667042,135.940412666693,135.940412666693,704,793,615,0,0,0,0,0,0,0,0,0,103,0,76.6335056,1,1,current-send-only,2025a
research_leaf_no_transit,128,600,3,5,0,5,0,0,0,0,NaN,NaN,NaN,NaN,236,285,187,0,0,0,0,0,0,0,0,0,10,0,43.2344871,1,1,current-send-only,2025a
