Experiment,Parameter,Value,Metric,SeedCount,FiniteCount,MissingCount,Mean,SampleStd,Min,Max
offered_load,LoadMultiplier,1.0,DeliveryRatio,3,3,0,1.0,0.0,1.0,1.0
offered_load,LoadMultiplier,1.0,LatencyP95Seconds,3,3,0,2.78882600000105,0.11056370712554474,2.68049266666767,2.90149266666776
offered_load,LoadMultiplier,1.0,MaxLatencySeconds,3,3,0,2.78882600000105,0.11056370712554474,2.68049266666767,2.90149266666776
offered_load,LoadMultiplier,1.0,Generated,3,3,0,16,0.0,16,16
offered_load,LoadMultiplier,1.0,Received,3,3,0,16,0.0,16,16
offered_load,LoadMultiplier,1.0,Dropped,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,Pending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,PhysicalTransmissions,3,3,0,243.66666666666666,25.967928938083094,221,272
offered_load,LoadMultiplier,1.0,HopDataRetransmissions,3,3,0,7,1.0,6,8
offered_load,LoadMultiplier,1.0,HopControlRetransmissions,3,3,0,3.6666666666666665,3.0550504633038935,1,7
offered_load,LoadMultiplier,1.0,ControlFailures,3,3,0,0.3333333333333333,0.5773502691896257,0,1
offered_load,LoadMultiplier,1.0,HopControlFailures,3,3,0,0.3333333333333333,0.5773502691896257,0,1
offered_load,LoadMultiplier,1.0,NeighborDeactivations,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,RouteChanges,3,3,0,14.333333333333334,0.5773502691896257,14,15
offered_load,LoadMultiplier,1.0,ControlPending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,ControlPendingTargets,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,NwkPendingControlMessages,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,HopPendingData,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,NwkPendingCustody,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,ResendQueueDepth,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,DackHoldCount,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,PhysicalPending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,1.0,DataDrained,3,3,0,1,0.0,1,1
offered_load,LoadMultiplier,1.0,ControlsDrained,3,3,0,1,0.0,1,1
offered_load,LoadMultiplier,1.0,OwnershipDrained,3,3,0,1,0.0,1,1
offered_load,LoadMultiplier,2.0,DeliveryRatio,3,3,0,1.0,0.0,1.0,1.0
offered_load,LoadMultiplier,2.0,LatencyP95Seconds,3,3,0,2.6071593333032768,0.09377810688933445,2.50149266665733,2.68049266666767
offered_load,LoadMultiplier,2.0,MaxLatencySeconds,3,3,0,3.43715933331897,1.0307882097105616,2.78449266666772,4.62549266662143
offered_load,LoadMultiplier,2.0,Generated,3,3,0,30,0.0,30,30
offered_load,LoadMultiplier,2.0,Received,3,3,0,30,0.0,30,30
offered_load,LoadMultiplier,2.0,Dropped,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,2.0,Pending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,2.0,PhysicalTransmissions,3,3,0,321.3333333333333,25.92939130279254,303,351
offered_load,LoadMultiplier,2.0,HopDataRetransmissions,3,3,0,13,1.0,12,14
offered_load,LoadMultiplier,2.0,HopControlRetransmissions,3,3,0,3.6666666666666665,3.0550504633038935,1,7
offered_load,LoadMultiplier,2.0,ControlFailures,3,3,0,0.3333333333333333,0.5773502691896257,0,1
offered_load,LoadMultiplier,2.0,HopControlFailures,3,3,0,0.3333333333333333,0.5773502691896257,0,1
offered_load,LoadMultiplier,2.0,NeighborDeactivations,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,2.0,RouteChanges,3,3,0,14.333333333333334,0.5773502691896257,14,15
offered_load,LoadMultiplier,2.0,ControlPending,3,3,0,0,0.0,0,0
offered_load,LoadMultiplier,2.0,ControlPendingTargets,3,3,0,0,0.0,0,0
